idx	french
0	L'air lui-même devient glacial à mesure que tu t'enfonces dans le tunnel, jusqu'à ce que tu trouves le passage bloqué par une coquille en spirale.
1	C'est un <b>colosse</b> d'Escargot de Grêle. Il emplit tout le passage oriental.
2	Par tous les enfers.
3	Voilà un escargot bien épais.
4	Ne sois pas grossier.
5	Il est juste un peu large.
6	Rien de mal à ça.
7	MASSIF !
8	Imagine si tu pouvais soulever un truc pareil...
9	Tu serais considéré comme un méga-homme mythologique.
10	La matière des légendes !
11	Le soulèvement ou la légende ?
12	Ni l'un ni l'autre.
13	L'Escargot de Grêle bouge sa tête épaisse, les pédoncules oculaires bleus se focalisant sur... toi ?
14	Probablement ?
15	« Qu'est-ce que tu regardes ? »
16	L'escargot reste juste planté là ? À bloquer le tunnel ?
17	Il ne répond pas.
18	« Enfin, ouais. »
19	On dirait bien.
20	Toute créature de taille suffisante peut aller où bon lui semble.
21	La taille fait le droit, comme on dit.
22	On ne dit pas ça.
23	Le gobelin s'avance d'un pas léger et le toise de haut en bas.
24	Il a l'air presque fier.
25	« Ce grand gaillard est là depuis des mois. »
26	« La dernière fois que j'étais ici, il était orienté... légèrement vers la gauche. »
27	En t'approchant, tu vois bien que l'escargot bouge.
28	« Peut-être dix degrés. Ou cinq. Pas très vite. »
29	Le mucus gelé fondant lentement autour de lui indique un motif.
30	Oui.
31	Il tente de pivoter. Selon les critères des Escargots de Grêle, très, très lentement.
32	Il est en train de pivoter. Ou en termes profanes : l'escargot se <i>retourne</i>.
33	« Il aura fini d'ici l'année prochaine, probablement. Puis il filera droit hors du tunnel dans une ou deux de plus. »
34	L'Escargot de Grêle pivote potentiellement un peu plus vers toi à mesure que tu t'en approches dans le Tunnel Oriental bloqué.
35	Ou du moins tu crois qu'il pivote. Difficile à dire si tu ne restes pas planté là une heure ou deux.
36	Il te fera face, tôt ou tard.
37	« Bonne chance, Escargot. »
38	Tu as le sentiment que tu le pourrais.
39	Dans tous les cas, tu dois essayer.
40	L'aider.
41	Peut-être une autre fois.
42	Tu te concentres sur les énergies ésotériques.
43	Les Fils reliant l'escargot à la poche.
44	Mais ils glissent hors de ta prise mentale.
45	Pas assez fort. Pas encore.
46	Tu pourrais essayer plus fort.
47	Force-le. Avec ton corps.
48	Applique de la chaleur directement à la coquille.
49	Ça ferait mal. Beaucoup.
50	(Le faire.)
51	Tu presses tout ton corps contre la coquille gelée.
52	Le froid brûle.
53	De la glace se forme sur ton armure.
54	Mais ta chaleur corporelle. Ça marche.
55	La poche ésotérique se déstabilise.
56	Des fissures se forment dans la glace magique.
57	Juste encore un peu.
58	(Surmonter la douleur.)
59	(Ne pas le faire.)
60	Tu te retires.
61	Le froid trop intense.
62	Peut-être une autre fois.
63	Espérons-le.
64	« Au début, ouais. Sageleaf avait des projets de nettoyer les Racines, et d'établir une ferme de champignons à travers les Tunnels Sud et Est. »
65	« Mais la perspective de se coltiner ce genre de corvée de nettoyage n'était pas exactement quelque chose qui enthousiasmait les gens. Alors quand ce grand gaillard est tombé d'une fissure l'an dernier, toute l'affaire a été reportée, et... beaucoup de gens des Halfways étaient très, très contents de ça. »
66	Il pointe en arrière à travers le tunnel.
67	« Et depuis, on n'a eu à gérer que les invasions venant des Tunnels Sud. »
68	« Oh. Alors ça mène aux Tunnels Est ? »
69	« Ouaip. »
70	« Hm. Je voulais aller aux Tunnels Est. »
71	« Bien. J'ai rien à y faire. Pas vrai ? »
72	« Tu dis ça uniquement parce que tu <i>ne peux pas</i> y aller ? »
73	« Oui. »
74	« Non, pas du tout. »
75	« <i>Si</i>. »
76	« ...Crois-moi, tout ce qui est à l'est d'ici est merdique. »
77	Il hoche la tête.
78	« Les Tunnels Est mènent juste à un tas de salles en spirale dangereuses et pleines de pièges menant aux Chutes Mouvantes- puis au Temple de l'Eau. Techniquement il y a quelques routes qui mènent aussi au Palais Inférieur, mais si tu veux y aller, tu ferais mieux de prendre les chemins d'en haut. »
79	Ça sonne... GÉNIAL.
80	« Je suis déjà tout excité, t'as pas besoin d'essayer de me vendre ça, Snell. »
81	« Tu as raison. L'aventure et l'excitation de la spéléo, ça sonne terrible et mauvais. »
82	« Je n'ai en fait aucune opinion sur cette géniale expérience de donjon dont tu parles - je suis une personne qui n'aime pas les donjons. »
83	Le gobelin se contente de te regarder, son regard donnant une sorte d'air neutre et dissocié.
84	« -en gros, cet escargot a divisé par deux notre travail ici en bas, c'est ce que je dis. »
85	Il se tourne vers la créature et crie : « Alors prends ton temps, veux-tu ! Tout le temps du monde ! »
86	Pourquoi ?
87	Ce serait TRÈS froid.
88	Un charmant sentiment, mais ça pourrait te faire pas mal de mal.
89	La gelure, c'est pas une blague.
90	Tu pourrais probablement faire une blague sur la gelure. Si tu essayais assez fort.
91	Des gens y ont perdu des membres. Des doigts, des nez, même des orteils !
92	Ce n'est PAS une blague.
93	Oh, j'en ai une !
94	Comment appelle-t-on le type qui a perdu ses orteils à cause d'une gelure ?
95	Non. Ne le fais pas.
96	Allez. Ne sois pas ennuyeux.
97	Sérieusement, ne le fais pas.
98	Bon. Tu n'entendras jamais la chute, alors.
99	Bien. Une blague méchante de moins dans le monde.
100	(Caresser l'Escargot de Grêle.)
101	D'accord, peut-être que je ne veux pas caresser l'escargot gelé géant.
102	Alors fais-le.
103	Avec ferveur.
104	Le givre ésotérique va... te blesser.
105	Tu tends la main et poses une main gantée sur la coquille couverte de mucus turquoise.
106	Elle est dure, et l'air est glacial.
107	Ta main se met à <shake>brûler</shake>.
108	(Retirer ta main.) « Aïe ! »
109	« Tu es obligé de toucher à <i>tout</i> ? »
110	« Je me suis dit que c'était clair, vu la température glaciale jusqu'aux os, que ce serait vraiment stupide de caresser un Escargot-de-Glace magique. Mais c'est juste moi ! »
111	Un profond cliquetis émane à travers le tunnel oriental.
112	L'Escargot de Grêle parle.
113	« Oh. C'est comme ça qu'ils sonnent ? » (Frotter ta main gelée.)
114	« Par les dieux. Ouais, ne le mets pas en colère. On aime bien ce gaillard. »
115	L'escargot n'est pas en colère. Pas...
116	Ces cliquetis... c'est un bruit joyeux.
117	Bon choix.
118	Tu te concentres sur les Fils ésotériques.
119	Les lignes telluriques reliant l'escargot à la dimension de poche.
120	Là. Tu le vois.
121	L'instabilité. La fissure dans la magie.
122	La chaleur. C'est tout ce qu'il faut.
123	Ta chaleur corporelle. Ta présence.
124	Tu presses contre la barrière.
125	La poche frémit.
126	Puis vole en éclats.
127	La glace ésotérique se met à fondre.
128	Lentement. Très lentement.
129	Mais ça marche.
130	« Tu as fait quelque chose ? »
131	« Ouais, j'ai brisé l'effet ésotérique. »
132	« Oh. Alors ça veut dire qu'il va s'éloigner du passage ? »
133	« Enfin, ouais. »
134	« C'est ça. Ça rendra Dame Sageleaf très heureuse. »
135	Il grogne.
136	Il aurait préféré que l'escargot reste. Mais il ne s'en plaindra pas, au-delà de ces bruits gutturaux.
137	Il est très heureux.
138	(Reculer.)
139	L'escargot lâche un bruit gargouillant et cliquetant.
140	D'autres sons résonnent depuis le fond du couloir.
141	Sa famille s'éveille, tous ensemble maintenant.
142	Tu devrais revenir plus tard, après un repos.
143	Ils auront fini d'ici là.
144	Je les laisse à ça.
145	La coquille massive bloque encore le tunnel.
146	Mais tu peux entendre du mouvement à l'intérieur.
147	Un doux cliquetis. De la glace qui se déplace.
148	La famille d'escargots s'éveille.
149	Lentement. Très, très lentement.
150	Reviens après t'être reposé.
151	Ils ont besoin de temps.
152	Bien, bien. (Le laisser se réveiller, lentement.)
