idx	prefix	english
0		Something soft latches itself around your ankle. 
1		Taking a step forward, you touch a thin cord. 
2		Something soft latches itself around your ankle. A contraption is now in motion. 
3		What is that, a snake or something? 
4		There is no time, it is a- 
5		<b>TRAP!</b> 
6		<b>It's a TRAP!</b> 
7		Huh? 
8	ROLL15 dex-	Avoid the trap. 
9		It tightens around your boot. With a violent tug you're forced to the ground, hitting the back of your head on the steps. 
10		Before you can even react, your entire body has been dragged over the edge. 
11		"Cleric!" 
12		No, no, no! 
13		(Flail and scream.) 
14		You're falling. But not far. 
15		With a painful snap your descent is stopped, and... 
16		Now you're simply left hanging. 
17		How long can I hang like this? 
18		(Look up at the rope.) 
19		(Call for help.) 
20	ROLL20 str-	Pull yourself up. 
21		You don't say. 
22		The goblin leans out over the edge with a frown. 
23		"The mechanism is below, I can't reach it." 
24		"I can try to grab you once you make it up here, but you gotta do most of the work yourself." 
25		"Can't you go get a rope or something?" 
26		"That sounds lovely. Thanks." 
27		"No time. Just take a deep breath. You can make it." 
28		"Don't talk, just focus on climbing!" 
29		Not long. 
30		Your skull is pooling. 
31		Within minutes, you will lose control of your mind. 
32		Humans can stay upside down for approximately up to ten minutes. However, major issues might occur after only half that time. 
33		Suggestion: do not stay upside down. 
34		It's snared tight around your boot. Should keep you hanging for a long time. 
35		You see how it's connected to a series of pitons wedged below and in the side of the stone walkway. 
36		Next to you is a hanging rock. It acts as counterweight. 
37		A terrifyingly efficient yet surprisingly simple contraption. Whoever set this up is an expert. 
38		Spending some time on it, you definitely understand how this thing was set up. Now, will that help in getting back up? Maybe? 
39		You had no chance of noticing it before it went off either. The trigger must have been a hair-fine chord or something. 
40		Gave you less than a second to react. 
41		Uh-huh. So what's the plan here, you're going for a 'somebody help', or a just a guttural fear-induced howl? 
42		<b>"Somebody, help!"</b> 
43		(Howl for your life.) 
44		Your voice echoes up and down the stone spiral. After a few seconds it fades. 
45		No one will hear you, sorry to say. 
46		"If you don't shut up I'll cut the damn rope!" 
47		"Now climb!" 
48		In the City Below you'll attract worse ends than a dark abyss if you keep screaming like that. 
49		A deep breath. 
50		You heave yourself forward, grabbing the rope attached to your ankle. 
51		Your muscles strain. 
52		Pain. Your weight is too much. 
53		You've been hanging here for too long. 
54		(Groan in pain.) 
55		You must try again. Your quest cannot end here. 
56		"One more time, Cleric." 
57		"I am <b>not</b> telling the Old Lady you died on my watch!" 
58		Too... much. 
59		Blood... in... head. 
60		"Come on!" 
61		It all... numb. 
62		That might help. 
63		"You're getting closer!" 
64		You're closer. 
65		So close... 
66		"Alright, that one was my bad- come on, I'll catch you, just ONE MORE TIME!" 
67		A final deep breath. 
68		You feel the numbness spread as you heave upwards. One gloved hand grabbing the rope - then another. 
69		Through sheer power you pull your entire body weight upwards, climbing higher and higher until... 
70		A green claw grabs your hand. 
71		Your goblin companion groans as he helps you up. 
72		You roll over the edge. 
73		(Get the rope off!) 
74		Your fingers dart around your ankle, desperate to remove the latched rope. 
75		You rip it off and toss it to the side. 
76		Free. Safe. 
77		Alive. 
78		That... was awful. 
79		What kind of evil piece of shit makes a trap like this? 
80		(Laugh like a madman.) 
81		Going through a near-death experience will last in your soul. 
82		A skilled hunter, most likely. This is no mechanical contraption- just a series of pitons and strong rope. 
83		Someone who wants you dead. A hunter, maybe? 
84		Your laughter rings out in the empty chasm below. 
85		Have you lost it, or what? 
86		A rush of dopamine was released once you made it over the edge. 
87		This is a natural reaction to having survived a near certain death. 
88		You take a deep breath. 
89		The goblin stumbles back. "Fucking hell." 
90		You realize you've been holding your breath. 
91		Your lips are probably turning blue. 
92		Breathe! I need to BREATHE, damn it! 
93		Air fills your lungs. 
94		You are alive. 
95		(Check out the rope.) 
96		E-Let's go. 
97		He nods. "That was a nasty trap. I don't think I would've noticed it either." 
98		Your companion looks disturbed. 
99		"But still. Don't let that happen again." 
100		Extremely sturdy rope. Thick. Soft to the touch. 
101		You do not know the name of this material. Must be exotic. 
102		Basquill Hemp. The type to grow on the border between Hae'Xi and Kargamesh. 
103		Whoever placed this trap is an extremely well-funded or highly resourceful individual. 
104		At the knots you see a series of burned-in letters. Someone's left a message on the ends of the rope itself: 
105		'<i>BEHOLD, BOULBA'SLOP.</i>' 
106		A fanged predator, creeping in the waters below. 
107		The Rage watches you. 
108		Creepy. 
109		"Don't know what that means. But I don't like the look of it." 
110		"Really, really don't." 
111		You throw your body back, slithering out of the rope before it tightens. 
112		The instant you do you watch the rope snap and twirl round the edge of the staircase - disappearing into the darkness below. 
113		"Too close," Snell says. "I didn't see it either. Nasty trap." 
114		Sure was. But it's fine, you made it! 
115		Something tells you these are not goblin-designed. 
116		Keep an eye out for more of these. 
117		(Keep going.) 
