idx	prefix	english
0		Embedded upon this altar, you see a circular stone slab. 
1		Whoever has worked this survey site in the past has attempted to place it in its natural position. 
2		It has been propped up. This is a survey site. 
3		It reminds you of a copper calendar. But far, far older. 
4		This is a Moon-Chart, left by the Whitemane barbarians of the Divine Era. 
5		It is not spinning. It has not spun in centuries. 
6		Yet, moving your hand closer - you SENSE IT. The faintest hum of esoteric power, pulsing through the glyphs. 
7		It is still keeping time. Even with its mechanism CRACKED. 
8		The various glyphs on the surface denote not a language, but rather sigils, it seems. 
9		(Decipher the current day.) 
10		E-(Leave the stone circle alone.) 
11		You cannot do that. 
12		It is clearly broken. 
13		No. 
14		That is no use. It is broken. 
15		Oh. 
16		Yes. This is a useless piece of technology - if you feel it is worthy of such a term. 
