idx	prefix	english
0		You approach the giant cat-like head, realizing the stone by its maw is shimmering. 
1		Esoteric energy radiates from within. 
2		The surface pulses with ancient magic. 
3		(Place your gloved hand on the surface.) 
4		As your palm touches the cold stone, it warms beneath your touch. 
5		A voice echoes through your mind, speaking in an ancient tongue. 
6		"<i>...A QUIÉN SIRVES TÚ...</i>" 
7		Who do you serve? 
8		Cat-speech. The language of the Whitemane tribe. 
9		<i>Crinblanca</i>. Whitemane. The walking god of cats. 
10		"Who do you... <i>serve</i>?" 
11		"That's pretty much what it said." 
12		"Also, I'm getting really tired of these spooky cat ruins by now. Just thought I'd let you know." 
13		"Yeah. And who <i>do</i> you serve?" 
14		"Urth, of course." 
15		"The people of Norvik." 
16		"Myself, mostly." 
17		"Fair enough." 
18		"But I don't think that's the answer it's looking for." 
19		Answer it. 
20		Or leave this barbaric culture in the Divine Era, where it belongs. 
21		"I serve... <i>Whitemane</i>?" 
22		"<i>Urth</i>." 
23		"I serve the people of Norvik." 
24		E-Leave the statue. For now. 
25		The stone shifts. 
26		A grinding sound as ancient mechanisms activate. 
27		The maw opens slowly, revealing a cavity within. 
28		Something glints in the darkness. 
29		"Whoa." 
30		(Reach inside.) 
31		Your fingers close around cold metal. 
32		You pull out an ancient amulet, made out of pure gold. 
33		The craftsmanship is exquisite. 
34		Holy shit! Yeah, you could fetch a pile of crowns for this bad boy. 
35		Great job! 
36		"This is incredible!" 
37		"Holy shit, I'm <i>rich</i>." 
38		"Time to serve this dead cat god, I guess." 
39		"Yeah. Wow. That is a REALLY nice piece of loot." 
40		"Oh yeah. That could absolutely fetch you a pile of crowns." 
41		Exactly! 
42		"I feel like that could end up badly. Anyway." 
43		"Good job. Now can we leave this creepy place?" 
44		The stone maw grinds shut once more. 
45		Neat. 
46		The statue does not respond. 
47		Silence. 
48		No response. 
49		The stone remains cold and lifeless. 
50		"If Whitemane doesn't work, then I got no clue. Unless you wanna try, uh... <i>Blanco-Mano</i>...? I think that's how it's translated." 
51		Maybe you need to understand what it's asking first. 
52		Nothing. 
53		"Well shit. Can't help you there." 
54		Nothing happens. 
55		Wrong answer, it seems. 
56		"Guess the cat doesn't care about your god." 
57		The stone does not react. 
58		"Hmm. Not impressed by that either." 
