idx	french
0	Parmi les déchus et les brisés d'un monde ancien, gît une unique structure.
1	Un monument à un pouvoir oublié.
2	Au sommet, une tête de lion fendue te fusille du regard. Un lion borgne, à l'orbite unique, sombre et vide.
3	C'est un sanctuaire, non ?
4	Un sanctuaire, comme un autre. Tu te sens chez toi, à genoux ici.
5	Bien sûr que oui.
6	Silence, <i>dégénéré</i>.
7	Un sanctuaire à quel dieu ?
8	Est-ce que ça... fonctionne ?
9	(Faire un pas de plus.)
10	Whitemane.
11	Ils vivaient ici. Ni les premiers. Ni les derniers.
12	Un perdu au fil du temps.
13	Tu peux préparer des sorts ici, oui.
14	Il y a une connexion. À la divinité.
15	D'une manière ou d'une autre.
16	Les sanctuaires comme celui-ci recèlent souvent une connexion latente aux Fils de Jor.
17	Si tu peux le faire au sanctuaire d'un dieu mort, pourquoi pas d'un autre ?
18	Ne compare pas Urth à ce dieu-chat.
19	Si tu penses que ton dieu est d'une quelconque façon unique, alors tu te trompes lourdement.
20	« Bien sûr. »
21	« On dirait un truc-chat normal. Il y en a un paquet dans toute la cité, si tu sais où regarder. »
22	« Tu es une sorte d'expert en chats ? »
23	« Est-ce que je sais où regarder ? »
24	« Continue. »
25	« Non. »
26	Il dit vrai.
27	« Clairement. Tu as trouvé celui-ci. »
28	« Je... n'ai rien d'autre à dire, vraiment. »
29	« Difficile de dire exactement ce qui se passe ici, à cause des gravats et de la poussière. »
30	« Tu pourrais essayer de l'examiner de plus près. Mais souviens-toi... »
31	« Les Whitemane sont célèbres pour leurs pièges. »
32	« Tu sais, comme ce couloir enflammé que tu as à peine survécu. »
33	« Alors sois prudent. »
34	Ton écharpe bruisse.
35	« Meek pense fantôme flippant », est son premier commentaire, avant même qu'il n'ouvre l'œil. « Beaucoup fantôme flippant dans endroit comme ça. »
36	Le regard du mimique fuse à travers la chambre.
37	« Oui-oui. <i>Cent pour cent</i> - piège ici. Maître prudent ! »
38	« Pas surprenant. Si tu dois enquêter, juste... sois prudent. »
39	« Je sais pas pourquoi je dis même ça, je sais que tu vas pas écouter. »
40	Tu peux écouter. Juste pas là.
41	Tu examines le devant du sanctuaire, voyant des traces de marques sur la surface.
42	Tu t'approches de l'ancien sanctuaire.
43	C'est quoi cette lumière venant du plafond ?
44	Enquêter sur le sanctuaire.
45	(Préparer des sorts.)
46	(Hocher la tête.)
47	C'est une illusion. N'y prête pas attention.
48	Ce n'est absolument pas le soleil.
49	Un regard vers le haut révèle que les rayons ne sont qu'un picotement magique sur tes yeux.
50	Ce n'est pas une poche ésotérique- mais ç'en fut très probablement une jadis.
51	Un faux soleil sur une pierre ancienne.
52	Comme TOUT JOR.
53	Ta main gantée glisse sur les marques du devant du sanctuaire.
54	Il y a quelque chose là.
55	À l'intérieur de la pierre.
56	Et c'est...
57	Du texte.
58	En traçant tes doigts, tu réalises que quelque chose est écrit, faiblement, effacé au fil des siècles, dans la surface du sanctuaire.
59	On lit : « EL OJO ROJO VIGILA TUS LOGROS. »
60	Ça signifie : « l'œil rouge veille sur toi ».
61	Tu recules d'un pas, et te le marmonnes.
62	Ça signifie : « l'œil rouge- »
63	« L'œil rouge... veille sur toi. »
64	« Est-ce que ça veut dire quelque chose ? »
65	Il hausse les épaules. « Honnêtement, ça se pourrait. Mais... qui sait ? »
66	Tu jettes un regard vers le haut, à la tête de lion.
67	L'orbite.
68	Parfaitement dimensionnée pour une pierre précieuse. C'est manifestement un secret que tu pourrais déclencher, au cas où tu insères la bonne gemme.
69	(Regarder l'orbite.)
70	Pas maintenant.
71	Bien. Plus tard, alors.
72	Tu traces tes doigts sur les marques du devant.
73	Il y a quelque chose ici. À l'intérieur du sanctuaire.
74	Mais tu n'arrives pas à trouver comment l'ouvrir.
75	Un bloc de pierre aussi épais ne serait pas facile à détruire, même avec un outil parfait pour le travail.
76	Non, il y a un autre moyen...
77	Mais lequel ?
78	Tu époussettes le devant du sanctuaire.
79	Puis les côtés du sanctuaire.
80	C'est faible, mais il y a une sorte de symbole dessus.
81	Difficile de distinguer ce qui est une éraflure due aux intempéries, et ce qui est un choix créatif.
82	(Regarder de plus près.)
83	Oui.
84	Un symbole.
85	Un symbole de soleil. Définitivement.
86	Si c'est ce qu'Akzel voulait que tu trouves, tu l'as trouvé.
87	Hein. Alors qu'est-ce que je fais maintenant ?
88	Retourne voir ton pote nain, bien sûr !
89	Hm. Oui.
90	Parle à Akzel de ce symbole. Il serait reconnaissant de l'information.
91	Très reconnaissant.
92	Genre, reconnaissant-à-en-toucher-une-jolie-petite-paie.
93	« Tu as trouvé ce que tu cherches ? »
94	J'aime bien la sonorité de ça. Je veux une paie aussi.
95	Ou peut-être que je serai juste content qu'il soit content. On sera tous contents ensemble.
96	Je devrais retourner voir Akzel, alors, à ces autres ruines. La vache, il y a beaucoup de ruines ici en bas.
97	« Parfait. Content pour toi. »
98	Le ton de sa voix indique : « s'il te plaît, s'il te plaît, on peut quitter cette ruine effrayante maintenant ? »
99	Qui ne l'est pas ?!
100	Ça a l'air charmant.
101	Oui, tu devrais. Tout de suite !
102	La tête de lion de pierre te fusille du regard de cet unique œil enfoncé et sombre.
103	Fais-le ! Mets cette gemme que tu as trouvée entre les pattes de la vache !
104	Tu voudras peut-être être un peu prudent, mais tu pourrais probablement mettre cette jacinthe ici...
105	(Enfoncer ton doigt dans le trou.)
106	J'en ai fini d'examiner l'orbite.
107	Oui. Soit un rubis, soit une jacinthe serait une supposition plutôt pratique.
108	Ces civilisations barbares - si l'on peut même les appeler ainsi - étaient toutes les mêmes. Des cailloux rutilants dans des temples mystérieux, utilisés comme déclencheurs ésotériques.
109	En effet.
110	Tu le fais, l'enfonçant.
