idx	prefix	english
0		The angel stands tall. She's blocking the hallway, leading further into the Coinlord's mansion. 
1		She looks like a giant in here, despite the high ceiling. 
2		Her many eyes glare at you. 
3		E-(Gulp.) "Okay." 
4		She nods. 
5		"He will see you now, Cleric." 
6		The words leave you shaking. 
7		The words cause you to shiver. 
8		The goblin gives you a stern look. 
9		Your muscles scream for you to be ready for a battle. 
10		Yeah. This is dangerous. Super dangerous. 
11		A battle of wits. This'll go <i>great</i>. 
12		"Be finished with your business here." 
13		"The Magistrate will not have time again, Cleric." 
14		The spinning eyes stop for a moment. 
15		Uh-oh. 
16		RUN. 
17		"I am aware." 
18		"Are you okay with that?" 
19		"Do I get the tower all to myself?" 
20		"I'm not taking your bed, am I?" 
21		"I'll be going to the Guard Tower then." 
22		She is silent for a beat. 
23		"The Magistrate has ordered it." 
24		She's not happy about it. 
25		"No." 
26		She doesn't mean you're roommates exactly. 
27		"Sounds cozy." 
28		"It's temporary." 
29		"How awful." 
30		The angel appears to sigh. 
31		Mimicry. 
32		You realize she does not breathe. Such interesting biology. 
33		A truly esoteric creature. 
34		"I do not sleep, Cleric." 
35		Don't say weird. 
36		"Weird." 
37		"Ah. So that's why..." (Gesture towards her face.) 
38		"Got it." 
39		Or do it. Whatever. 
40		She bows her head slowly, but does not respond. 
41		"There is a bedroll on the upper floor." 
42		"Do not touch anything." 
43		Translation: touch <i>everything</i>. 
44		Listen to her. OBEY. 
45		Her words are fair. Yet she does not have the right to order you around. 
