idx	prefix	english
0		Painted onto the ancient stone blocks, colorful imagery rises over you. 
1		It is faded, near gone. 
2		It is beautiful. 
3		The First Folk. Urth spoke about preserving the ancient murals of the city he conquered. 
4		What is this? Some kind of whale? 
5		E-(Leave it alone.) 
6		A mural of some ancient civilization. 
7		Fade Era, most likely. 
8		These ancient towers around Tolstad must have been covered in such paint. 
9		Long ago. 
10		This building has kept the mural safe over the years. The rest have been stripped off completely by the harsh Askanii wind. 
11		It's beautiful. 
12		It's ugly. 
13		Truly. 
14		Art is subjective. 
15		You don't mean that. 
16		Mm. Is that what it is? 
17		It must have been the Toulin'catl. 
18		For the snail who inscribed these visuals did so with esoteric means. 
19		The figure on the wall stares at you. 
