idx	french
0	Peinte sur les antiques blocs de pierre, une imagerie colorée s'élève au-dessus de toi.
1	Elle est délavée, presque effacée.
2	Elle est magnifique.
3	Le Premier Peuple. Urth parlait de préserver les antiques fresques de la cité qu'il avait conquise.
4	Qu'est-ce que c'est ? Une sorte de baleine ?
5	E-(Laisser ça tranquille.)
6	Une fresque de quelque antique civilisation.
7	De l'Ère du Déclin, très probablement.
8	Ces antiques tours autour de Tolstad devaient être couvertes d'une telle peinture.
9	Il y a bien longtemps.
10	Ce bâtiment a gardé la fresque à l'abri au fil des ans. Les autres ont été entièrement décapées par le rude vent askanii.
11	C'est magnifique.
12	C'est laid.
13	Vraiment.
14	L'art est subjectif.
15	Tu ne le penses pas.
16	Mm. C'est donc ça ?
17	Ce devait être les Toulin'catl.
18	Car l'escargot qui a inscrit ces images l'a fait par des moyens ésotériques.
19	La figure sur le mur te fixe.
