idx	prefix	english
500		He's looking for some genuine shit here. 
501		Don't be too human-negative. He won't like that. 
502		Follow what your heart is whispering. 
503		Exasperation. 
504		Breathless thinking. 
505		There is a good answer. 
506		Be straight with him. 
507		This is the kind of moment where you make sure to remember: Urth was just a guy. 
508		And now, you're the ones left to pick up the pieces. 
509		"He was just a man. A man endowed by divine spark. Treat him like any other human, and you will see the truth." 
510		"Remember what he told you. His Era is over. <i>You and I</i> are the ones here. This is our city now." 
511		"He shouldn't have gone to Askan to begin with." 
512		"I don't know, Snell. I'm only human." 
513		The goblin looks up. 
514		"Alright. I can do that." 
515		"You would make an <i>excellent</i> leader of the Halfways." 
516		"You said it yourself, everything changes after the election. It's a new world now." 
517		"Urth is dead. We are alive. That is all that matters." 
518		Your comment forces him to a short laugh. 
519		"I don't think anyone could live up to Sageleaf, if she ever croaks." 
520		"But thanks." 
521		"Guess I did." 
522		"Guess it is." 
523		"Maybe it is. Maybe you're right." 
524		"He should have let us all drown." 
525		"He should have gambled on some other plan. No matter the odds." 
526		"We all should have died in the old country, by man-made cursebombs and magically infused legionnaire blades." 
527		"Maybe he should've." 
528		"But if I were in his shoes, I'd probably have done the same thing." 
529		"If I had to choose between the Halfways making it, or the rest of you humans, that is." 
530		"You'd defend a handful of goblins over, the lives of way more humans?" 
531		"I would also choose that. I hate humans now." 
532		"As would I. For humans." 
533		He shrugs. "Depends on the exact amount, I guess. But..." 
534		"Maybe. Yeah." 
535		Your comment forces a laugh out of him. 
536		"Sure you do." 
537		"I'm sure you would." 
538		The goblin's eyes are full of contemplation. 
539		He will think about this conversation as much as he will about the one with your god. 
540		Couldn't have gone better. 
541		A String is woven. The path is set. 
542		Feel the warmth and strands and calming frays. 
543		He's not so bad, after everything. 
544		A goblin with good spirit might be exactly what this city needs. 
545		His tiny mind catches up quicker than you anticipated. 
546		In time he will understand it. He might seek more knowledge from you then. 
547		That quick smile on his face. Yeah. 
548		You did good. No fumbles here. 
549		A goblin. Not a human. 
550		You cannot get too close. 
551		You cannot understand him. 
552		It is too far removed, his position, his life, his skin, his claws and fangs. 
553		Despite this time you have spent together, there is little else to be done. 
554		Was he... not your brother-in-arms? 
555		Did he not watch your back on this dire journey? 
556		That's fair. I never liked him that much anyhow. (Let the moment pass.) 
557	FC16 str-	What? That's it? 
558	DC16 str-	He was. He was, and has been, my <b>brother-in-arms</b>. 
559		A sad thought. But true. 
560		Then SPEAK. 
561		Seek into his mind. 
562		A man can only bring himself to true power via the bulging arms of his peers. 
563		Let them LIFT you UP. 
564		Become a man, who is NOT an island. 
565		UNDERSTAND HIM. 
566	ROLL30 str-	Understand your brother, despite the world. 
567		Yes? 
568		I really enjoyed hanging out with this little bastard. 
569		I thought he was cool enough. 
570		I didn't have anything against him. Not really. 
571		I wish I got to know him more. 
572		Oh? You did? 
573		Yeah. 
574		"I did it!" 
575		The dwarf at the front of the queue yells, his voice echoing out into the now almost empty temple chamber. 
576		"I finally voted. I actually did it! Hah!" He steps back from the ballot box, wiping sweat from his brow. 
577		The dwarf turns to look out over the chamber, tears streaming from his bloodshot eyes. 
578		"I didn't think it would be so <shake>difficult</shake>...!" 
579		"At least you've got one guy who cares as much about politics as you." 
580		"Wow. What a, uh... true <i>democracy enjoyer</i> right there." 
581		With this gentleman done, you see nothing now- nothing standing between you and your <i>voice</i>. 
582		Here we go! Time to modernize this fucking place. 
583		Save your city. NOW. 
584		Such a waste of time. 
585		<shake>Rumblings...</shake> 
586		<i>A vote. A trove. A war.</i> 
587		This is the first, in the <i>Rule-of-Three</i>. 
588		E-It's time. 
589		You approach the ballot box. 
590		Its slit: a canyon of possibilities. 
591		You should really try to find a girlfriend. 
592		"Time to cast this damn vote." 
593		The guy next to you drops in his own voting card. 
594		As he too leaves the chamber- only you and Snell remain. 
595		"Speaking of which. Here." 
596		From his breast pocket, the goblin shows you a freshly printed voting card. 
597		Without any of the boxes filled in. 
598		That is how you vote in the election. 
599		"You need one of these if you're planning on voting, you know." 
600		"I was supposed to have one?" 
601		"Oh shit. I'd completely forgotten about that." 
602		"Obviously. I know that." 
603		"Yeah. Especially if you're a human." 
604		"Especially-especially if you're a cleric." 
605		"Maybe they forgot to give me one." 
606		"Maybe they didn't want me to vote." 
607		"Maybe I don't deserve to vote." 
608		"You're overthinking it." 
609		"...<i>Probably</i>." 
610		"Not surprising. Considering the fifty thousand esoteric-bullshit-events we've been through." 
611		"A little piece of paper would slip your mind, eh?" 
612		"Yeah, yeah." 
613		"Just take it." 
614		(Look at the voting card.) 
615		"Snagged one of these on the way in. You'll need it, after that ballsy move downstairs." 
616		"Oh, right. The Living Library..." 
617		"Yeah. Sorry again about that." 
618		"That was almost entirely on me." 
619		"I'd completely forgotten about that." 
620		"It kind of was, wasn't it?" (Smirk.) 
621		"Don't worry about it. Shit happens." 
622		(Hold up the voting card.) "We're even now." 
623		"Not surprising. Considering the fifty thousand other entirely different esoteric-bullshit-events we've been through." 
624		"Don't push it." 
625		"A lot of shit happens in dungeons, yeah." 
626		"Sounds good to me." 
627		"Snagged one of these on the way in. You lost yours, right?" 
628		"Oh, yeah. I gave it up in the living library." 
629		"The what?" 
630		"...I'll explain later. It was a whole thing." (Look at the new card.) 
631		You rummage in your pouch for a moment, until you find it: your old voting card. 
632		It's so damn crinkled. And all the boxes are filled in for some reason. 
633		"I already have one." 
634		"Yeah, but they won't accept that." 
635		"The rules clearly state, only one box can be filled in." 
