idx	prefix	english
0		Seemingly out of the air itself, a masked figure appears. 
1		"Master- bad vibe <shake>behind</shake>!" 
2		The intimidating shadow stands ready to strike with dagger in hand. 
3		A coward's weapon for a creature who prefers a sideways fight. 
4		Alone. 
5		Time... shortening. 
6		Fray... <shake>near</shake>. 
7		You should not have- 
8		"Wait- wait...!" 
9	DC13 dex-	(Use your super-fast reaction speed to react super-fast.) 
10		(Just stand there.) 
11		Yeah. Try asking him nicely. 
12		That'll do great. Just- 
13		Yes! 
14		But the assassin moves faster. 
15		No! 
16		What are you DOING?! 
17		Acceptance. 
18		There is no... fixing this. 
19		How dishonorable. 
20		You cannot just backstab someone like this! 
21		That's not- 
22		<shake>YOU SHOULD NOT HAVE COME HERE ALONE</shake>. 
23		(Get stabbed by a shadowy hex-blade.) 
24		"...this maybe one of your friends, Cleric?" the goblin manages to ask, before his eyes widen. 
25		A stranger is just a friend you haven't made yet! Ask about their exercise routine. 
26		"Ah, shit." 
27		"Not <i>this</i> again..." 
28		"I also do not like this situation." 
29		(Point at the assassin.) "That's an assassin." 
30		(Just get ready to fight.) 
31		His eyes fall on the dagger and he immediately reaches for his sling. 
32		Oh! It's happening, <shake>let's gooo...</shake>! 
33	IROLL-	Roll initiative. 
34		You can hear precise, controlled breathing from beyond their esoteric mask. 
35		This is it. They are ready to kill. 
36		You spring into motion, prepared to act. 
37		Your goblin companion takes the initiative. 
38		The Masked One holds up the dagger, quicker than you are able to react. 
39		Or, at least, this time. You're fast as fuck, just, you know, can't win 'em all. 
40		Snell whips his sling with practiced flair, and launches a stone. 
41		The assassin flips backwards trying to dodge it, but it connects nonetheless with a sickening sound. 
42		The sound of a brittle-branch-breaking. 
43		The masked figure's head tilts at you suddenly. 
44		A flick of the wrist, a quick motion with the hands, and dark energy surrounds you. 
45		But only in your mind... 
46		A Hex! 
47		You will take constant damage from this - <i>typical warlock spell</i>. 
48		You feel a deep unease permeate your bones just as the assassin hurls a blast of sickly energy. 
49		But you are close enough to see him preparing the blast, and you duck. It arcs over you harmlessly. 
