idx	prefix	english
0		Nice job stealing that key. 
1		That Coinlord fellow was probably just gonna say some annoying stuff anyway. 
2		Hm. There it goes. 
3		The first day on the job. 
4		You did GOOD. 
5		<i>Well</i>. 
6		You did <i>well</i>. Good is for the gods. 
7		As you approach the bedroll you think to yourself: 
8		Is there anything else you need to do before sleeping? 
9		(Think about it.) 
10		Nothing comes to mind. 
11		But you feel it. 
12		The youth gathering. Yelling. 
13		Two sides, each holding an idealized view on the world, their voices echoing across the shipyard. 
14		THE YOUNG & DUMB. 
15		On <i>Waterlane</i>. 
16		YES. 
17		Exhaustion. It wrecks your body. 
18		DANGER would follow... if you head out in this state. 
19		Trouble on Waterlane View? There's <i>always</i> trouble there. 
20		It's a simple teenage rebellion. They can sort it out themselves. 
21		Hm. You should help them. 
22		YES! I'll head down right now. Down to Pillar Crossing, past the bridge. (Leave. Right now.) 
23		Nah. I'll skip. (Just go to sleep.) 
24		Your gut is telling you: DIVE into this bedroll. 
25		You should listen. 
26		Or...! 
27		Or? 
28		OR: You could push yourself. 
29		Take a deep breath. Steel your body and mind. 
30		And go deal with this ominous calling to Waterlane. 
31	ROLL10 str-	Push yourself. PUSH. YOURSELF. 
32		Staring at your bedroll. Hands clasped. Head low. 
33		You RISE. In spirit and flesh. 
34		Oh. I'm not exhausted anymore. 
35		You are not. 
36		All it took was a push, for a good cause! 
37		But I'm still not sure what's happening down on Waterlane, right? 
38		Then I shall go. To Waterlane. And see what the fuss is all about. Right? 
39		Staring at your bedroll, your weary bones begin to falter. 
40		No amount of pushing is going to get you through this level of exhaustion. 
41		Yeah. Probably right. 
42		I could still try. Go see whatever's happening down on Waterlane? 
43		The decision is yours. 
44		The young kind. 
45		The angsty kind. 
46		The kind of trouble that needs WRANGLING by THE CLERIC! 
47		Pitiable. 
48		Understandable. You would probably only make it worse. 
49		Before you lies a bedroll. 
50		Your body is WORN. 
51		You must rest. NOW. 
52		Why do I have to sleep? 
53		No really, what is this thing? 
54		E-Stop staring at the bedroll. 
55		You sit there, your body burned down to its frays. 
56		Holding it together, just barely, after many failures. 
57		(Groan.) 
58		You are destroying yourself for the quest. 
59		As many men should. 
60		And you will never be the same... 
61		<wiggle>...</wiggle> 
62		No. Your body is not tired enough. 
63		Go make some money instead, you lazy bum. 
64		Wanting to sleep for more than 8 hours a day is a sign of mental instability. Are you okay? 
65		Stress. Troubling thoughts. Life-threatening events. 
66		Your body is still adjusting. 
67		Why would you ever need to sleep? A true man works until his bones break. 
68		Yes. Your body is weary. 
69		It's a waste of time. But sure, go ahead. 
70		A little nap might be good for you. And your manhood. 
71		That's the spirit! 
72		If you stay awake for more than 48 hours, you will die. 
73		If you stay awake for more than 48 hours, your body will cease to function in its current state. 
74		Which is not good for your physical health. 
75		For now, you should not go to bed. 
76		You should go to bed now. 
77		Taking a long rest restores your hit points, hit dice, lowers your exhaustion to zero, and returns your spent spell slots. 
78		A long rest lasts 8 hours, and you can take one after 20:00 each day. 
79		Hm? 
80		It's a... bed. 
81		You're unsure. 
82		It doesn't look like a bed. 
83		Textiles. Leather-bound and filled with some soft material. 
