idx	prefix	english
0		There are three books of interest in this pile. They appear worn and broken. 
1		You put the book back in the pile. 
2		(Open, 'Beyond Reeds' by Meriadoc Moonwatch.) 
3		(Open, 'Humans: A Brief History'.) 
4		(Open, 'Urth and Tol, Founders'.) 
5		E-I'm done here, I think. 
6		You open it, hoping for an interesting take on Coastal travel. 
7		Instead you are immediately met by a pop-travel-guide. 
8		Oh no. 
9		It's written by the famous Freestrider <i>Meriadoc Moonwatch</i> (whom you've met, if you'll recall), a trade prince of the Free Cities. 
10		It's written by the famous Freestrider <i>Meriadoc Moonwatch</i>, a trade prince of the Free Cities. 
11		The introduction is styled as a personal note to the reader. Moonwatch uses a very casual language to convince you of his expertise. 
12		It's also filled with Freestrider propaganda. 
13		It's only propaganda if you disagree with it. 
14		That is actually true. 
15		"At least this helps spread Freestriderism across the Coast." 
16		"I can't read this shit." 
17		Yeah. 
18		That's something. 
19		No you cannot. 
20		This is trite. 
21		It is not so bad. 
22		At least it has none spelling errors. 
23		"What'd you say?" 
24		Close it. 
25		Yeah. Might be for the best. 
26		"What? You looking at books?" 
27		"Are you going to bed, or not? Can I leave?" 
28		"Are you gonna hang out here all day? Or can we leave?" 
29		(Close the tome.) 
30		A history book by Sch. Tîm Alemikan. 
31		It is marked as official goods of Bronzebanner University. It was printed here in Norvik, on the last year of the Arcane Era, 511. 
32		That is twenty-eight years ago. 
33		Don't I know this history already? 
34		I love history. Non-fiction is the best. 
35		So boring. 
36		The book does not have an opinion. 
37		(Skim through it.) 
38		(Close it.) 
39		The first chapters regale the story of humans entering Jor, along with various origins that have been discovered. 
40		Most humans who arrived in Old Diminor came as dragon-servants, during the later stages of the Fade Era. 
41		Although the book also goes into the modern refocus on attempting to avoid the clear anti-dragon biases that infused all historical documents on the topic. Humans were brought to Jor from various outer worlds as workers, fodder, soldiers, and worshipers. Some were made to live in glorified internment camps. Some lived as loyal subjects in royal halls. 
42		<i>The stories of early human existence on Jor are as varied as those of today. We were slaves, yes. But each dragon was a different master.</i> 
43		It then spends a full chapter going over the Draconic Civil War during the Divine Era, and the resulting rise of Doug Doulin Dim. 
44		(Skip ahead.) 
45		You arrive at the Coast War. <i>Its destructiwe</i> [sic] <i>quality impacted human civilizations as much as it did the Coast itself</i>. 
46		<i>Sick</i>? 
47		What drivel. To use modern slang in such a historical setting. 
48		In short: as the Arcanists rose to ever-greater power, humans journeyed into Old Diminor, during the <i>Great Consolidation</i>. An offer of power and wealth to all men, no matter your background, was attractive to say the least. 
49		At its end, approximately ninety percent of all humans were wiped out. Only a few clusters of offshoot communities survived the onslaught. The book contains a solemn list of those human cultures that were fully destroyed in various Curses, void bombs, and intra-human genocides. 
50		The greatest tragedy throughout history. 
51		(Stare at the list. Then move on.) 
52		In its final chapters, the book switches topic to instead focus on the various humans who are still identified as unique phenotypes within the human folktype. Some smaller groups across the Coast have no clear lineage to draconic slavery, but whether that is due to some other origin is unknown. 
53		Those who survived the Coast War. 
54		(Check the chapter on the 'Landbûar') 
