idx	french
0	Il y a trois livres d'intérêt dans cette pile. Ils paraissent usés et abîmés.
1	Tu reposes le livre dans la pile.
2	(Ouvrir « Au-delà de Reeds » de Meriadoc Moonwatch.)
3	(Ouvrir « Les Humains : une brève histoire ».)
4	(Ouvrir « Urth et Tol, Fondateurs ».)
5	E-J'en ai fini ici, je crois.
6	Tu l'ouvres, espérant un point de vue intéressant sur le voyage côtier.
7	Au lieu de ça, tu tombes aussitôt sur un guide de voyage grand public.
8	Oh non.
9	Il est écrit par le fameux Errant <i>Meriadoc Moonwatch</i> (que tu as rencontré, si tu t'en souviens), un prince marchand des Cités Libres.
10	Il est écrit par le fameux Errant <i>Meriadoc Moonwatch</i>, un prince marchand des Cités Libres.
11	L'introduction est stylisée comme une note personnelle au lecteur. Moonwatch emploie un langage très familier pour te convaincre de son expertise.
12	C'est aussi truffé de propagande errantiste.
13	Ce n'est de la propagande que si tu n'es pas d'accord avec.
14	C'est en fait vrai.
15	Au moins, ça aide à répandre l'Errantisme à travers la Côte.
16	Je ne peux pas lire cette merde.
17	Ouais.
18	C'est déjà ça.
19	Non, tu ne peux pas.
20	C'est banal.
21	Ce n'est pas si terrible.
22	Au moins il n'a aucune fautes d'orthographe.
23	Qu'est-ce que t'as dit ?
24	Ferme-le.
25	Ouais. C'est peut-être mieux ainsi.
26	Quoi ? Tu regardes des bouquins ?
27	Tu vas te coucher, ou pas ? Je peux partir ?
28	Tu comptes traîner ici toute la journée ? Ou on peut y aller ?
29	(Refermer le volume.)
30	Un livre d'histoire de Sch. Tîm Alemikan.
31	Il est estampillé propriété officielle de l'Université de la Bannière de Bronze. Il a été imprimé ici à Norvik, la dernière année de l'Ère Arcanique, 511.
32	C'est-à-dire il y a vingt-huit ans.
33	Est-ce que je ne connais pas déjà cette histoire ?
34	J'adore l'histoire. La non-fiction, c'est le meilleur.
35	Tellement ennuyeux.
36	Le livre n'a pas d'opinion.
37	(Le parcourir en diagonale.)
38	(Le refermer.)
39	Les premiers chapitres content l'histoire des humains pénétrant Jor, ainsi que diverses origines qui ont été découvertes.
40	La plupart des humains qui arrivèrent au Vieux Diminor vinrent comme serviteurs-de-dragons, durant les dernières phases de l'Ère du Déclin.
41	Bien que le livre aborde aussi le recentrage moderne visant à éviter les nets biais anti-dragons qui infusaient tous les documents historiques sur le sujet. Les humains furent amenés à Jor depuis divers mondes extérieurs comme ouvriers, chair à canon, soldats et fidèles. Certains furent contraints de vivre dans des camps d'internement glorifiés. Certains vécurent en sujets loyaux dans des salles royales.
42	<i>Les récits de l'existence humaine primitive sur Jor sont aussi variés que ceux d'aujourd'hui. Nous fûmes esclaves, oui. Mais chaque dragon était un maître différent.</i>
43	Puis il consacre un chapitre entier à la Guerre Civile Draconique durant l'Ère Divine, et à l'ascension qui en résulta de Doug Doulin Dim.
44	(Sauter en avant.)
