idx	prefix	english
0		"You checking out the tower, Cleric?" 
1		"Yes. There's some documents that could prove useful." 
2		"I was thinking of going to bed." 
3		"Won't be long." 
4		"Cool. You do that, I'll be here. Waiting." 
5		"What are you, sick?" 
6		"If you're tired, just cast some spell on yourself." 
7		"You know, pull yourself up by the shoelaces. Or whatever the Freestriders always say." 
8		You can normally go to bed after 20:00. 
9		"Sure. I believe you." 
10		He sighs and looks at his filed claws. 
11		E-"Alright. I'll check around." 
12		"Long day." 
13		"I have a feeling tomorrow will be even longer." 
14		"I'm heading home. See you tomorrow, Cleric." 
15		"That was a full day." 
16		"Feels like tomorrow's got even more in store." 
17		"I'll catch you in the morning, Cleric." 
18		"Busy day, huh?" 
19		"I've got the sense tomorrow won't slow down either." 
20		"Rest up. I'll see you then, Cleric." 
21		"Another long one behind us." 
22		"Something tells me tomorrow's shaping up the same." 
23		"Alright, heading off. Goodnight, Cleric." 
24		"Right. That's enough for today." 
25		"And tomorrow... well, we'll handle it when it comes." 
26		"Sleep well, Cleric. I'll be around." 
27		"Can't believe you skipped out on that meeting with the Magistrate." 
28		"I like it though. Never thought a cleric would be so anti-establishment." 
29		"I am absolutely beat." 
30		"And just to check, you've been up for... <i>how</i> many hours now?" 
31		"I'm fine. I'm... fine." (Wobble a bit.) 
32		"I don't know, Snell. I am very tired." 
33		"Uh-huh. Sure." 
34		"That's not what I asked. But I get the point." 
35		"Well, what a <i>generic freak</i> you are. Unless I got humans wrong, and you're all just able to walk around like sleepless zombies." 
36		He looks you up and down as you barely hold yourself together. 
37		"Gotta say, I'm a bit confused as to why you'd just swipe a key like that..." 
38		"And leave." 
39		It was smooth as hells. 
40		He is impressed, but worried. 
41		"I didn't want to talk to him." 
42		"Honestly, I got scared." 
43		"I was supposed to talk to him?" 
44		"Right." 
45		"Well, I feel like that's gonna come back and bite you later." 
46		"But did you see Darrow's face when you just turned and left?" 
47		"Priceless." 
48		"Anyhow, I'm heading home. We'll pick things up tomorrow." 
49		You hear Snell chuckling to himself as he walks away. 
50		"Crazy bastard." 
51		A term of endearment. 
52		"I still can't get over it." 
53		"I mean, an elf? In a tea shop?" 
54		"It's like the start of some dumb riddle." 
55		He grunts and scratches his chin. "I hate riddles." 
56		"I need sleep. See you tomorrow, Cleric." 
57		"So a smoking invisible guy." 
58		"Heading into the Pillar of Jor." 
59		He shakes his head. 
60		"This is some esoteric bullshit if I ever saw it. But..." 
61		He starts heading down the stairs. 
62		"Let's deal with it tomorrow, Cleric. I have a feeling we'll need to be well-rested to make it through." 
63		"Sleep well." 
64		You stand alone in the tower. 
65		E-Time to sleep. 
