idx	prefix	english
0		Up on the bookshelf, nestled between dusty tomes and jars of questionable origin, sits a familiar black cat. 
1		Sir Triban of the Stones-in-the-Waters. In the flesh. 
2		He pretends not to notice you. Classic. 
3		The hag stirs her cauldron nearby, humming something off-key. 
4		"Is that your cat?" 
5		"Oh right. The cat from the garden." 
6		"What? Oh, him." 
7		She waves her spoon dismissively, splattering something green on the floor. 
8		"He's not <i>mine</i>. I'm <i>his</i>. According to him, anyway." 
9		The cat's ear twitches in acknowledgment. 
10		She gets it. 
11		His tail flicks with irritation. 
12		The cat regards you with the same imperious disdain as before. 
13		Some things never change. 
14		(Attempt to pet the cat.) 
15		"Nice place you've got here, Sir Triban." 
16		E-"I'll leave you to your... shelf-sitting." 
17		You reach up toward the shelf. 
18		On your <shake>tippy-toes</shake>. 
19		Sir Triban watches your hand approach with narrowed eyes. 
20		(Pet him anyway.) 
21		(Withdraw your hand.) 
22		He allows it. Barely. 
23		A low rumble emerges from his chest. 
24		DEEP PURRING. 
25		Victory. 
26		"He's sure taken a liking to you," Lisa mutters. "What'd you do, persuade him with Speak-with-Animals?" 
27		"Yes. That's exactly what I did." 
28		"I'm just that good." 
29		"No. Not at all. I didn't do that. You didn't just guess correctly. Not at all." 
30		The hag ignores you and keeps working on her brew. 
31		The cat looks almost disappointed. 
32		The cat looks relieved. 
33		"I do." 
34		"Aren't you gonna pet him?" 
35		"I can't reach up there." 
36		"Oh." 
37		"Oh, let me see here..." 
38		"No, actually I won't. I just don't think MUNCHKINS are allowed to do that." 
39		"You still holding a grudge over that?" 
40		"Oh right. I remember that. That was funny. We should do more callbacks to that." 
41		"If you do, I'm leaving the party." 
42		"Permanently?" 
43		"I mean..." 
44		"No. Please stay. I need you." 
45		"Fuck you." 
46		"Yes, I'm still holding a grudge." 
47		"Fucking <i>munchkin</i>, really? How does this cat come up with more creative insults than every human asshole I've come across." 
48		"Humans are clearly much nicer than cats." 
49		"Humans are clearly not smart enough to come up with something so razor sharp as that." 
50		"You come across many human assholes in your days?" 
51		"I'm considering that as we speak." 
52		"True." 
53		"Yes. But in the not literal sense. Just to make sure." 
54		The cat's whiskers twitch. It cares not. Of anything. 
55		The cat does not deign to respond. 
56		"He thinks it's beneath him," Lisa offers. 
57		"But he won't leave. So." 
58		A soft hiss from the bookshelf. 
59		The cat does not acknowledge your departure. 
60		Typical. 
61		You place your palm in front of your face and whisper... 
62		"<i>Everything is words.</i>" 
63		The familiar shift occurs. Suddenly, the cat's micro-expressions become readable. 
64		Sir Triban's ear flicks toward you. 
65		"Hello again, Sir Triban." 
66		"Ah. The brute who learned to speak does so again." 
67		He stretches, claws extending briefly into the spine of an ancient book. 
68		"You found my dwelling. How... persistent of you." 
69		"You told me where you lived." 
70		"I had to see the legendary Sir Triban in his natural habitat." 
71		"Your 'home-stay servant' seems nice." 
72		"Did I?" 
73		"Hm. A lapse in judgment, clearly." 
74		"<i>Natural habitat</i>." 
75		"As if I am some beast to be observed." 
76		He is clearly pleased by the word 'legendary'. 
77		"She is adequate." 
78		"Her cooking leaves much to be desired. But her book collection is... acceptable." 
79		High praise from a cat. 
80		The hag hisses at you both. 
81		"Well. Since you've invaded my home..." 
82		He yawns, showing off an impressive array of tiny fangs. 
83		"I suppose I should be a <i>gracious host</i>." 
84		The sarcasm is palpable. 
85		Sir Triban acknowledges your spell with a flick of his tail. 
86		"Back again, brute?" 
87		"You are becoming a nuisance." 
88		But he doesn't tell you to leave. 
89		"Did anyone ever tell you, you're really, really cute?" 
90		"How long have you lived here?" 
91		"What do you do all day?" 
92		"Do you miss the outside?" 
93		"Any wisdom for a weary traveler?" 
94	ROLL10 cha-	Perhaps he knows something useful about this city. 
95		E-"Thank you for your hospitality, Sir Triban." 
96		"Watch it, <i>human</i>." 
97		"Or I'll send one of these books flying into your bucket-head." 
98		Lisa snorts. "He's done it before. Gave me a black eye last winter." 
99		"You deserved it," the cat seems to say with his glare. 
100		"Three winters." 
101		"Before this, I roamed the streets. A hunter without equal." 
102		"But the cold grew tiresome. And this one-" 
103		He gestures vaguely at Lisa with his tail. 
104		"-offered warmth. And fish." 
105		"A fair trade." 
106		He makes it sound like a business arrangement. 
107		It probably is, to him. 
108		"I observe. I contemplate. I nap." 
109		"The life of a philosopher is not one you brutes would understand." 
110		He licks his paw with dignity. 
111		Truly, a creature of deep intellect. 
112		He's a cat. He sleeps and eats. 
113		"Sometimes." 
114		"The hunt. The wind. The terror in the eyes of lesser creatures." 
115		He stares wistfully at nothing. 
116		"But I am old now. The shelf suits my resting hours." 
117		A surprisingly honest answer. 
118		"The witch?" 
119		"She is loud. She smells of herbs. She talks to herself." 
120		"But she has never tried to put me in a <i>costume</i>." 
121		"So she is tolerable." 
122		The bar is beneath Jor's Ocean. 
123		"Yes." 
124		He fixes you with his dark eyes. 
125		"Never trust a dog." 
126		Profound. 
127		"They are idiots. Every single one." 
128		"You do. Finally." 
129		"Do not make up new words to try to one-up me, <i>human</i>." 
130		"It will not work." 
131		"No." 
132		"And I do not wish to." 
133		"That night disturbed my sleep for weeks." 
134		He shudders, fur bristling slightly. 
135		It genuinely bothered him. 
136		"Mm." 
137		"Do not make a habit of visiting." 
138		He closes his eyes. Audience over. 
139		You've proven yourself. Time to see if he'll share something valuable. 
140		"Sir Triban, surely a creature of your wisdom knows secrets of this city that we 'brutes' have forgotten." 
141		The cat's eyes narrow. 
142		"Flattery." 
143		"Obvious flattery." 
144		A pause. 
145		"...But not inaccurate." 
146		He shifts on the bookshelf, settling into a storytelling posture. 
147		This should be good. 
148		"There is something the strays speak of." 
149		"A tale passed down through generations of Tolstad's... <i>superior</i> residents." 
150		He means cats. 
151		"The Whitemane secret." 
152		"Whitemane? The lionfolk?" 
153		"Go on." 
154		(Listen intently.) 
155		"Do not interrupt." 
156		"I am." 
157		He appreciates your respect. 
158		"Long ago, before this city forgot its origins, the Whitemane built a shrine." 
159		"A statue of a great cat. A <i>proper</i> cat, not one of those overgrown lion-brutes." 
160		He seems to take personal offense at lionfolk. 
161		"It stands still, half-ruined, up in the grander city." 
162		"On the slope leading up from here. Where the wealthy brutes pretend they're better than the rest." 
163		"A cat statue?" 
