idx	prefix	english
0		You glance at the ladder. 
1		It's one hell of a climb. 
2		Those cogs... they could swallow you. Whole. 
3		This looks kind of dangerous... 
4		What kind of man - no - what kind of <i>human</i> cannot climb a simple ladder for twenty short feet? 
5		It would be embarrassing for anyone, of any age, to fail this. 
6	ROLL5 str-	Attempt to climb the ladder. 
7		E-Maybe... not right now. Yeah. Later. 
8		Your hands move in that familiar shape, and a few special words come out of your mouth. 
9		And within an instant, the ladder is coated in a thick layer of colorful magical grease. 
10		Your goblin companion loses any form of respect previously found on his expression. 
11		"Okay." 
12		"Nice." 
13		"Greased that sucker up, huh?" 
14		Taking a confident step onto the ladder, you begin your climb. 
15		You close your eyes as you do so, in order to fully immerse yourself in the experience of changing your elevation. 
16		You are afraid. It is very high. 
17		Yet your body remains calm. 
18		SCARY. 
19		But within a moment... 
20		Wait... 
21		Your left foot. It's not... 
22		It's not on the ladder anymore. 
23		That's not good. 
24		Your right foot... 
25		That one's gotta be on the ladder, right? 
26		Um. I'm afraid to say that... no. 
27		Both of your feet have slipped off the ladder. 
28		The distant cry of a concerned goblin is far, far away from you now. 
29		As your entire being is fading into nothing on the floor of this random rollermill on Tolstad. 
30		Hold on- I'm DEAD? 
31		What did you expect when you greased up the ladder like that? 
32		There's no need to fret. 
33		You've been given your due. This is it. 
34		This is your end of the stick. 
35		This is just... no. This does not make sense. 
36		You are a servant of Urth. You've dedicated your entire adult life to serve him. 
37		This is not how you are rewarded. No... 
38		No. 
39		You are... 
40		No. I refuse this end. (Reach out.) 
41		Not. Yet. 
42		You... refuse? 
43		R-NOT. LIKE. THIS. (Grab onto anything you can.) 
44		<b>You still have work to do</b>. 
45		The world distorts around you. You were falling. Then you were not. 
46		Twisting. Turning. Forces beyond your might. 
47		ESOTERIC FORCES ABOUND. 
48		I, uh... what did I do? 
49		This is an esoteric event. Your mind can barely register it. 
50		Your body is on the verge of breaking. Every moment a painful reminder of the thousand others who failed just like you just did. 
51		You will not come out of this unscathed. 
52		But you can take it. 
53		I'm not dead anymore? 
54		I'm scared. 
55		(Laugh.) 
56	ROLL1 wis-	Attempt to pull the <i><b>Strings</b></i>. 
57		No <no>. 
58		<i>Don't worry, honey. He'll be okay. The clerics know what they're doing.</i> 
59		Why are you laughing? 
60		Don't do that. Your laugh sucks. Be quiet. 
61		You follow them as they dance. 
62		One seems to go good. But it is far away. 
63		Yet it is moving closer. By what force? 
64		Is it... <b>him?</b> 
65		<i><b>Don't go.</b></i> 
66		<i><b>Take the String handed to you.</b></i> 
67		The String dangles in front of you. Almost playfully. 
68		You know you do not have a choice. 
69		You will have to go through this. 
70		Even if it was not a path you idealized. 
71		At times, the worst thing a person can do is to be handed a String, upon the behest of fate. 
72		Yet you cannot tell if this is one of those moments. 
73		Take the String. 
74		It really, really, was not meant to be, then. 
75		Not this time. 
76		I am sorry, my son. 
77		<i><b>...Who are you?</b></i> 
78		(Let go.) 
79		You do not deserve this, Ragn. 
80		<i>I</i> must. But you... 
81		<b>...you can do this again, can't you?</b> 
82		You fall into the esoteric cracks in the world. 
83		<i>I</i> will miss you. 
84		"Gods, you're slow. Can we get moving now?" 
85		E-Let's go. 
86		You approach the ladder once more. 
87		A LONG WAY TO FALL. 
88		A LONG WAY TO CLIMB. 
89		This time should be easier. 
90		Thank the gods. You don't have to try so hard this time... 
91		(Climb the ladder again.) 
92		E-Not right now. 
93		You take the first step onto the ladder, and then... 
