idx	prefix	english
500		They're just lazy boys. 
501		A good kick can get a man going. 
502		But it can just as easily cause him to resist a good piece of advice. 
503		"Our service to the city is not something you can put a price on." 
504		Great comeback. Bet he's thought about that one for a long time. 
505		"Uh- yeah. It is." 
506		They're awfully quiet. 
507		"I'm actually, uh... I work on Waterlane. On some days." 
508		The magic kid raises his hand. "I used to deliver milk. It's a seasonal thing." 
509		"Rollo worked at the Fishery." 
510		He gives the quiet kid a dirty look. "Those assholes fired me for not keeping up a bullshit quota." 
511		"So yeah, Cleric. We would have proper jobs if this city wasn't so infected." 
512		"Infected with what?" 
513		R-"I can recommend you boys into the Urthguard." 
514		"Good luck with that." 
515		"Uh. Outsiders? Freestriders?" 
516		"You mean immigrants?" 
517		"I, too, dislike immigration." 
518		"Calling anyone not from Norvik an infection is horrible." 
519		"I- sometimes. But not like-" 
520		"Y-yeah. Or, I mean- it's not like everyone coming here is bad." 
521		"That's not what I-" 
522		"I have a friend from Fordnip. He's cool." 
523		"And Likki's family is Vourgeni. There's a difference between immigrants and immigrants." 
524		"Who are the 'good immigrants' in this case?" 
525		"We should have more immigration. That'll solve all our problems." 
526		"Only humans should be allowed in Norvik." 
527		"Only humans and dwarves should be allowed in Norvik." 
528		"Only humans and dwarves should be allowed in Norvik. And halflings." 
529		(Wait for the kid to explain.) 
530		"The... types that work hard. I guess?" 
531		"Don't commit crimes." 
532		"They should learn to speak Diminor too." 
533		"When they make nice food." 
534		"Cool. We've got a definitive list now." 
535		He scoffs, loudly. 
536		"That's... no?" 
537		"Then there'd be even less jobs for us Urthfolk." 
538		"That's not how economic growth works." 
539		"Yeah, but there'll be lots of happy non-Urthfolk." 
540		"The Urthfolk don't deserve to exist anymore. We should all just disappear into the void." 
541		"Uh. Okay, maybe not. But that doesn't change what it's like to work for the guilds today." 
542		"Sure. At the expense of us? Like, what the hell?" 
543		He stares at you with a stunned expression. 
544		"You- you want us to die?" 
545		"If you're going to complain too darn much, yeah!" 
546		"Sounds a bit rough when you put it like that." 
547		He shakes his head. "Well, I do <b>not</b> agree." 
548		"<i>Thanks</i>." 
549		He rubs his cheek. 
550		A nervous tic. 
551		"It's... complicated, okay?" 
552		"Norvik has always been a place Urth conquered for humans. But he was also friends with lots of other folk." 
553		"So the main issue isn't really immigrants. It's more like... when there's so many immigrants that the city can't really keep everyone, like..." 
554		"Happy?" 
555		"Prosperous?" 
556		"Safe?" 
557		"Politically engaged?" 
558		"Fed?" 
559		"Housed?" 
560		"Employed?" 
561		"In stable long-term healthy relationships?" 
562		"Sure, something like that." 
563		"But in the end, the Freestriders make a bunch of crowns in the city. While the Urthfolk suffer." 
564		"And we don't like that." 
565		"We don't." 
566		"We really don't." 
567		"Really don't?" 
568		"The Freestriders bring prosperity to all. The Urthfolk will be better off. Eventually." 
569		"It sounds like you dislike the greed of Reeds more than you dislike immigrants." 
570		"The Freestriders bring democracy and stability. That comes at a cost." 
571		"I think we should keep things exactly as they are now." 
572		"Just get a job. How hard could it be?" 
573		"Really don't." 
574		The silent kid mutters, "We don't." 
575		"We do not." 
576		"We disagree." 
577		"Yes! That's exactly it!" 
578		He's so happy not having to feel like a racist. 
579		"Well, we can't afford that cost." 
580		"Okay. We disagree." 
581		"Easy for you to say." 
582		"Have you tried getting a gig at any of the guilds in the last couple of years?" 
583		"Seventy hours a week at the fishery got me barely enough to afford rent. Add some food on top of that, and it's barely enough to survive." 
584		"And then they cut the hourly rate, to keep up with pressure from investors. You know, from <i>Reeds</i>." 
585		"It's a shitshow." 
586		"Thanks." 
587		"...What?" 
588		The blonde kid looks at you with confused, darting eyes. 
589		It has not sunk in yet. 
590		"Yeah. You'd get fast-tracked into training." 
591		The kid starts muttering to himself. 
592		Intense fear suddenly washes over him. 
593		"But that's..." 
594		(Point at the kid who keeps casting cantrips.) "And you could be a cleric one day." 
595		The lanky boy begins to speak, but stops himself. 
596		He realizes you are correct. And he appears frightened over the possibility. 
597		(Take out some paper and write them an official recommendation each.) 
598		They look stunned as you hand over the papers to them. 
599		"Are you serious?" 
600		"Urthguard? Isn't that... <i>clerics</i>?" 
601		"Lots of different Urthguard. From Street Watchers to Equestrians. You'd make a great Wall Enforcer, big guy." 
602		"Oh. Wall Enforcer? Like, with <i>armor</i>?" 
603		"Huh. I thought only nobles could be Equestrians." 
604		"No, they changed that. Read about it in the paper. Though being a Street Watcher seems like a bit of a shit job..." 
605		As his friends speak, the blonde kid looks at his recommendation in disbelief. 
606		"So, this is..." 
