idx	prefix	english
0		The cogs keep spinning. 
1		But you notice something. 
2		A shiny red <i>thing</i>, stuck to the inner part of the top-wheel. 
3		The dedendum. 
4		It is called the dedendum. 
5		You approach the cog, and the sticky red thing stuck to it. 
6		In the dedendum. 
7	DC15 int-	Dede-<i>dum</i>? 
8	ROLL18 dex-	Grab the sticky red thing from the cogs without losing your fingers. 
9		E-I will return. 
10		Dedendum. 
11		Ah. The dedendum. I see. It's the radial distance from the pitch circle down to the bottom land. 
12		Yes. 
13		But the <i>bottom land</i> (also known as the <i>tooth root</i> by some lesser engineers) is the actual flat or curved surface at the very base of that valley. 
14		You know this well. 
15		You read about it in a book once. It was a very old guide to machinery, written before the Coast War. 
16		Cool. This might come in handy. 
17		Of course it will. 
18		Within a moment of focus, a splash of magical grease appears all over the cogs. 
19		Within seconds, as it spreads throughout the system, the speed of it all ramps up. 
20		"Whoa." 
21		"Whole place is shaking. You really sped that shit up." 
22		"I'm not sure for what reason, but... I'm sure you have a plan here." 
23		You swipe in a hand, and... 
24		(Quickly pull it back, with the <i>thing</i>.) 
25		YES! 
26		Smooth as hells. 
27		Hey, cool. It's a Stress Cube! 
28		That brings you back. 
29		All the kids used to go crazy over these. 
30		You know, the ones who called you <i>Apple Boy</i>. 
31		APPLE. BOY. 
32		Yeah. This isn't a great childhood memory for me. 
33		What a nostalgic feeling. It's great for an adult like me to indulge in these childish toys. 
34		A toy. For a <i>child</i>. 
35		A toy? How quaint. 
36		A slice of a real gelatinous cube. 
37		You could probably sell this for a quick buck next week. 
38		Until then, eh, maybe give it a squeeze. Could help out with the nerves. 
39		E-Maybe I will. 
40		You swipe in a hand. 
41		And... 
42		(Pull it back.) 
43		Hm? 
44		(Pull it back. Now.) 
45		Uh... 
46		That doesn't seem to do anything. 
47		What? 
48		It's stuck. 
49		WHAT?! 
50		Yeah. This is...  
51		BAD...! 
52		(Scream. Howl. Shout.) 
53		Your FINGERS...! 
54		Your GODS-BE-DAMNED fingers! 
55		(Get pulled down.) 
56		The pain blinds you. But you feel it. 
57		The fall... 
58		(Hit the ground.) 
59		<shake>AHHH...!</shake> 
60		Well. 
61		You're alive. 
62		Somehow. 
63		(Get up.) 
64		That was... fucking awful. 
65		But it was so close...! 
66		Your greed is sickening. 
67		"Cleric! What the HELL?!" 
68		"You're- I... ugh..." 
69		The goblin lets out an exasperated groan. 
70		"Be more careful. Okay?" 
71		"Master hurt!" 
72		"Meek must get good at spotting iron threat." 
73		"Meek assume: master is not going to put hand into grinding machine." 
74		Yeah. Next time, don't fall down. 
75		E-(Leave the giant cog(?) alone.) 
76		"Don't tell him that." 
77		"Meek will! Meek WILL!" 
78		Come on. You gotta go try again, don't you? 
