idx	prefix	english
0		The machine hums in the corner. 
1		The copper press. A wonder of the late Arcane Era. 
2		This thing is incredibly expensive. 
3		The fact these Azgalists have one means they must have some type of funding. For sure. 
4		Or they just stole it at some point. 
5		(Look over the machinery.) 
6		How does this thing work? Like, actually? 
7		Could I sabotage this machine? 
8		E-Thank you for your time, printer. 
9		It's humming along. 
10		They keep it running, since it's usually a hassle to get the mago-engine going. 
11		The girl's exchanging some parts. Probably tinkering with the auto press plates. 
12		It's time consuming to set a copper press up for a print. But once it's going, it can go forever. 
13		Or until it runs out of ink. 
14		Who knows. 
15		A series of thin copper plates, or wafers, are magically configured to align with the alignment-pages. 
16		This process takes time, and stacking the wafers in the right order, and making sure the pages are lined up properly can take many test prints. 
17		There's potential there. If you disrupt the calibration bad enough, you'd fuck up their entire production pipeline. 
18		But it'd be really dangerous. These dwarves could mess you up if they spot you. 
19		And while you'll get into a real mess if you were spotted... you wouldn't fuck up that bad, would you? 
20		Agent Viira would be very happy if you did, of course... 
21	ROLL16 dex-	Mess with the calibration when no one notices. 
22		Let's not. 
23		Sneakily you reach into the mouth of the beast (printer) when nobody seems to notice. 
24		Your fingers dance along the ink-stained wafers and cogs, until you get to the internal alignment screws. 
25		The things keeping the wafers in the right margins and pressure. 
26		(Start twirling with them.) 
27		With a few quick twirls, you can see how the copper wafers get unaligned with the structure around it. Then another few tugs at the knobs next to it, the angle and probably strength of the entire pressing-mechanism has changed as well. 
28		(Pull back.) 
29		You pull back your hand and wipe off some of the residue ink on the side of the machine. 
30		No one noticed. 
31		You've now fucked up their entire production. Great job. 
32		The things keeping the wafers in the right margins and pressure. Now you just need to... 
33		"What are you doing, Cleric?" 
34		SHIT. ABORT! 
35		(Quickly pull your arm out of the machine.) 
36		As you do, something sharp catches onto your sleeve. 
37		Or at least you assume it's your sleeve at first. 
38		(Pull harder.) I must escape the maw of the beast! 
39		As you do, you realize the sharp thing is not caught in your sleeve. 
40		It's caught in your skin. 
41		As you rip your arm out with a fast tug, that sharp thing rips along your arm. 
42		A GASH. 
43		A streak of blood flies across the mouth of the printer, splattering the apartment wall, and pooling on the floor. 
44		"Mr. Cleric!" 
45		"What are you doing?!" 
46		(Garble incoherently.) 
47		(Try to gather your blood.) 
48		IT MUST RETURN TO THE VEINS. 
49		"Stop it!" 
50		"What hells is he doing over there?" 
51		"He's trying to mess with the printer. Or something." 
52		It's fine. Just talk your way out of it. 
53		"The press... was hungry..." 
54		"Whoops!" 
55		"I'm sorry..." 
56		"Do you realize how annoying it'll be to clean that up?" 
57		"And what the hells are you... are you... are you trying to tamper with the press, Mr. Cleric?!" 
58		"No." (Say it way too quickly.) 
59		"Not on... purpose." 
60		"Yes. And I'll do it again." 
61		"No, you won't." 
62		"You know what... I'm not taking my eyes off you when you're near it." 
63		"So go ahead. Just try doing that again, bitch." 
64		"Listen to her, Mr. Cityman!" 
65		"Or you'll get Azgalian fury on your arse!" 
66		Sure. Could be trouble. 
