idx	prefix	english
0		You see a collection of books from the philosophy canon none of which you are really able to understand. 
1		Next to them, a line of famous political books. Azgalist theory, Hedonists, the Dark Book of Shadow, Léxandro. Many more.  
2		Hm. No Freestrider work. Disappointing. 
3		This scholar has good taste. 
4		You approach the complicated books once more. 
5		(Open, 'The Folk' by Léxandro.) 
6		(Open, 'A Blind Manifesto' by the Hedonists.) 
7		(Open, 'Memoirs of a Statesman' by Nicholas Darrow.) 
8		E-I'm done here. 
9		Léxandro. 
10		This was the first book placed in your hands as an Urthfolk recruit. 
11		Open it. 
12		(Look inside.) 
13		(Put it back.) 
14		It's an old, worn copy of that same text. 
15		Musings about the Divine Era. Of great walking gods and their theocratic states. 
16		A history lesson, morphing into a series of guidelines: how modern leaders, as a response to the drawn-out Coast War, should return to the <i>old</i>. 
17		The proven. The organized. 
18		The divine. 
19		Although written from the perspective of not faith nor service to the holy, but rather that of service to the state. 
20		A modern theocratic vision. The nation as an entity not bound by the protection and lifetime of its god. 
21		Instead, the nation state will survive on unifying cultural traits, passed down from that god to his people. 
22		This, Léxandro writes, will fasten them into the earth, creating firm groundings for the states to exist beyond any others. 
23		The later chapters go on to describe his dream of a Millennium Empire. His grand plan. A nation to survive the passing of eras. 
24		A collection of ideas he gathers in this dream. An ideology, structured around order, without the weakness of monarchy, the chaos of democracy, or the esoteric dependence of magocracy. 
25		The Millennium Empire. The FASCIST ideal. 
26		A good book. Léxandro knew what he was talking about. 
27		It's almost like he wrote directly about the struggles of today's Norvik. 
28		Dangerous ideas. Fascism has led many cities astray in Reeds. 
29		I don't care about this. 
30		Whatever your thoughts are, this book is used to reshape the city. 
31		You live in fear of where its path will lead. 
32		You know well how effective it is. 
33		Just remember: it was written by a <i>gnome</i>. 
34		Léxandro was a gnome. He tried using the so-called <i>Fasci di Condottieri</i>, the great mercenary warlords of Old Diminor, to bring order to the neglected parts of the Band. 
35		He was, however, ultimately destroyed by the same warlords he created, when his followers failed in their coup of Savalni. 
36		Ironically, the responsible squad reportedly did not realize who they had killed at first - they had simply been hunting down any non-humans in the city. 
37		This... this was not openly spoken about during your training. 
38		But yes. It is true. 
39		Something to ponder. 
40	DC16 int-	His followers misunderstood his message, then. 
41	DC16 int-	That is indeed, very ironic. 
42		(Put the book away.) 
43		If a message is misconstrued - is that the fault of the reader or the writer? 
44		The reader. 
45		The writer. 
46		I don't know. 
47		Both. 
48		Yes. 
49		It is <b>both</b>. 
50		Indeed it is. 
51		You close it, and place it back in its spot. 
52		Perhaps later, then. 
53		The book. 
54		THE book. 
55		<i>Always listen to your hungry stomach,</i> it says with big, ugly letters on the first page. 
56		You should listen to the book. And the stomach. 
57		This crazy old text... 
58		This wonderful manual... 
59		This foul debauchery... 
60		Same as always, the book begins with a tirade about property ownership. 
61		Then, on the fifth page, you find a diagram showing how to ritualistically summon a demon. 
62		It's incorrect however. On purpose, supposedly. 
63		The purpose is metaphoric criticism of authoritarian governments. 
64		The rest is a series of extreme essays on the topics of Hedonism: rejection of statehood, free association, maximizing sensation, direct democracy, and reciprocal exchange. 
65		It paints up an image of an ideal world, where all can live without strife simply through the cooperation and love of all things. 
66		A loving image. Communally loving. 
67		Made illegal in many cities after its release in 466 AE, this rambling text has survived for one reason or another. 
68		It is... the <shake>thing</shake> that makes you feel good. 
69		The text of TRUTH. 
70		(Look at the chapter on 'free love'.) 
71		You flip to pages fifty-two. You remember it well. 
