idx	french
0	Tu vois une collection de livres du canon philosophique dont aucun ne t'est réellement compréhensible.
1	À côté d'eux, une rangée de fameux livres politiques. La théorie azgaliste, les Hédonistes, le Livre Noir de l'Ombre, Léxandro. Bien d'autres.
2	Hm. Aucune œuvre errante. Décevant.
3	Ce savant a bon goût.
4	Tu t'approches de nouveau des livres compliqués.
5	(Ouvrir « Le Peuple » de Léxandro.)
6	(Ouvrir « Un Manifeste Aveugle » des Hédonistes.)
7	(Ouvrir « Mémoires d'un Homme d'État » de Nicholas Darrow.)
8	E-J'en ai fini ici.
9	Léxandro.
10	Ce fut le premier livre placé entre tes mains en tant que recrue des gens d'Urth.
11	Ouvre-le.
12	(Regarder à l'intérieur.)
13	(Le reposer.)
14	C'est une vieille copie usée de ce même texte.
15	Des réflexions sur l'Ère Divine. Sur les grands dieux marchant sur terre et leurs États théocratiques.
16	Une leçon d'histoire, se muant en une série de directives : comment les dirigeants modernes, en réponse à l'interminable Guerre de la Côte, devraient revenir à l'<i>ancien</i>.
17	L'éprouvé. L'organisé.
18	Le divin.
19	Bien qu'écrit du point de vue non de la foi ni du service au sacré, mais plutôt de celui du service à l'État.
20	Une vision théocratique moderne. La nation en tant qu'entité non liée à la protection et à la durée de vie de son dieu.
21	Au lieu de cela, l'État-nation survivra grâce à des traits culturels unificateurs, transmis de ce dieu à son peuple.
22	Cela, écrit Léxandro, les ancrera dans la terre, créant des fondations solides pour que les États existent au-delà de tout autre.
23	Les chapitres ultérieurs décrivent son rêve d'un Empire Millénaire. Son grand plan. Une nation qui survivrait au passage des ères.
24	Une collection d'idées qu'il rassemble dans ce rêve. Une idéologie, structurée autour de l'ordre, sans la faiblesse de la monarchie, le chaos de la démocratie, ou la dépendance ésotérique de la magocratie.
25	L'Empire Millénaire. L'idéal FASCISTE.
26	Un bon livre. Léxandro savait de quoi il parlait.
27	C'est presque comme s'il écrivait directement sur les luttes de la Norvik d'aujourd'hui.
28	Des idées dangereuses. Le fascisme a égaré bien des cités à Reeds.
29	Je m'en fiche.
30	Quelles que soient tes pensées, ce livre sert à remodeler la cité.
31	Tu vis dans la crainte de savoir où son chemin mènera.
32	Tu sais bien à quel point il est efficace.
33	Souviens-toi juste : il a été écrit par un <i>gnome</i>.
34	Léxandro était un gnome. Il a tenté d'user des soi-disant <i>Fasci di Condottieri</i>, les grands chefs de guerre mercenaires du Vieux Diminor, pour apporter l'ordre aux parties négligées de la Bande.
35	Il fut cependant, en fin de compte, détruit par les mêmes chefs de guerre qu'il avait créés, quand ses partisans échouèrent dans leur coup d'État de Savalni.
36	Ironiquement, l'escouade responsable n'aurait pas réalisé d'abord qui elle avait tué- elle traquait simplement tous les non-humains de la cité.
37	Ça... ça n'a pas été ouvertement évoqué durant ton entraînement.
38	Mais oui. C'est vrai.
39	De quoi méditer.
40	Ses partisans ont donc mal compris son message.
41	C'est en effet très ironique.
42	(Ranger le livre.)
