idx	prefix	english
0		You take a step into the cramped office, standing in front of a sleeping halfling. 
1		This is a scholar? 
2		<i>Curse the gods</i> - go investigate his book collection before waking the lazy halfling. 
3		Isn't that a gnome? 
4	FC8 int-	What's the difference? 
5		(Kick the lounge chair.) 
6		"<b>Good forenoon, citizen</b>!" 
7		"Hello?" 
8		E-I'll leave him alone for now. 
9		Aesthetics, <b>only</b>. 
10		They assure you that there is a distinct biological and esoteric difference, but you know it's all hogwash. 
11		They're short. They're stout. They're the same. 
12		That is reductive and false. 
13		Don't even think things like that. 
14		"Guh!" he exclaims and throws open his bushy eyes. 
15		"Oh...!" he mutters and widens his bushy eyes. 
16		"Oh..." he moans and slowly opens his bushy eyes. 
17		His confused gaze focuses on you. 
18		"<i>Life is pain</i>." 
19		"What?" 
20		(Glare at him.) 
21		(Kick the chair.) 
22		"<b>Guh...!</b>" 
23		"Calm down," he says, trying to conceal a smirk. 
24		"Stop! Are you a madman?!" 
25		"No. I am <b>The Cleric</b>." 
26		"Wake up." 
27		"Sorry. I had to." 
28		"Clearly," he says, groaning. 
29		"I am doing it!" he shouts, then groans. 
30		"I disagree," he tells you, groaning. 
31		"Terrible, terrible pain. <i>Oh...</i>" he mutters and rubs his face. 
32		The wrinkles fold over one another like waves on a storied sea. 
33		He's pretty old. And tired. 
34		"Are you..." 
35		He looks at you with his weary expression. Then he rubs his nose and sniffs twice. 
36		"Are you here for the invoice?" 
37		A quick glance to Snell. 
38		His words come out in a typical Fordnip accent. 
39		His words come out in a stilted halfling accent. 
40		"...What?" 
41		"No?" 
42		"The <shake>invoice</shake>!" 
43		"I don't have any invoice. Not for you at least." 
44		"You don't?" 
45		"No." 
46		"Oh." 
47		"Oh?" 
48		"<b>Gah!</b>" 
49		He grips the armrests of the chair. 
50		"That was slightly unnecessary," Snell tells you. 
51		"Stop this <i>kicking</i>!" 
52		"All done." (Smile, despite the fact that no one can see it.) 
53		"...I'm not dead yet, damn you." 
54		"Oh. Hold on." 
55		"I've already paid that invoice! You're here for something different." 
56		He leans in, facing Snell. "I hope queen goblin has no quarrel with this old scholar?" 
57		He holds up a palm. "Nah. We're here on city business." 
58		"Yes, I've got some questions about the tea shop, mostly." 
59		"I'm exploring random buildings, and yours was unlocked." 
60		"Tea shop? Then you are dealing with interesting events." 
61		"The city has seen its fair share of great calamities over the years, and the tea shop explosion appears tiny in comparison." 
62		"Tiny? No. It's a huge conspiracy." 
63		"Probably. But I have some questions regardless." 
64		"A huge one? Better take care of it, then." 
65		"Of course!" 
66		"That's not..." 
67		"So you are a trespasser of benevolent intent?" 
68		"...I guess that's not too far off." 
69		"Curiosity is absolutely vital for keeping the old brain in motion. So I commend you, Cleric!" 
70		"And you as well, my goblin friend." He looks around, grunting. "Can I get either of you some <i>fucking</i> water, or...?" 
71		He wields swear words like Coastal winds. 
72		You like this guy. He's like a rabid dog, without the biting. So far. 
73		This halfling is wild. In a fun way. 
74		"No, thank you," your companion replies very quickly. "You're Scholar Appledent, right?" 
75		"Me? Yes!" 
76		"I am <b>Snurre Appledent</b>," he says and bows his head in the chair. "Scholar of Fordnip University, in dedicated service to the progress of AIS." 
77		"But what exactly do you do?" 
78	FC15 int-	"AIS?" 
79	FC15 int-	"You study alignment?" 
80		"Many things!" 
81		"Alignment Intent Studies." 
82		"Among other things." 
83		"Primarily, my expertise lands on the topic of alignment, and its many historical and contemporary applications. Some <i>bullshit</i>, I will tell you." 
84		"These days I mostly deal with other forms of study. Specifically, I run this office here on the experimental technique of psychoanalysis." 
85		Ah, yes. He's a scholar of Cividix. Modern psychoanalysis is an offshoot of his methods. 
86		"What kind of magic is that?" 
87	DC18 int-	"The Cividix method?" 
88		"No magic at all. Although there has been some <i>Detect Thoughts</i> involved at some points in the development." 
89		"You read! A wonder of the clerical trade!" 
90		"It is a form of mind healing, as they call it. I'll be one to call it 'support' instead." 
91		"It is essentially the idea that the mental present is shaped by the mental past. And that through dialog, our unreleased unconscious <b>ghosts</b> can be vanquished." 
92		"...An exorcism?" 
93		"So it's... talking... about <i>feelings</i>?" 
94		"Can't you just cast a healing spell?" 
95		"...Almost!" 
96		"While the ghosts are metaphorical, it is really not that different from the expulsion of a necrotic possession." 
97		"I know. Truly horrifying." 
98		"If only! The mind is sadly a bit more complicated than that- to the point where even the great Arcanists could not make a proper mind healing spell. So this technique makes up for it." 
99		"A Reedsian friend of mine once told me this joke, and I apologize if it is too vulgar for your taste, but," he sputters out the words through little chortles. 
100		(Listen to the vulgar joke.) 
101		"How vulgar?" 
102		"I don't have time for a joke." 
103		"Very vulgar!" 
104		"It's about a woman's private parts." 
105		(Lean in.) "Go on." 
106		"Then I'll skip. I'm sensitive about stuff like that." 
107		"Right." 
108		"A Cleric, an Arcanist, and a Rogue delve into the lair of a succubus!" 
109		"The fiend defeats all three men, throwing them in her dungeon." 
110		"But she grows to fancy them, so she offers them a choice: for each man who can successfully satisfy her, she will let that man go. Otherwise," he speaks with little fits of laughter in-between, "she ends them, so to say." 
111		This is going to be a long tale. 
112		You actually haven't heard this one. 
