idx	prefix	english
0		"Welcome to my pad. Go ahead. Root around as much as you want." 
1		Don't mind if you do... 
2		Sarcasm. 
3		"Really?" 
4		"Oh. So I can have some of your stuff?" 
5		"Thank you for letting me in." 
6		"I won't touch anything. I'll just look. Intensely." 
7		"No. Don't touch anything." 
8		"No. And don't touch anything." 
9		He sighs. "I'm not sure how this is in any way useful for the job." 
10		"But let me know when you're done looking around." 
11		"<i>Looking</i>. Nothing else." 
12		"Hope you're having fun." 
13		"I'll chill here for a bit." 
14		"You live here alone?" 
15		"How much is the rent?" 
16		E-"Cool. Thanks for the talk." 
17		"Yup." 
18		"Doesn't get lonely?" 
19		"It's a cool place." 
20		"How long have you lived here?" 
21		"What does it cost?" 
22		"You like living here?" 
23		M-"That's good information. Thank you." 
24		"I don't spend much time here." 
25		"Thanks." 
26		He glances at the ceiling. 
27		"I don't know. Three years? Four?" 
28		"Gods, has it been that long...?" 
29		"A hundred a month." 
30		"Real cheap. But I got a special deal because of the HWBT gig." 
31		That's real good for such a fancy apartment. 
32		The <i>Old Lady takes care of her own</i>, eh? 
33		"It's central. Right next to the Garden." 
34		"That's all I really care about. Although the ventilation system is pretty sweet during those colder months." 
35		"Mm," he mouths and gives you a side glance. 
36		"What about you?" 
37		"Mm?" 
38		"Where do you live, Cleric?" 
39		UH OH. 
40		Avoid! Avert! Abort! 
41		Time to dance around the subject. 
42		I should lie, right? 
43		I could tell him the truth... 
44		"I live with <shake>my mom</shake>." 
45		Oh yes. 
46		It's really the only good choice here. 
47		Yes! Right away! Before he notices something's off! 
48		A lie? Hm. But that might make him dislike you... 
49		No! 
50		That would be extremely PAINFUL. 
51		Yeah, for you! 
52		Your body shakes. 
53		The truth is freedom. Honor. Goodness. 
54		Although... perhaps you can make an exception. 
55		There's absolutely nothing wrong with your current living arrangements. 
56		And the goblin will not think lesser of you because of it. 
57		"Oh. Cool." 
58		"Guess clerics are well taken care of, huh?" 
59		"We sure are. We sure... are." 
60		"Cool. Well, anyway." 
61		"No wait. Right." 
62		"I remember now. You live with your mom." 
63		"...You do?" 
64		"It's honorable. Traditional family housing is good for society." 
65		"Yes?" 
66		(Stare at him.) 
67		"That's a good point." 
68		"Huh." 
69		"Well I guess that's... not too uncommon." 
70		"Among humans." 
71		UGH. 
72		His words cut deep. 
73		He does not mean harm. Yet... it hurts. 
74		"Well. Anyway." 
75		He tries to not linger on the subject, since he sees your pain. 
76		"I can't afford my own place." 
77		"She's not home a lot. So I mostly have it to myself." 
78		"I used to live in the Towers, but they kicked me out." 
79		(Nod.) "Let's talk about something else." 
80		"Mm. The economy is shit, I agree." 
81		"Oh. That also makes it more... understandable." 
82		"I don't mean to get all personal, but if I had to live with my mother I'd probably end up like one of those energy zombies." 
83		Explains why he's so against the idea of generational housing. 
84		"Can I... can I ask why?" 
85		"No." 
86		"Maybe." 
87		"Yes." 
88		"Alright. Then I... won't?" 
89		"Okay?" 
90		"Okay. Then..." 
91		"Look, they just had some problems with some of my writing." 
92		"Maybe we can... talk about something else." 
93		"Your writing?" 
94		"What, can't be that bad at spelling, eh?" 
95		Funny. 
96		Idiotic comment. 
97		Idioitc comment. 
98		Spelling. Hah. Because you're a cleric. Casting spells. 
99		<i>Light apostasy</i>. 
100		The unofficial mark of a traitor. 
101		"I got a new patriarch who didn't like me, and then when I presented an argument for a republican revolution without the influence of the Free Cities, they said it was a 'misuse of state resources', and they branded me with a minor case of <shake>dereliction</shake>. Really, it's all overblown, and Bjôrn uses the same copper press all the time for a bunch of personal stuff and he never gets in trouble over it so it just seems really overblown to me and yeah." 
102		"It's a whole thing." 
103		(Look away and steer the conversation to something else.) 
104		He listens to your rant with an intense interest. 
105		"So they can just do that? Toss you out?" 
106		"It's all Tower politics." 
107		(Shrug.) "Apparently." 
108		"I don't think they like me very much." 
109		"And normal politics too, seems." 
110		"That's..." 
111		He was about to say 'understandable'. 
112		Hilarious! 
113		"Well. Sounds like bullshit." 
114		"But you're still employed as a Cleric?" 
115		"Of course. This was just a disciplinary action. They've been mad at me since I refused to register as a member of the Party of Norvik." 
116		"Interesting. So this whole thing is sort of like a redemption run for you then?" 
117		"Solving the mystery of the tea shop that exploded, and so on. Rejoin the fold." 
118		"Yes. <i>Redemption</i> is within grasp. Then I'll jump right onto the Party, and remake it in my image." 
119		"No. Fuck them. They're all going to get thrown out when the Freestriders take over." 
120		"It doesn't matter. Once the election is over, I'll go back to doing Azgalist activism, like in the good old days." 
121		"I'll solve it to prove my abilities. Eventually I'll lead the city myself." 
122		"I don't care anymore. I'll go be an agrarian or something." 
123		"Great." 
124		He lets out a big laugh. 
125		"Truest thing you've said all day." 
126		"...You sure have had a lot of political aspirations, haven't you?" 
127		"I was a wild kid." 
128		"I am a wild man." 
129		"I don't feel too good." 
130		He gives you a slow nod. 
131		"Right, right." 
132		"As a Magocrat or just a general clerical dictator?" 
133		"Magocrat. For sure." 
134		"'The Cleric Dictator' does sound nice..." 
135		"Right..." 
136		"Sounds cozy." 
137		"As per usual: good luck with that." 
138		"I'm sure." 
139		The goblin looks very intrigued. 
140		He wants you to speak. Ugh. 
141		Eh. Just tell him. Why not? 
142		The goblin shrugs. 
143		"Being a Cleric must be hard." 
144		"...Sure." 
145		"Please." 
146		"Not so bad. Thanks to the Old Lady." 
147		"She looks after her own." 
148		"Not every goblin is so lucky." 
149		"Yeah, I've noticed that you've got it pretty nice here." 
150		"What do you mean?" 
151		"You're lucky to be living in Norvik, you mean." 
152		He scoffs. "Yeah right." 
153		"You know there are three tribes in the city, right?" 
154		"The Halfways get by real well, thanks to Lady Sageleaf." 
155		"But it didn't used to be that way. And most goblins have a real hard time getting by here." 
156		"Most guilds won't exactly hire a goblin just like that." 
157		"What? That's illegal." 
158		"Why?" 
159		"I see. They must not want goblins due to the gobliny nature of them. I mean, you guys." 
160		"I know. Doesn't stop them." 
161		"Good question." 
162		He gives you the stink eye. 
163		Really stinky. 
164		"We're not human. So by default - on average - we're not trusted." 
165		"Back in the day, there were apparently a bunch of programs meant to push us into the work force. Anti-discrimination laws. Goblin-public works projects. But the support for those ran out way before I was born." 
166		"So most kids just fall into crime." 
167		"They can't do that. In Norvik it's illegal to be a criminal." 
168		"They need to try harder. Crime is the easy way." 
169		"That's understandable. It's the only path for them." 
170		"Arguably one of the dumbest things you've ever said." 
171		"You clearly haven't heard everything I've ever said." 
172		"Dumbest thing <i>so far</i>." (Hold up a finger.) 
173		"Hey, screw you." 
174		"That's fortunately true." 
175		"Screw you right back." 
176		"Easy?" 
177		"No. It's the only way for most of them." 
178		"The clearest path at least." 
179		He sighs. 
180		"Imagine you're a goblin kid. You spend most your day in the warren, with twenty others your age." 
181		"There's barely any resources to actually teach you all the human stuff we're legally forced to be taught. If you're lucky you've got one parent with a stable income. Otherwise you'll be living in the dormitories." 
182		"No support system. No chance to integrate into this 'city' you're supposed to be living in." 
183		"If you're lucky, you'll get a dangerous gig in the tunnels. If not, the only way for you to get enough money for food, beyond the basic handouts, is joining a syndicate. They recruit young, to keep you in the juvenile-stockade if you get caught. Starting as an errand-boy. Ending up as... whatever they need for their enterprises." 
184		"Then you bring home a heavy pouch of crowns for your mom and pops. What are they gonna do? Turn their little kid in? Or accept the only major income the household's gotten in months?" 
185		"Maybe they'll even encourage you. Push you to get real friendly with the local runner." 
186		"Weren't you a runner?" 
187		"But it's not like this in the Halfways?" 
188		"Syndicates? Aren't those illegal?" 
189		"Runner and Handler. Yeah." 
190		"Eh." 
191		"Nope. They're perfectly tolerated." 
192		"It's complicated, but..." 
193		"The Halfway Bridge Tribe is classified as a syndicate. We run things in a similar sense to the Ishkii and the NMBT. Except we do things strictly by the book. We don't run drugs, for one." 
194		"If you ignore a certain bird... then we've keep Waterlane free of smuggling for years at this point." 
195		"We keep Waterlane free of smuggling." 
196		"But most importantly, we keep the youth out of it. And we keep the other tribes at an arm's length. Lady Sageleaf is real draconian in that regard. Everyone, and I mean <i>everyone</i> in our tribe gets <i>a job and a good salary</i>." 
197		"We've tried pushing this method, our support system, onto the other tribes, but it's hard. And not always popular. We're the... <i>small annoying cultish tribe of Tolstad</i>, after all." 
198		He sighs. Again. "So it is what it is." 
199		What a rant. 
200		He cares about this. 
201		A lot. 
202		You do too. 
203		Young goblins. Young humans. 
204		Seems to be no difference when it comes to the solution: <i>a purpose and a place</i>. That's all they need. 
205		"Good to know." 
206		"You're working hard for your Lady." 
207		"I didn't ask." 
208		"Yeah." 
209		"I sure do." 
210		You catch him glancing at the image of her on the board. 
211		"Fuck you. You did." 
212		"I did not." 
213		"No. You did." 
214		"Oh. Right, yeah, I did." 
215		"Maybe I did, maybe I didn't." 
216		"...Ugh." 
217		He rubs his eyes and lets out a deep groan. 
218		"<i>Why is this how I spend my days</i>?" 
219		"Oh, do you?" 
220		"I don't think I even want to ask what you mean by that." 
221		"Gobliny means... dirty. Muddy. Barbaric, I guess?" 
222		"I don't mean it in a bad way." 
223		"Okay, you're just gonna tell me anyway. Great." 
224		"Oh? What kind of way do you mean it, then?" 
225		"In the nice, helpful way." 
226		"In the neutral way. I don't have strong opinions about anything." 
227		"In a 'you surprise me with your civilized behavior' kind of way." 
228		"Oh, well thank you." 
