idx	french
0	« Bienvenue chez moi. Vas-y. Fouine autant que tu veux. »
1	Ce n'est pas de refus...
2	Sarcasme.
3	« Vraiment ? »
4	« Oh. Alors je peux me servir de tes affaires ? »
5	« Merci de m'avoir laissé entrer. »
6	« Je ne toucherai à rien. Je vais juste regarder. Intensément. »
7	« Non. Ne touche à rien. »
8	« Non. Et ne touche à rien. »
9	Il soupire. « Je vois pas trop en quoi c'est utile pour le boulot. »
10	« Mais préviens-moi quand t'as fini de fouiner. »
11	« <i>Regarder</i>. Rien d'autre. »
12	« J'espère que tu t'amuses bien. »
13	« Je vais me poser ici un moment. »
14	« Tu vis ici seul ? »
15	« C'est combien, le loyer ? »
16	E-« Cool. Merci pour la discussion. »
17	« Ouaip. »
18	« Ça ne devient pas trop solitaire ? »
19	« C'est un endroit cool. »
20	« Depuis combien de temps tu vis ici ? »
21	« Ça coûte combien ? »
22	« Tu te plais à vivre ici ? »
23	M-« C'est une bonne information. Merci. »
24	« Je passe pas beaucoup de temps ici. »
25	« Merci. »
26	Il jette un œil au plafond.
27	« Je sais pas. Trois ans ? Quatre ? »
28	« Dieux, ça fait vraiment si longtemps... ? »
29	« Cent par mois. »
30	« Vraiment pas cher. Mais j'ai eu un tarif spécial grâce au boulot pour la HWBT. »
31	C'est vraiment bien pour un appartement aussi chic.
32	La <i>Vieille Dame prend soin des siens</i>, hein ?
33	« C'est central. Juste à côté du Jardin. »
34	« C'est tout ce qui m'importe vraiment. Cela dit, le système de ventilation est plutôt agréable durant ces mois plus froids. »
35	« Mm », articule-t-il en te lançant un regard en coin.
36	« Et toi ? »
37	« Mm ? »
38	« Où est-ce que tu vis, Clerc ? »
39	OH OH.
40	Évite ! Détourne ! Abandonne !
41	Le moment d'esquiver le sujet.
42	Je devrais mentir, pas vrai ?
43	Je pourrais lui dire la vérité...
44	« Je vis avec <shake>ma mère</shake>. »
45	Oh que oui.
46	C'est vraiment le seul bon choix ici.
47	Oui ! Tout de suite ! Avant qu'il ne remarque que quelque chose cloche !
48	Un mensonge ? Hm. Mais ça pourrait le faire te déprécier...
49	Non !
50	Ce serait extrêmement DOULOUREUX.
51	Ouais, pour toi !
52	Ton corps tremble.
53	La vérité, c'est la liberté. L'honneur. La bonté.
54	Bien que... peut-être peux-tu faire une exception.
55	Il n'y a absolument rien de mal dans ta situation de logement actuelle.
56	Et le gobelin ne t'en estimera pas moins pour autant.
57	« Oh. Cool. »
58	« J'imagine que les clercs sont bien lotis, hein ? »
59	« Ça pour l'être. Ça... pour l'être. »
60	« Cool. Bon, bref. »
61	« Non attends. C'est vrai. »
62	« Je me rappelle maintenant. Tu vis avec ta mère. »
63	« ...Ah bon ? »
64	« C'est honorable. Le logement familial traditionnel, c'est bon pour la société. »
65	« Oui ? »
66	(Le fixer.)
67	« C'est un bon point. »
68	« Huh. »
69	« Bon, j'imagine que c'est... pas si rare. »
70	« Chez les humains. »
71	PFF.
72	Ses mots te transpercent.
73	Il ne cherche pas à faire du mal. Pourtant... ça fait mal.
74	« Bon. Bref. »
75	Il essaie de ne pas s'attarder sur le sujet, puisqu'il voit ta douleur.
76	« Je peux pas me payer mon propre logement. »
77	« Elle n'est pas souvent là. Alors je l'ai surtout pour moi tout seul. »
78	« Avant je vivais dans les Tours, mais ils m'ont viré. »
79	(Hocher la tête.) « Parlons d'autre chose. »
80	« Mm. L'économie est à chier, je suis d'accord. »
81	« Oh. Ça rend aussi la chose plus... compréhensible. »
