idx	prefix	english
0		Behind the bars you see a very, very fancy warhammer. 
1		"Cool. Looks dwarven." 
2		Yes. <i>Dwarven</i>. 
3		Made out of <i>Adamantium</i>. Which means it's functionally useless. 
4		Their craftsmanship is amazing. 
5		You also see a bag of 'Griffon Fodder Goodies' - quite the expensive treat. Niche too. 
6		Appears to be almost one hundred percent meat. You could reach it easily. 
7	DC19 int-	Useless? 
8	ROLL22 dex-	Stick your hand between the bars to reach it. 
9	ROLL24 str-	Lift the bars to get it. 
10		E-I'm good. 
11		Reaching in between the bars, you easily scoop up a handful of the stinky little nuggets and toss them into your Pouch of Holding. 
12		Let us wish, for the sake of <i>everything</i>, that these nasty bits won't stink up all your other stuff. 
13		This isn't even an item. It's just mush. You're pushing mush into the pouch. This does NOT count as loot in any shape, way, or form. You refuse to consider this loot, in ANY way. This MUSH is NOT loot. You will NOT be able to find it in your inventory. It is ANTI-LOOT. 
14		But everything else I get counts as loot? 
15		This does not. 
16		Now stop thinking about the mush. 
17		Adamantium is extremely light as a crafting material. 
18		Making a warhammer out of it is idiotic. 
19		Whoever made it, did it either as a testament to their wealth, or their foolishness. 
20		Yes...! 
21		You know you can do this! 
22		GET THAT LOOT! 
23		(Breathe in, and...) 
24		You try to slip on through, but... No. 
25		Nothing you do allows you to reach far enough. Not breathing in... not pushing harder... 
26		Shit. 
27		You'll need to try something else. 
28		You get ready in a stance, squatting down. 
29		Perfect form. 
30		(LIFT.) 
31		As you push it upwards, you hear the iron grinding. 
32		It's MOVING. 
33		(Lift it up - <b>fully</b>.) 
34		Raising your body, pushing your muscles to the limit - you manage to actually STAND UP. 
35		"Whoa. Damn." 
36		He is IMPRESSED. 
37		(Quickly grab the warhammer.) 
38		The bars shut, hard and loud onto the ground before you. 
39		But in your hands... 
40		You squat down, grabbing the bar. 
41		At a... slightly awkward angle. 
42		And then... 
43		You push. 
44		Push hard. 
45		And... 
46		Without moving the bars at all, you feel your back <b>breaking</b>. Your spine... 
47		You hear a crack. 
48		(Stop pushing.) 
49		You stumble back. 
50		In pain, but... perhaps now you've warmed it up. 
51		"Next time... should be easier." 
52		Yes. 
53		The goblin, who has been glaring at your awful form, mutters, "Please don't." 
54		You grease the bars. 
55		That would help. 
56		If it was worth anything. 
57		GREAT! Now slip on through... 
58		Luckily, due to the horizontal bars, this actually does help. 
59		Now: LIFT. 
60		You get the <b>dwarven warhammer</b>. 
61		"Great job. Got yourself a fancy hammer." 
62		As you hold it up, you... are confused. 
63		As you hold it up, you get it confirmed. It is indeed... 
64		Adamantium. 
65		(Weigh it in your hands.) 
66		It is... extremely LIGHT. 
67		Ah. 
68		The material. It is not great for a bludgeoning weapon. 
69		"What?" 
70		(Try to hit the wall.) 
71		It bounces off with a loud pang. 
72		Absolutely no damage to the wall. And the reverberations cause your hands to shake. 
73		You swing it at his head. 
74		"What are you-" 
75		The hammer bounces off him with a loud pang. 
76		The goblin steps back, a shocked expression on his face. 
77		"The fuck?" 
78		"Wait, is that..." 
79		A warhammer that is completely useless. 
80		"I like it. Makes me feel dwarven." 
81		E-It... <i>looks</i> cool. 
82		"Ah. I've heard about that." 
83		"It's like a... status symbol, right?" 
84		"Oh well. Might intimidate someone at least?" 
85		"Great." 
86		A good feeling. 
87		"Enjoy it." 
