idx	french
0	Un bouton sur le mur de cette chambre obscure.
1	Appuie dessus. Ça doit bien servir à quelque chose.
2	Bien sûr. Appuyer sur des boutons au hasard n'a jamais mal fini.
3	C'est probablement lié à ces étranges marches qui ne mènent à rien.
4	« Bah. »
5	Le gobelin émet un unique son, puis il recule simplement d'un pas.
6	« Oh ! Meek savoir ça. Meek savoir ça ! »
7	« Presser bouton - va ouvrir porte secrète ! »
8	« C'est comme ça que ancien maître toujours dire. Bouton égale porte secrète. »
9	E-D'accord, soit.
10	« Ah bon ? »
11	« Ouais, genre... »
12	« Oui ? »
13	« Genre, euh... »
14	Ton compagnon gobelin se laisse lui aussi happer par la réflexion, peinant visiblement à trouver la moindre chose qui nécessiterait l'usage d'un bouton menaçant de ce genre.
15	« Comme quoi, maître ? »
16	Un ascenseur.
17	Tu n'as rien.
18	La mimique a gagné.
19	« Un ascenseur ! »
20	« Là, je sèche complètement. »
21	« Ah oui. Un de ces trucs. »
22	« Ascen... seur ? »
23	« Ouais. C'est genre un... ça monte et ça descend. Tu presses un bouton pour le faire bouger. »
24	« Oh... »
25	« Maître si intelligent ! »
26	« Merci. Je le suis. »
27	« Je ne suis intelligent qu'à hauteur des gens de mon groupe. »
28	« Attention à cet <u>ego</u>. Tu risquerais de ne plus rentrer dans ton "heaume", sinon. »
29	« Maître humble ! Très humble ! »
30	« Meek apprendre beaucoup. »
31	« Très bien. Très bien. <i>Ascen-seur...</i> »
32	« Pareil. »
33	« Oh. »
34	« Peut-être maître trouver réponse plus tard. »
35	« Meek s'en réjouit d'avance ! »
36	Tu ne trouveras pas.
37	« Non merci. »
38	« Je vais supposer que ça ne déclenchera pas de piège, ni n'inondera cette très, très étrange chambre. »
39	Tu t'exécutes, y mettant une bonne dose de force.
40	Ce faisant, un son grinçant emplit la chambre.
41	Un passage s'ouvre, au bout des marches.
42	Logiquement, ça mènerait au... Temple d'Urth.
43	E-Génial ?
44	Un léger déclic parvient à tes oreilles.
45	Le gobelin te lance un regard désintéressé.
46	(Appuyer de nouveau.)
47	E-Bah.
48	Rien ne se passe.
49	E-Triste.
