idx	prefix	english
0		A lever on the wall of this dark chamber. 
1		Do it. A lever must be useful. 
2		Sure. Pulling random levers has never ended poorly. 
3		It is probably connected with opening an entrance. 
4		"Eh." 
5		The goblin lets out a single sound, then he just takes a step back. 
6		"Oh! Meek knows this. Meek knows this!" 
7		"Pull lever will open secret door!" 
8		"That how old master always put it. Lever equal secret door." 
9		E-Okay then. 
10		"They can?" 
11		"Yeah, like..." 
12		"Yes?" 
13		"Like, uh..." 
14		Your goblin companion also gets sucked into the thought, clearly struggling to come up with a single thing that would need the use of a large wooden lever of this kind. 
15		"Like what, master?" 
16		A drawbridge. 
17		You have nothing. 
18		The mimic has won. 
19	DC12 int-	"A drawbridge!" 
20	FC12 int-	"I'm drawing a blank here." 
21		"Oh yeah." 
22		"Yeah. A drawbridge." 
23		"A draw-bridge?" 
24		"Yeah." 
25		"Oh..." 
26		"Master is so smart!" 
27		"Thank you. I am." 
28		"I'm only as smart as the people in my party." 
29		"Careful with that <u>ego</u>. You might not fit in that 'helm' of yours otherwise." 
30		"Humble master! Very humble!" 
31		"Meek learn much." 
32		"Very good. Very good. <i>Drawbridge...</i>" 
33		<i>Shh</i>. 
34		"Same." 
35		"Oh." 
36		"Maybe master will come up with answer later." 
37		"Meek look forward to it!" 
38		You won't. 
39		"No thank you." 
40		"I'm going to assume it won't spring a trap, or flood this strange, strange chamber." 
41		You do so, putting a fair bit of force on it. 
42		As you do, a groaning sound fills the chamber. 
43		A passage opens in the west wall. 
44		The smell of scorched wood and stone fills your nostrils. 
45		Logically, there is only one path this tunnel leads. 
46		The tea shop. 
47		E-Great. 
48		Ah. Yes, it is connected with the passage to the tea shop. 
49		Which you have already opened. 
