idx	french
0	Un levier sur le mur de cette chambre obscure.
1	Fais-le. Un levier doit bien servir à quelque chose.
2	Bien sûr. Tirer des leviers au hasard n'a jamais mal fini.
3	C'est probablement lié à l'ouverture d'une entrée.
4	« Bah. »
5	Le gobelin émet un unique son, puis il recule simplement d'un pas.
6	« Oh ! Meek savoir ça. Meek savoir ça ! »
7	« Tirer levier va ouvrir porte secrète ! »
8	« C'est comme ça que ancien maître toujours dire. Levier égale porte secrète. »
9	E-D'accord, soit.
10	« Ah bon ? »
11	« Ouais, genre... »
12	« Oui ? »
13	« Genre, euh... »
14	Ton compagnon gobelin se laisse lui aussi happer par la réflexion, peinant visiblement à trouver la moindre chose qui nécessiterait l'usage d'un grand levier de bois de ce genre.
15	« Comme quoi, maître ? »
16	Un pont-levis.
17	Tu n'as rien.
18	La mimique a gagné.
19	« Un pont-levis ! »
20	« Là, je sèche complètement. »
21	« Ah oui. »
22	« Ouais. Un pont-levis. »
23	« Un pont... levis ? »
24	« Ouais. »
25	« Oh... »
26	« Maître si intelligent ! »
27	« Merci. Je le suis. »
28	« Je ne suis intelligent qu'à hauteur des gens de mon groupe. »
29	« Attention à cet <u>ego</u>. Tu risquerais de ne plus rentrer dans ton "heaume", sinon. »
30	« Maître humble ! Très humble ! »
31	« Meek apprendre beaucoup. »
32	« Très bien. Très bien. <i>Pont-levis...</i> »
33	<i>Chut</i>.
34	« Pareil. »
35	« Oh. »
36	« Peut-être maître trouver réponse plus tard. »
37	« Meek s'en réjouit d'avance ! »
38	Tu ne trouveras pas.
39	« Non merci. »
40	« Je vais supposer que ça ne déclenchera pas de piège, ni n'inondera cette très, très étrange chambre. »
41	Tu t'exécutes, y mettant une bonne dose de force.
42	Ce faisant, un son grinçant emplit la chambre.
43	Un passage s'ouvre dans le mur ouest.
44	L'odeur de bois et de pierre calcinés emplit tes narines.
45	Logiquement, ce tunnel ne mène qu'à un seul endroit.
46	Le salon de thé.
47	E-Génial.
48	Ah. Oui, c'est lié au passage vers le salon de thé.
49	Que tu as déjà ouvert.
