idx	prefix	english
0		Looking inside this crate you find... a <i>notepad</i>. 
1		A notepad with several pages of scribbled notes. 
2		The handwriting is awful. 
3		Oh! Holy shit! 
4		You can read this! 
5		Is it truly okay to read someone's personal thoughts like this? 
6		What if it's a diary? Or a message left for a family member, not meant for the eyes of prying clerics? 
7		No. Okay, scratch that. 
8		It says, 'LEDGER FOR SMUGGLED GOODS' on the front. 
9		A mysterious title. 
10		A bit on the nose, mayhaps. 
11		Oh! Smuggling? Awesome! 
12		Check this shit out, right now. 
13		So this notepad is filled with proof of both evil action and intent? 
14		Great. It's time to break this smuggler, lawfully. 
15		You check out the 'LEDGER FOR SMUGGLED GOODS' once again. 
16		(Look at the list labeled export/import.) 
17		(Check out the 'SMUGGLING GUIDE' page.) 
18		(Look at the latest entry.) 
19		E-Alright. I'm done here. 
20		Many terms you have never heard before. 
21		And some you have. Mostly importing. 
22		Pocket Bikes. A large quantity. Marked as 'not yet arrived', and then, 'terrible state'. 
23		A number of rare potions, with various draconic names. 
24		Some you understand, but many are simply draconic terms from Divine Era alchemists. 
25		Then you spot a final mention of something called, 'Quillwell Cartridges'. 
26		Although it appears to not have left 'The Warehouse'. 
27		Hey, that's the one Modissa was looking for! 
28		The Azgal girl's vendor is clearly this tea shop owner. 
29		Sounds like something used in a printer press. Bet it's expensive... 
30		On one of the early pages, you find a section labeled, 'SMUGGLING GUIDE'. 
31		He wrote a guide on his own illegal activity? As a reminder on how to do it? 
32		"That can't actually be...?" his voice trails off. 
33		Some people, man. 
34		<i>STEP ONE: USE YOUR CONNECTIONS. THE REEDSIAN MERCHANTS ARE ALWAYS GOOD FOR COIN. THEY PAY HEFTY FOR SIMPLE STORAGE.</i> 
35		<i>STEP TWO: STORAGE. MOVE THINGS FROM WAREHOUSE TO SECRET TUNNEL. USE FREESTRIDER HELP. LIFT UP FROM PILLAR CROSSING. THEY WRITE OFF MISSING GOODS AS LOST AT SEA.</i> 
36		<i>STEP THREE: KEEP SECRET. MIX CROWNS WITH TEA SHOP INCOME. FUDGE RECEIPTS. AVOID SAGELEAF'S HANDLERS.</i> 
37		<i>STEP FOUR: NO DISTRIBUTION. RETURN TO WAREHOUSE NIGHT BEFORE SHIP LEAVES. DO NOT SELL GOODS YOURSELF. STAY CLEAN.</i> 
38		Of course the Freestriders are involved in this. They probably set it up to begin with! 
39		Those crafty bastards! They've really got their fingers in everything. 
40		You should really consider becoming a full-time Freestrider agent. They probably pay a hell of a lot better. 
41		Over your shoulder, Snell is too reading this elaborate display of criminal incompetence. 
42		He looks less angry and more disappointed. 
43		"I suppose it's a blessing when the crooks of society also implicate themselves through sheer idiocy." 
44		On the last few pages there's a ton of reminder-notices, written in sloppy handwriting. 
45		It goes on about missing payments, lost suppliers, and various angry comments about tea shop customers. 
46		Probably written to himself. He's clearly not someone who remembers without the help of writing. 
47		Then you get to the final notice. It is marked with the date, 'March 21st'. 
48		That's the day of the explosion. 
49		That was an important day, wasn't it? 
50		<i>COAST-HAG POTIONS NOT YET ARRIVED. DAYS LATE. DON'T WANT DILUTED PISS AGAIN.</i> 
51		<i>ELF WILL ARRIVE FROM TEMPLE. THEN I LEAVE. DON'T LIKE TEA SHOP BEING USED FOR MEETINGS. IF THEY BREAK ANYTHING, THEY PAY.</i> 
52		Elf. 
53		"Huh." 
54		A meeting in the tea shop. An elf. The smuggler left after letting the elf in through the secret tunnel. 
55		A meeting, with an elf. And... the smuggler wasn't there. 
56		"Interesting. Let me write this down." 
57		"Oh shit. I lost my notepad. Oh well. I'll remember it the old-fashioned way." 
58		As you start to remove it from the crate, it suddenly starts to evaporate in front of you. 
59		WHAT?! 
60		Turning to magical dust in your hands, slowly. 
61		A CURSE. 
62		(Put it back.) 
63		What's happening? 
64		(Toss it away from you.) 
65		It stops evaporating. 
66		(Take it out again.) 
67		It begins to slowly turn to dust once more. 
68		(Put it back again.) 
69		It stops. 
70		"I see." 
71		Snell stops your hand. 
72		"We get it." 
73		"We?" 
74		"Everyone in the entire world." 
75		This notepad. It has a defense mechanism. An esoteric abjuration. 
76		If you bring the notepad away from this crate, it breaks. 
77		Or... it's haunted. 
78		Somebody does NOT want it to be used as evidence in a court battle. You'll have to leave it here for now. 
79		"I'll send someone to take a look here later. Don't worry." 
80		"I'll make sure to mention that they should NOT move this thing. Just in case." 
81		An esoteric effect. 
82		Must be haunted. 
83		Could be a precaution. 
84		As you do, the notepad completely turns to dust. 
85		"Well." 
86		"Shit." 
87		That was a poor choice. 
88		A good move. It could have possessed you. 
89		E-Whoops. 
90		"No!" 
91		The goblin shoves it back to you. 
92		He's panicking. 
93		"Uh...! Put it back in the crate!" 
