idx	prefix	english
0		You check inside the crate. 
1		Potions. Several layers of them. Wrapped in... Reedsian newspapers. 
2		Someone has written with big letters on the inside of the crate: 'SPOILED POTIONS BATCH. DO NOT DRINK.' 
3		Who brewed these? 
4		Are they all... <i>spoiled</i>? 
5		(Check the box.) 
6		(Check the date on the newspapers.) 
7		E-Okay then. 
8		The labels all say <i>Hexbrew</i>. 
9		All the work of Joanna! 
10		If you got into the potion business, you could probably make a killing... 
11		It appears so. 
12		Why they are all together here though, makes no sense. 
13		They must have been removed from another shipment. 
14		When checking potions, one would make use of the Detect Potion Purity spell. 
15		These potions must have been detected as ineffective, and placed here for later disposal. 
16		Nothing interesting about it. 
17		Except the tiny, carved marking of a bird on the bottom right corner. 
18		"These fucking things. Popular with the upper class. Really bad for you though." 
19		(Check the others.) 
20		You glance over the stacked vials and glasses. 
21		"No, it's like- It's not like they don't work. They work fine." 
22		He shows you the label. It says, 'Potion of Low Body Fat.' 
23		"It's a... what's it called- a transmutation. People use them to stay fit and healthy." 
24		"But unlike a customized polymorph potion, these just shift around your... <i>nutritional intake</i>." 
25		"Ends up killing you slowly, if you drink too many. That's why they're not legal to import or sell here." 
26		"Oh." 
27		"You know a lot about this, Snell." 
28		"...I might have read an article about it at some point." 
29		"But whatever. Let these rich folk do whatever they want to themselves, right?" 
30		"Except, what happens is that this shit quickly gets passed along to the lower class." 
31		"And what happens is that-" 
32		He stops himself and groans. "Whatever." 
33		"What else is in this box?" 
34		He started showing just how much he cares for the people in this city. 
35		Then he pulled back. 
36		Folk need a strong guiding hand. That is why the state disallowed these substances. 
37		Regulation is important. 
38		The poor folk have a responsibility to take care of themselves as well. 
39		Why shouldn't they have the right to ruin their own bodies, if that's what they want? 
40		(Drink it.) 
41		(Do not.) 
42		You crack it open, the cork flying down the tunnel. 
43		"I really do not think that's smart since- and you've downed the whole bottle." 
44		You down the whole bottle. 
45		It tastes like burnt cinnamon. 
46		"Hm?" 
47		The goblin stares at you. 
48		He is waiting for you to explode. Or something. 
49		"I don't feel anything." 
50		"Too bad." 
51		You stare at the potion box. 
52		The bottle is long and slender, and it weighs quite a bit in your hands. 
53		The label says, 'Potion of Masculinity/Femininity'. 
54		"Ah. A gender swapper." 
55		"Those sure are popular these days." 
56		Also known as the 'Mirror Gender Potion'. 
57		It polymorphs the user into a creature on the opposite position on Jor's masculinity/femininity spectrum, using the user's base folktype and phenotype as a basis. 
58		You have heard of these. 
59		They are not interesting to you. 
60		You could probably do better as a woman. 
61		If this was actually functional, you could have sold it for a couple of hundred crowns. 
62		Expensive stuff! 
63		Oh yes. 
64		These are capital P: POPULAR. 
65		Do I want to drink this? 
66		R-(Drink it.) 
67		(Really, really do not.) 
68		It is not something you have thought about. 
69		You have thought about what it would be like to be a woman. 
70		Though it is not something you have ever actively sought out. 
71		It might help you understand them better. To sympathize instead of empathize with the plight of womanhood. 
72		You are confident in your bodily structure. 
73		While you have always been intrigued by woman herself, you do not wish to partake in their struggle. 
74		You are a man. You will die a man. 
75		"Oh, lots of people." 
76		"It's all the rage. You know, for some it's just a thrill. Since it's a stable, permanent, and painless switch, it's gotten mass-produced after the war." 
77		"Still pretty expensive though." 
78		"So it just switches... all the stuff?" 
79		"How interesting." 
80		"How boring." 
81		"Yeah. From what I've heard at least." 
82		"I guess." 
83		"Sure." 
84		"I don't partake myself, exactly. They talked about banning it a while back. But they ended up just making it a requirement to register the switch, if it goes beyond a few days." 
85		"Too many people were using it as a quick and easy way to avoid jail time." 
86		"With regular polymorphers you've at least got the cost barrier." 
87		You pop the screw-on lid off, and chug it in a single sweep. 
88		GODS BE GOOD. 
89		The colorful liquid goes down smooth. 
90		It tastes like sand and vinegar. 
91		You do not hate it. 
92		You hate it. 
93		But no change appears to happen. 
94		That you are aware of. 
95		Foolish behavior. 
96		But you got lucky. 
97		Hm. Oh well. 
98		The goblin glares at you. 
99		"Like, I'm hoping for your sake it's actually spoiled. Because I don't know the legal ramifications of city clerics turning female." 
100		He scratches his chin. "They didn't change that did they? It's still male-only?" 
101		"For Urthguard, yes." 
102		"Focus, Snell. I am turning into a <b>woman</b>." 
103		"Eh." 
104		"I don't think that's happening anytime soon." 
105		The goblin looks you up and down. 
106		After a few seconds you hear a sound. 
107		Your stomach. It <wiggle>squirms</wiggle>. 
108		Beyond that, nothing changes. 
109		"Yeah, it was spoiled." 
110		Snell raises his eyebrows at you. 
111		"Say that again?" 
112		"It was spoiled, Snell. Nothing happened." 
113		"Wow." 
114		"Your voice is a tad bit higher." 
115		"No it's not." 
116		"Yes it is." 
117		"Well, I don't hear it." 
118		"Maybe it is..." 
119		"Well, I do." 
120		"Eh, most people probably won't notice." 
121		"And it might wear off in time. I've heard that spoiled potions can give some weird temporary effects. Like rolling the dice." 
122		"My voice is deep and dark, Snell. Manly." 
123		"This should put me in touch with my feminine side." 
124		"Sure, sure, <i>Mr. Pipsqueak</i>." 
125		"Anyhow, I'll stop mentioning it." 
126		This is a disgrace. 
127		This isn't so bad. 
128		Snell watches as you place the bottle back in the box. 
129		The other potions gleam at you. 
130		You lift it up and hold it in your left hand. The empty bottle is light and the cork is in your right. 
131		"You okay, Cleric?" 
132		No. This is wrong. 
