idx	french
0	Le long du mur tu trouves une rangée de stalles.
1	Tout textile est manifestement ruiné. Mais le bois lui-même tient debout. Intéressant.
2	Ton compagnon s'accroupit et vérifie sous les tables.
3	« Ouaip. C'est foutu là-dessous aussi. »
4	Où devrais-je regarder en premier ?
5	« Ravi de t'aider. »
6	Le gobelin jette un œil aux autres stalles.
7	« Je vais fouiller, j'imagine. »
8	Là où le mal se trouve.
9	Pas utile.
10	La stalle de gauche ne semble pas intéressante.
11	Snell vérifie celle de droite.
12	Vérifie la stalle centrale.
13	Le centre. Ton estomac bourdonne de la <b>possibilité</b>.
14	La magie est proche. Elle te contorsionne les entrailles.
15	Étrange. Ton corps réagit d'une façon que tes sens ne suivent pas.
16	« La milice a tout arrosé au jet », dit Snell en soulevant un morceau de bois semblable à du charbon.
17	« Surtout ici sur le devant. Ce n'est que de la boue. Ça va être dur de trouver la moindre trace de... quoi que ce soit. »
18	Je vais juste continuer d'examiner cette stalle centrale, j'imagine.
19	« Ça, ce serait chouette », dit-il en lâchant le morceau.
20	« Crie si tu trouves quelque chose. »
21	« Négatif ? » Il agite le morceau de bois dans ta direction. « <i>Réaliste</i>. »
22	Tu te concentres sur cette stalle en particulier. Ou ce qui en fut une.
23	Les textiles jadis drapés sur les sièges ont été réduits en cendres et calcinés avec le bois coûteux.
24	Avec les dégâts des eaux, les forces élémentaires ici sont intenses.
25	Les tables de pierre tiennent encore pour l'instant, calcinées comme l'architecture naine.
26	« Ouais, non. Je trouve rien ici. Je vais vérifier l'autre stalle. »
27	Il lève la tête et renifle. « Continue de chercher pour l'instant. Mais perdons pas trop de temps ici. »
28	Il te donne des ordres. Il n'a pas le droit.
29	Le gobelin fait simplement la conversation. N'y vois pas malice.
30	La rangée de stalles est toujours là. Toujours calcinée à mort.
31	(Se concentrer sur les restes carbonisés de la table.)
32	Examiner les débris. Avec soin.
33	E-Arrêtons de fouiller cette stalle.
34	En parcourant le bois calciné du regard, tu constates qu'il a simplement brûlé comme tout le reste. Existant à peine.
35	Mais c'est du <i>bois</i>. Du bois intact, relativement parlant.
36	La tentative de la milice pour arrêter le feu a tout aspergé d'eau aussi. Alors toute la suie n'est qu'une gadoue.
37	Il est encore assez solide- coincé le long de ce banc de pierre.
38	R-(Exercer une pression sur le morceau brisé.)
39	(Regarder le bois ruiné. Intensément.)
40	M-La table n'est pas si importante.
41	Tu t'appuies dessus. Le poids de tes muscles saillants et de ton écrasante virilité met à rude épreuve l'épais madrier. Tu peux entendre les fibres du bois frémir...
42	Tu t'appuies dessus. Tu forces. Ça demande un certain effort, mais bientôt tu peux entendre les fibres du bois frémir...
43	Il se rompt. Tu tiens le morceau de bois dans tes mains.
44	Ton compagnon te lance un regard déconcerté.
45	« Quoi, il n'était pas assez ruiné à ton goût ? »
46	« Génial. Des débris de salon de thé. »
47	Il hausse les épaules. « C'est pas comme si j'allais t'arrêter. »
48	En regardant le morceau de bois, il a été imprégné d'énergies ardentes.
49	En regardant le bois dans ta main, tu vois qu'il est épais.
50	Et robuste.
51	En regardant à l'intérieur du bois brûlé, tu vois un éclat de Brachen vivant.
52	L'épaisseur du bois survivant et brûlé suggère un certain niveau de chaleur et de puissance de feu.
53	Si ceci a été causé par un sort de Boule de Feu... une simple de 3e niveau n'infligerait pas ce genre de dégâts à du Brachen.
54	Intéressant.
55	Ouaip. C'est une table.
56	Si tu n'as rien à ajouter, ne dis rien du tout.
57	Allez... C'est dur de rester silencieux aussi longtemps. Va parler à quelqu'un !
58	Autant vérifier à quel point elle est solide, après l'explosion.
59	Tu es sûr ?
60	Elle l'est. Garde-le à l'esprit.
61	En soulevant une partie des décombres, tu passes dix minutes à fouiller la crevasse derrière la stalle.
62	Jusqu'à ce que quelque chose attire ton œil.
63	Quelque chose de non brûlé.
64	Tu tends la main et l'attrapes.
65	C'est une minuscule feuille de métal. Elle tient dans la paume de ta main gantée.
66	En essuyant la suie, tu la trouves dans un... état étrange. Son design complexe témoigne à la fois de valeur et de style. Mais...
67	Tu sens un picotement le long de ton bras. Ésotérique.
68	Tu sens un picotement le long de ton bras.
69	La minuscule feuille tient dans la paume de ta main gantée.
70	Un objet magique ?
71	La broche est à demi fondue.
72	Un objet magique ne se fait pas détruire ainsi. Par rien d'autre que la plus puissante des magies.
73	Ça n'arrive tout simplement pas.
74	Ça, c'est... un indice. Probablement.
75	Si c'est de la magie, alors ça ne devrait pas se détruire facilement.
76	Un délicat symbole elfique. Représentant leur dégénérescence et leur décadence.
77	C'est une broche façonnée par des mains illym. Leurs chefs religieux et leur noblesse en portent.
78	Tu jettes un œil vers ton compagnon. Il n'a pas encore repéré ta trouvaille.
79	(Se contenter de l'empocher.)
80	Il sursaute, puis te lance un regard furieux.
81	« Pas si <i>fort</i>. Bon sang. »
82	« Oh ? »
83	Tu la ranges.
84	Le gobelin se rapproche de toi et regarde la minuscule épinglette dans ta main.
85	« Étrange. Intéressant. »
86	« Elle a... en quelque sorte survécu au feu ? »
87	« Emporte-la. Montre-la à la Vieille Dame. »
88	« Bien sûr. »
89	« Pourquoi ça l'intéresserait ? »
90	« Je pense pas que ce soit pertinent. »
91	« Évidemment que ça l'intéresserait. »
92	« Très bien. Bien sûr. »
93	« Mais ce n'est pas pertinent. »
