idx	prefix	english
0		On the floor beneath the shelf you find a pile of broken porcelain. 
1		"Damn. It's like a clump," he says, and coughs a little. 
2		The heat must have been extremely intense at this spot to cause such an effect. 
3		"Old Master had cup like this!" 
4		(Try to pick one up.) 
5		E-I'll stop looking at the cups, I think. 
6		"Old Master! Had big collection." 
7		"Of <i>cups</i>?" 
8		"Yes!" 
9		"...<i>Tea</i> cups?" 
10		"This old master of yours sure is a strange character." 
11		"...Yes!" 
12		Grabbing the edge of a cup reveals how stuck it is. 
13		You can't move it an inch. 
14		They've been deformed by the fire. 
15		The heat must've been thousands of degrees. 
16		Can't I pull harder? 
17		E-Fine. I'll leave it alone. 
18		It would only break. No use. 
