idx	french
0	Sur le sol, sous l'étagère, tu trouves un tas de porcelaine brisée.
1	« Bon sang. On dirait un amas », dit-il, en toussant un peu.
2	La chaleur a dû être extrêmement intense à cet endroit pour causer un tel effet.
3	« Ancien Maître avoir tasse comme ça ! »
4	(Tenter d'en ramasser une.)
5	E-Je crois que je vais arrêter de regarder les tasses.
6	« Ancien Maître ! Avoir grande collection. »
7	« De <i>tasses</i> ? »
8	« Oui ! »
9	« ...De tasses à <i>thé</i> ? »
10	« Cet ancien maître à toi est un sacré drôle de personnage. »
11	« ...Oui ! »
12	Saisir le bord d'une tasse révèle à quel point elle est coincée.
13	Tu ne peux pas la bouger d'un pouce.
14	Elles ont été déformées par le feu.
15	La chaleur a dû atteindre des milliers de degrés.
16	Je peux pas tirer plus fort ?
17	E-Bon. Je vais la laisser tranquille.
18	Elle ne ferait que se briser. Inutile.
