idx	prefix	english
0		Laid in the passage, the iron door has fallen off its hinges. 
1		Look at the corners. They're bent. 
2		(Look at the bent corners of the door.) 
3	ROLL12 int-	Figure out what could've bent the door like this. 
4		(Look at the hinges.) 
5		E-(Leave the door alone.) 
6		To bend metal like this. It takes power. 
7		It's bent towards you. So... the explosion must've come from beyond this door. Right? 
8		An incredibly high temperature must have been involved to cause this door to bend like this. 
9		And it is bent outwards. So clearly the origin point of the explosion was in the back. 
10		To melt iron like this, it would require incredible heat. Especially for Hârdsten. 
11		To melt iron like this, it would require incredible heat. 
12		You remember from your studies the art of the fireball spell. 
13		An awesome power. It was often used to horrific efficiency in the Coast War to eliminate entire legions. 
14		But to reach degrees hot enough to soften this iron... 
15		It would have to be of seventh level or higher. 
16		More realistically, considering how the flames have forcefully escaped from the backrooms by bending the door this way... 
17		Eighth or ninth level. 
18		A spell perhaps? 
19		Or a very angry man? 
20		The answer escapes you. 
21		The hinges are connected to the wall via thick iron nails. 
22		Typical dwarven design. They use a metal known as Hârdsten on doors like this. 
23		Looks like they've been ripped right out of the stone. 
24		No wait... no, no. The iron's been bent as well. 
25		Interesting. Then this was a combination of force and heat. 
26		An esoteric effect? Just a spell? 
27		Your bet is: this was a high tier spell. 
28		Alarming. 
29		"Door is... very hurt." 
30		"Meek feel bad for door. Bad magic did this." 
31		"Master be careful. Whatever did this... still maybe here?" 
