idx	french
0	La seule chose non désintégrée dans la chambre centrale, c'est cette dalle de pierre.
1	Elle est juste très, très cuite.
2	Une table. C'était jadis une table de pierre. Maintenant elle est aussi calcinée que le reste du salon de thé.
3	Déplace ce truc. Il cache sûrement quelque chose d'important.
4	Peut-être... laisse-le tranquille. Tes bras ne peuvent porter ce fardeau.
5	Ah. Oui, une table. Elle a dû être renversée par la force de l'explosion.
6	Dessous.
7	Tout est horrifique dessous.
8	Ça pourrait couvrir quelque chose. Mais la déplacer seul serait difficile.
9	Ça pourrait couvrir quelque chose. Veille à ce que le gobelin donne un coup de main.
10	Garde ceci pour la fin. Si tu en es capable.
11	Ainsi chuchotent les Fils à tes oreilles.
12	« Hm ? Tu veux retourner la table ? »
13	« Elle est sacrément lourde, mais... peut-être qu'on peut le faire à deux. »
14	Une fois que vous aurez retourné des tables, vous serez de VRAIS frères.
15	Tenter de déplacer la table de pierre.
16	E-Plus tard.
17	Tu fais de ton mieux, mais le gros bloc de bois calciné refuse de bouger.
18	« Bon sang », dit le gobelin, haletant. « Lourde. »
19	« On va... fouiller ailleurs. Revenir là-dessus plus tard, j'imagine. »
20	Faire ça seul est presque impossible. Si seulement tu avais un compagnon quelconque...
21	Tu peux le faire. Seul. Pas vrai ?
22	Tu peux le faire. Seul. Peut-être.
23	Bien sûr que tu peux !
24	Le monde tremble sous tes pieds. Il bouge à ton contact !
25	RETOURNE. CETTE. TABLE !
26	Seul, ce serait difficile.
27	Peut-être devrais-tu trouver de l'aide.
28	Il y a quelque chose d'intéressant ici.
29	Cependant, veille à d'abord fouiller aux alentours.
30	Alors ne t'embête pas. Ce n'est qu'une table.
31	Tu saisis l'épaisse table de tes mains gantées.
32	L'agrippant fermement. Vigoureusement.
33	Snell copie tes mouvements.
34	« À trois. »
35	« Un. Deux. »
36	« Trois ! »
37	(Retourner la table.)
38	Tu scrutes le coin sombre du salon de thé.
39	Au milieu de la suie et des carreaux brisés, tu vois un cadavre.
40	De circonstance. De chuchotements-dans-les-tuyaux.
41	D'un fils en quête de son père - <i>ELLE A PAYÉ</i>.
42	Il disparaît presque dans la destruction alentour.
43	Une aura de chagrin. C'est une pure tragédie, au-delà de tout degré imaginable.
44	C'est un...
45	Snell le fixe. Il est silencieux.
46	Laisse-lui une seconde. Il l'appréciera.
47	Une victime. Signale-la.
48	<i>Que les dieux soient cléments...</i>
49	Huh.
50	Ouais, c'est... un peu au-dessus de ton grade.
51	(Baisser la tête en signe de respect.)
52	(Se murmurer à soi-même.) « <i>Qu'Urth soit béni</i>. »
53	Il tressaille et te regarde.
54	« Mm. Ouais. Confirmé. »
55	Tu passes un moment seul en silence.
56	Tu passes un moment aux côtés de Snell en silence.
57	Tes pensées se posant sur les restes défigurés.
58	Ça te hante.
59	Tes mots n'atteignent personne.
60	Snell hoche lentement la tête.
61	Tes mots restent suspendus dans l'air. Personne ne répond.
62	Pourtant c'est un réconfort malgré tout.
63	Le cadavre te paraît complètement carbonisé. Une telle destruction rendrait l'identification très difficile.
64	Le cadavre te paraît complètement carbonisé.
65	La taille est moyenne. En termes humains. Plutôt élancé.
66	La taille est moyenne. Tu crois.
67	Difficile de distinguer autre chose qu'une silhouette.
68	Elle ne méritait pas cette fin.
69	Tu fais quelques pas prudents jusqu'à... lui.
70	Puis tu t'agenouilles.
71	La majeure partie de la créature est brûlée au point d'être méconnaissable.
72	Il n'y a donc que deux zones clés sur lesquelles se concentrer.
73	Les mains ou la tête. Choisis.
74	Il y a une blague grivoise là-dedans quelque part.
75	Ni le moment, ni l'endroit.
76	Sois respectueux.
77	Le gobelin s'arme de courage.
78	« Quelle expérience as-tu avec les... cadavres, Clerc ? »
79	Tes pensées se posent sur des livres d'anatomie. Une formation médicale de base. Rien de pratique.
80	Tu es un expert.
81	Dans ton domaine.
82	La mort.
83	Tu la connais. Tu la crains.
84	Tu étais bien trop jeune.
85	(Te racler la gorge.)
86	Le gobelin rompt son intense duel de regards avec le cadavre et se tourne vers toi.
87	Il a peur que le cadavre se réveille.
88	Une crainte pas déraisonnable.
89	« Clerc. »
90	« De l'expérience avec les cadavres ? Aucune. »
91	« Je suis de la Garde-d'Urth. Pas des Services de Santé. »
92	« Je peux gérer. »
93	« Pas beaucoup. Et toi ? »
94	« Génial. J'imagine qu'on fera ça une étape à la fois. »
95	« J'imagine que ça ira. Rappel à la Vie a probablement cessé de fonctionner ici il y a un moment. »
96	« Bon à entendre. »
97	« Je suis pas expert. Mais tu sais... ça fait partie du boulot. »
98	Ouais, c'est ça. Comme si ces petites griffes délicates avaient jamais touché un cadavre.
99	Un mensonge. Il veut paraître plus expérimenté qu'il ne l'est.
100	« On devrait faire un examen préliminaire. Juste pour évaluer la scène. »
101	« Ensuite on organisera un transport vers la... Lichhouse, j'imagine. »
102	« Heureusement, c'est tout près. »
103	« On devrait faire examiner ça par Visken. »
104	« Un examen préliminaire, hein ? »
105	« Mm-hm. »
106	Il t'écoute à peine.
107	« Je vais vérifier la tête. Toi, euh... »
108	« Vérifie les mains. Ou un truc du genre. »
109	Il garde une distance salutaire. Le gobelin a peur.
110	Il ne veut pas toucher le cadavre. Tu as de la peine pour lui.
111	Toi, tu n'as pas peur.
112	Approche-toi. Fais ton boulot.
113	Sale affaire que c'est devenu.
114	Bon. Il est temps de se mettre au travail.
115	(S'avancer.)
116	Tu fais quelques pas prudents jusqu'à... <i>lui</i>.
117	(S'agenouiller.)
118	Le voir de près te fait trembler.
119	Ta chair sent les flammes.
120	Tu partages le lien de la mort.
121	(Regarder le torse.)
122	(Se concentrer sur les mains.)
123	Une masse sombre. Jadis de la peau.
124	Ne semble plus être qu'une masse solide.
125	Ça ne sent même pas.
126	Elle a été incinérée. Entièrement. En un instant.
127	La chaleur intense a provoqué une contraction musculaire rapide, figeant la femme sur place.
128	Elle s'est placée dans cette position. Très probablement pour se protéger de l'explosion.
129	La chaleur a dû être la cause de la mort. Une mort rapide.
130	Rien que du résidu de carbone noirci et cassant.
131	Cependant, tu es assez certain qu'il s'agissait d'une femme.
132	Le croque-mort devra le déterminer.
133	Quoi qui l'ait menée dans ce coin, ce fut rapide.
134	(Se contenter de regarder autre chose.)
135	« Compris. Bonne info. »
136	Snell s'approche, de quelques pas seulement.
137	Il se penche, un peu plus près.
138	Trop loin pour voir quoi que ce soit.
139	Ce pauvre gobelin.
140	Tu vois que la main gauche est à demi détruite.
141	Peut-être qu'elle est retombée dessus.
142	Elle aurait pu se briser dans la chute, si la source du feu fut assez instantanée.
143	Mais très probablement, le feu aurait mis au moins une demi-minute à être létal.
144	Et seulement si la source du feu était assez chaude pour cuire le cerveau de la cible.
145	Cette pensée te retourne l'estomac.
146	La main droite est crispée près de la hanche de la victime.
147	Tenant quelque chose.
148	Un indice ! Bien sûr.
149	Tu as lu des histoires comme ça. La victime agrippe toujours quelque chose d'important en mourant.
150	On dirait quelque chose de fragile dans la poigne. Peut-être laisser ça pour plus tard.
151	Il te faudrait un toucher vraiment délicat pour ne pas briser le contenu de ce poing.
152	Vas-y !
153	Non. C'est une mauvaise idée, à moins que tu ne veuilles briser ce poing en mille morceaux.
154	Mais bon. Peut-être que tu le veux.
155	Forcer la main à s'ouvrir, avec soin...
156	(Laisser ça pour plus tard.)
157	Lentement et délibérément, tu glisses tes doigts sous les siens.
158	Et quelque chose se libère.
159	Une chaîne.
160	Une fine chaîne d'or, ou des morceaux de celle-ci.
161	Intéressant.
162	Tu tentes de forcer et de fouiller, mais tu ne t'y prends manifestement pas très bien.
163	Car bien vite la main carbonisée craquelle et la suie du cadavre...
164	Oh, que les dieux nous sauvent tous.
165	Ton <b>tout entier</b> frissonne.
166	Il y a du CADAVRE plein tes MAINS !
167	J'aime pas ça. J'aime pas ça. J'aime pas ça.
168	(Étouffer un cri.)
169	Dans ta panique, la main s'est désagrégée davantage, créant un tas de poussière et de morceaux sur le sol calciné.
170	Tu prends une profonde inspiration.
171	Tes gants. Ils sont couverts. De PERSONNE.
172	C'est horrifique d'être si près de la mort.
173	Une personne cesse d'être une personne quand son âme s'en va. C'est pas grave.
174	Tandis que la terreur se dissipe, et que la suie s'en va, tu trouves quelque chose dans le désordre que tu as créé.
175	Étincelant.
176	Cependant, la seconde après l'avoir vu, tu le regardes commencer à LUIRE.
177	Une lueur ésotérique.
178	Puis ça commence à se désagréger sous tes yeux.
179	La chaîne d'or, en quelques secondes, se muant en un autre tas de poussière.
180	« C'est quoi ce bordel ? »
181	« C'était... de la magie, pas vrai ? »
182	Un collier maudit ?
183	« Pour toi, peut-être. »
184	Le gobelin grimace.
185	Peut-être une réaction retardée ?
186	Un mécanisme de défense.
187	Rien que tu puisses gérer maintenant.
188	Ennuyeux.
189	C'est mieux ainsi. Ouais.
190	Le croque-mort s'en occupera.
191	« Je, euh... »
192	« Pas grand-chose à voir. Le feu a tout... consumé. »
193	Aucune douleur. Ce fut une destruction instantanée de l'esprit et de l'âme. Tu le sens en regardant cette dépouille de personne tordue.
194	Ce fut une mort rapide. Que les dieux soient cléments.
195	L'idée d'être ICI un instant - et de ne plus l'être l'instant d'après - te retourne l'estomac.
196	Bien que carbonisé au point d'être méconnaissable, le crâne lui-même est plutôt intact.
197	La bouche est intacte. Bien.
198	Comme ça <i>tu</i> peux avoir quelqu'un à qui parler, bien sûr.
199	Communication avec les Morts. Il faut une bouche intacte sur le cadavre pour mimer la parole avec succès.
200	Même dans cet état, le cadavre devrait être une cible valable.
201	Est-ce que je remarque autre chose ?
202	Une bonne question.
203	En cherchant des traits distinctifs, tu remarques bel et bien quelque chose d'intéressant.
204	Les oreilles.
205	« Les oreilles ? »
206	Oui.
207	J'ai déjà vu des oreilles.
208	(Les regarder. De près.)
209	Regarde de plus près.
210	Il plisse les yeux.
211	« À peine visibles. Quoi, à leur sujet ? »
212	« Regarde de plus près. »
213	« La forme te paraît étrange ? »
214	« Bien sûr. Je suis censé... ? »
215	« Ben, ouais. À cause du feu. À moins que tu veuilles dire... »
216	Il penche la tête. « Oh. »
217	Oh.
218	Attends, attends, attends.
219	Bien qu'ayant à peine gardé une forme reconnaissable, ce qui reste des oreilles a une forme particulière.
220	Elles sont pointues. Effilées.
221	Elles sont pointues.
222	« Oh. »
223	Il regarde autour de lui.
224	Il n'y a qu'une seule créature humanoïde sur la côte avec cette taille de corps <i>et</i> des oreilles pointues.
225	« Pas un orc. Pas un gnome. »
226	Ah oui. Les orcs et les gnomes ont aussi des oreilles pointues. Mais... ça ne ressemble effectivement pas à l'un de ceux-là.
227	(Se marmonner à soi-même.) « Et pas un humain... »
228	Le gobelin recule d'un pas. « Non. Pas possible. »
229	Le déni. Pour vous deux. C'est incroyable, mais...
230	Oh. Oh la la.
231	Rien que le concept d'une créature aussi rare retrouvée dans ce salon de thé de seconde zone...
232	Il n'y a aucun doute.
233	Bien sûr. Quelque chose comme...
234	Que les dieux soient cléments.
235	Ta cité est en danger.
236	« Oh non. »
237	Illym pleure.
238	Ses enfants sont ESCLAVES du FASCISME.
239	Ton compagnon fusille le cadavre du regard. Sa tête se tourne alors lentement vers toi.
240	Oh non.
241	Oh, par les dieux.
242	« C'est un... »
243	C'est un <b>elfe</b>.
244	« C'est un <b>putain d'elfe</b> ! »
245	<i>Parfum d'Ukkul parmi la flamme égarée...</i>
246	C'est la mort que tu crains. La fin dramatique de ta carrière.
247	Le savaient-ils ? Non. Ils ne pouvaient pas.
248	Pourtant tu as, par aucun moyen de ta propre volonté, atterri dans ce couloir piégé de mission.
249	Tu n'as plus qu'un seul choix désormais.
250	Découvrir exactement pourquoi ceci est arrivé. Qui a tué l'elfe ? Qui a fait sauter le salon de thé ?
251	Tu sens que la réponse doit se trouver en bas- loin, très loin en bas...
252	Si Meriadoc a raison, ton but se trouve au sein du Pilier...
253	Tes yeux suivent l'imposant chevalier noir tandis qu'il passe, descendant les marches.
254	« Le corps est <b>sécurisé</b>. »
255	« Bien, bien », répond l'homme pâle derrière son bureau.
256	Snell s'appuie contre la dalle de fer, les yeux entièrement rivés sur le cadavre elfique à l'autre bout de la chambre.
257	« Je crois que je m'attendais à un nain. »
258	« Hein ? »
259	« Un nain. »
260	(Émettre un grognement viril pour lui signifier que tu l'as entendu.)
261	« Quoi ? Pourquoi ? »
262	« Le salon de thé était jadis un lieu de rassemblement pour les Azgals. »
263	« Ma première pensée fut à un règlement de comptes interne. Ou à un assassinat politique. »
264	« Mais un elfe... ? »
265	« Y en a genre trois. Dans la cité entière. »
266	(Ne rien dire pendant un moment.)
267	Qu'est-ce que je devrais dire ?
268	Après quelques secondes, le gobelin ricane et se frotte les yeux.
269	« Est-ce que les nains avaient un accord avec Illym ? »
270	« Et Drummer ? »
271	Il lâche un grand soupir. « J'imagine qu'on a d'autres questions à poser. »
272	Discuter de la quête, bien sûr.
273	Partage simplement tes sentiments.
274	Interroge-le là-dessus. Genre, à quel point vous êtes foutus tous les deux.
275	Parle, c'est tout.
276	« C'est le bordel. »
277	« C'est grave à quel point ? »
278	« Les elfes font peur. »
279	« Un putain de sacré bordel. »
280	« Les Illym sont puissants, même à Norvik. »
281	« Si l'un des leurs s'est fait dessouder... »
282	« Ouais. Ça pourrait annoncer des ennuis, c'est sûr. »
283	« J'aurais tendance à être d'accord. »
284	« Ça devrait être facile d'identifier un elfe, pas vrai ? »
285	« J'aime pas Visken. On n'aurait pas dû amener l'elfe ici. » (Chuchoter, pour que l'homme pâle n'entende pas.)
286	« C'est au-dessus de mon rang. »
287	M-« Alors... et maintenant ? »
288	« On pourrait le croire. Je parie que ce sera impossible. »
289	« Écoute, je le redis. C'est un drôle de zigue. »
290	« Mais la Vieille Dame a un accord avec lui. »
291	« Alors pour le meilleur ou pour le pire, c'est notre homme. »
292	Le lien ici est intéressant. Ce sont deux entités étranges dans cette étrange cité.
293	« Mm. »
294	« Mais je vois personne se bousculer pour saisir l'occasion, alors. »
295	« Tu sers encore la Vieille Dame. Pour l'instant. »
296	Il te donne encore des ordres. Mais...
297	Ce n'est peut-être pas le moment de se plaindre.
298	Il prend une profonde inspiration.
299	Le gobelin ne se réjouit pas de devoir rapporter tout ça.
300	« Rassemble les indices restants dans le salon de thé. »
301	« Ensuite on fait notre rapport à Dame Sageleaf. »
302	Il claque des doigts. « Au plus vite. »
303	Tu entends l'homme pâle se racler la gorge à l'autre bout de la chambre circulaire.
304	« Clerc. J'en ai terminé avec mon rapport. »
305	« Cependant, il est fort tard. Je vous en prie, revenez au matin et nous en discuterons. »
306	Puis il s'en va simplement, te laissant seul avec ton compagnon dans la Lichhouse.
307	(Faire un pouce en l'air à Visken.)
308	« Je veux réexaminer le cadavre. »
309	« Ah, ouais. Tu veux évidemment aussi faire le truc. »
310	Le truc ?
311	« Quel truc ? »
312	(Se contenter de le fixer.)
313	« Tu sais. Le <i>truc</i>. »
314	Il porte une main à sa bouche et mime la parole.
315	Qu'est-ce qu'il sous-entend ?
316	Dis-lui : non merci.
317	« Non merci. Je passe. »
318	« Développe. »
319	« Quel <i>truc</i> ? »
320	« Quoi ? »
321	« Je passe. Quoi que tu sous-entendes. »
322	« Putains d'enfers, Clerc, non ! »
323	Il grogne.
324	« Tu sais. Le truc que vous les clercs faites ? Avec les cadavres ? »
325	« Comment ça s'appelle, le euh... quand vous parlez aux morts ? »
326	Tu n'as jamais eu l'occasion de lancer Communication avec les Morts avant de venir ici.
327	« Communication avec les Morts ? »
328	« Le sort ? Communication avec les Morts ? »
329	« Ouais. Comment ça s'appelle ? »
330	« <i>Communication avec les Morts</i>. »
331	Il te fusille du regard.
332	« Tu te moques de moi ? »
333	« Non. Ça s'appelle <i>Communication avec les Morts</i>. »
334	« C'est ça. »
335	Il ferme les yeux et grogne.
336	Héh. Il est gêné.
337	« Oh. Ça s'appelle juste comme ça ? D'accord. C'est bien celui-là. »
338	« C'est ça. C'est une chose que je suis... plus ou moins capable de faire. »
339	« C'est ce qu'on verra. »
340	« Pas question. C'est glauque. »
341	« Je n'ai jamais fait de trucs de cadavres aux Tours. Cependant, je crois qu'il est temps de le faire. »
342	Il plisse les yeux. « Le formuler comme ça, ça n'... ça n'inspire pas confiance en tes capacités, Clerc. »
343	« J'imagine qu'on verra. »
344	« Je dis pas le contraire. »
345	« Génial. »
346	« ...Et n'appelle pas ça des <i>trucs de cadavres</i>. Ça sonne mal. »
347	Ça te va très bien, à toi.
348	Tout à fait d'accord.
349	« Mais tu obtiens cinq questions de ce sort, pas vrai ? »
350	« Avec ça tu devrais facilement pouvoir déterminer qui, quoi, pourquoi, quand. Et ainsi de suite. »
351	Peut-être que Visken peut te dire quelque chose sur ce sort...
352	Tu as déjà mémorisé ce sort. Va t'en servir.
353	« Parlons à Visken. Écoutons son rapport. »
354	« Parlons à Visken au matin. Écoutons son rapport. »
355	« Laisse-moi réexaminer le cadavre. »
356	« Avant toute chose, on devrait expliquer tout ça à Dame Sageleaf. »
357	« Au matin, on devrait faire notre rapport à Dame Sageleaf sans attendre. »
358	« Oh. Attends, mais... ça prend pas des années à apprendre, cette merde ? »
359	(Hausser les épaules.) « Bah. Donne-moi un après-midi ou deux. »
360	« Je crois que j'ai perdu quelque chose en tombant dans la rivière. Mais ça me revient. »
361	« Tiens donc. Tu es tout bonnement absolument terrifiant. »
362	« Ça a l'air... inquiétant. Mais bien. Essaie juste de retrouver le coup vite fait, d'accord ? »
363	« Ouais. Bien sûr. Passe devant. »
364	« Ouais. Il est tard de toute façon. »
365	« Oh. Ouais, pourquoi pas. Passe devant. »
366	« Bien vu. Allons-y. »
367	« Ouais. Au matin. Bonne idée. »
368	Le gobelin bâille.
369	E-Très bien. On y va.
370	Comme c'est excitant.
371	C'est pas souvent qu'on a affaire à des elfes.
372	C'est une terrible idée. Tu aurais dû fuir à la seconde où tu as vu ces oreilles.
