idx	prefix	english
0		Once there were shelves here filled with magazines. 
1		You've seen this type of construction before, in other city tea shops. 
2		Images of loud dwarves arguing over articles flash in your mind. 
3		The main draw of tea shops is the available outlet of magazines. 
4		Pay for an expensive cup, and get access to the latest stories. Win-win. 
5		(Look at the clumps of charcoal.) 
6		Is there really nothing readable left? 
7		E-I should... look at something else. 
8		"Sure. But not this garbage." 
9		"You're right. Hard to read when it's burnt like this." 
10		"What do you mean?" 
11		"No, not-" 
12		He shakes his head. "Copper zines. It's just a bunch of lies and tall tales." 
13		"Might be fun if you want to raise your blood pressure." 
14		"You don't know what you're talking about." 
15		"I agree. I hate journalism." 
16		"Thank you for expressing your opinion. Let us now return to work." 
17		"Oh, I'm so sorry, Cleric!" 
18		"Of course you should keep reading your gossip papers and propaganda zines." 
19		He gives you a kind smile. "Your opinions are as valid as any others." 
20		Somehow you feel like an idiot for defending this shit. 
21		Hey, lies can be very entertaining. You don't have to <i>believe</i> them. 
22		"That's not-" 
23		"I mean there's good newspapers, it's just..." 
24		"Are there really?" 
25		"Give me one example." 
26		"Sure. But I get your point." 
27		"Sure. The Green Road." 
28		"Give me ten more examples." 
29		"Oh. Haven't read that." 
30		"No." 
31		"That's fine. Thank you for indulging me." 
32		"You're welcome." 
33		"Yeah. I get that." 
34		"I'd blame the election for a lack of more good journalism, but it really wasn't that much better before." 
35		"Okay." 
36		He glances at you. His eyes filled with concern. 
37		"Just to make sure, you're not... falling apart or anything?" 
38		When have you ever done that? 
39		"What?" 
40		"Maybe." 
41		"Of course not. That would be silly. Let us now return to being productive." 
42		"I just seem to notice you start to act a bit strange sometimes." 
43		"Just wanted to make sure you're not... I don't know." 
44		"Leaking out of your head or something." 
45		"Thank you for your concern. I do not have any unwanted holes and or hemorrhages going on." 
46		"Okay. Good! Great to hear." 
47		He still looks concerned. Don't scare him like this. 
48		"Okay?" 
49		Do a thumbs up. 
50		Snell returns the thumbs up. 
51		Littered across the stone alcove you see chunks of... well, charcoal. 
52		This used to be wood. These stone shelves used to have a wood front. 
53		There was wood here? 
54		Why would there be? Paper burns quite easily. 
55		But what if...? 
56		E-Sure. I'll look somewhere else. 
57		Sure. Maybe you'll find a magically fire immune newspaper or something. 
58		That's right! You have to take a proper look here before moving on. 
59		Great. Just great. 
60		Your eyes sweep over the ashy remains. 
61	ROLL3 wis-	Search for... something. Anything. 
62		E-I should look at something else. 
63		Among the mess you notice something solid. 
64		Moving away a small pile of burnt magazines, you discover a paper completely unharmed by the flames. 
65		It's a bit dirty, but a quick shake reveals the title. 
66		'The Undercommon.' 
67		For fuck's sake. 
68		This paper is cursed, I tell you. 
69		"We spent a fortnight fishing these bad boys out of the sewers last year." 
70		"What kind of asshole thought a magically indestructible newspaper was a good idea?" 
71		There's a faint teal-ish outline on the paper. Not quite glowing in the dark. But almost. 
72		E-Put the magazine away and look somewhere else. 
73		"Nope. Not even magic flame." 
74		"The zine?" 
75		"Nah. It's shit." 
76		"Immunity to fire damage sure is something, huh?" 
77		Nope. There's nothing here. 
78		But it was worth a try. 
79		You sure about that? 
80		"Cleric - can we move on? I don't think the magazines are too readable at this point." 
81		(Keep staring.) 
82		"Hello-o?" 
83		"You home?" 
84		Your eyes cannot move from the pile of ash on the shelf. 
85		You're frozen. 
86		And blinded. 
87		It changes. You sense it. 
88		The realm is touched by Strings. 
89		(<i>Grab the String.</i>) 
90		You do so. 
91		You glimpse backwards. 
92		Your body is still. Unmoving. 
93		You have no control. 
94		The goblin stands next to you, seemingly so used to you acting strangely that he doesn't even question it. 
95		"Yeah?" 
96		"I think I've encountered an Esoteric Event." 
97		"Uh-huh." 
98		"You have to save me. I'm stuck." 
99		"...Wait, actually?" 
100		"I am dying, Snell. Help." 
101		He quickly kicks you in the shin. 
102		Your left hand. It's the only thing that moves. 
103		It is time. 
104		You must break free. 
105		(Punch yourself.) 
106		The strike hits your helmet. The immense power grants you the one thing you desire... 
107		Freedom! 
108		The strike hits your helmet. 
109		It is not a massive blow, but enough to break you from your frozen state. 
110		You regain all senses. 
111		Freedom. 
112		"Okay, you all better now? Can you try to... not get stuck in 'Esoteric Events' in the future?" 
113		"Please?" 
