idx	prefix	english
0		Two bricks. Stones. Inconspicuous. 
1		Too inconspicuous. 
2		The goblin leans in, getting in between you and the stones. 
3		"Sorry to interrupt, but do you have a reason for eyeing this corner in particular?" 
4		(Try to lift the rocks.) 
5		"Oh?" 
6		He glances at them, then whispers to you, "What's the secret?" 
7		"Let's find out." (Try to lift the rocks.) 
8		"Something esoteric, surely." 
9		"Oh, surely." 
10		You lean in, and grab the edges on either side. 
11		Like you suspected, they're not just loose, they're easily lifted. 
12		As you push them to the side, you see what's beneath. 
13		A pit. Just wide enough for you to slip down. And a ladder. 
14		"<i>Fuck me</i>. Is that..." 
15		"Passage! Not very dungeon. Almost... not but quite!" 
16		Neat. 
17		"It's an expression, Cleric." 
18		"But to be fair, you could probably find secret holes like this everywhere in this damn city." 
