idx	french
0	Deux briques. Des pierres. Discrètes.
1	Trop discrètes.
2	Le gobelin se penche, se glissant entre toi et les pierres.
3	« Désolé de t'interrompre, mais t'as une raison de lorgner ce coin en particulier ? »
4	(Tenter de soulever les pierres.)
5	« Oh ? »
6	Il les regarde, puis te chuchote : « C'est quoi le secret ? »
7	« Découvrons-le. » (Tenter de soulever les pierres.)
8	« Quelque chose d'ésotérique, sûrement. »
9	« Oh, sûrement. »
10	Tu te penches, et saisis les bords de part et d'autre.
11	Comme tu le soupçonnais, elles ne sont pas juste descellées, elles se soulèvent aisément.
12	En les poussant sur le côté, tu vois ce qu'il y a dessous.
13	Une fosse. Juste assez large pour que tu t'y glisses. Et une échelle.
14	« <i>Putain</i>. C'est... »
15	« Passage ! Pas très donjon. Presque... pas mais presque ! »
16	Chouette.
17	« C'est une expression, Clerc. »
18	« Mais pour être honnête, tu pourrais probablement trouver des trous secrets comme ça partout dans cette foutue cité. »
