idx	prefix	english
0		"Hey, man." 
1		Along the docks you see a bustling of humans and dwarves- cargo moving about, among hard salty waves hitting the pier. 
2		The grand port of Waterlane. You see only a glimpse of the dockyard from here. 
3		This is where the business happens! 
4		Though this is the quiet side. Looking across the span, you see most ships are docked on the Westwalk. Or Waterlane West. Or whatever they call it these days. 
5		On the edge behind the Freestrider HQ, a number of workers are hanging about, drinking and talking. 
6		One of them, a long-haired dwarf with droopy eyes throws you a cool head-nod. 
7		"You look like a cleric." 
8		"Hey, man, again. Cleric-looking guy. Sweet seeing you." 
9		"Hello. Yes, I'm The Cleric. I thought that'd be clear by now." 
10		"What's up?" 
11		"What's your story?" 
12		E-"Goodbye, Citizen." 
13		"By now?" 
14		"I've never met you before, man." 
15		"It <i>is</i> pretty obvious." 
16		"Alright." 
17		"I mean, who else would dress like this?" 
18		The goblin gestures towards you and your outfit. 
19		"True, I guess." 
20		"I guess the bucket tripped me up." 
21		"I guess the pot tripped me up." 
22		"Nothing much." 
23		"Work is over for some. Starting for others." 
24		"It's like a tidal wave hitting the shore, you know." 
25		"Like a never-ending search for capital." 
26		"Nah, man." 
27		"Only the Freestriders got access there." 
28		"Who should I talk to?" 
29		"Durelius, I guess. Or no, wait..." 
30		"He's never here. That guy's supposed to be the managing officer, you know." 
31		"But Viira's pretty good too." 
32		"So Viira is the boss?" 
33		"Apparently." 
34		"It's a bit messy now, before the election. Which is understandable, so I won't complain too much." 
35		"My story, man?" 
36		"Yeah. Tell me." 
37		"Nah. I'm just being polite." 
38		"Ah. Right." 
39		"I'm not that interesting. I just did like, what most Exiles did. As the VK got all stale, and no one could find a job, we moved downriver. Urth was really cool back in the day, with all that stuff. My dad took me and my sister all the way down. He worked on the GSP, you know? I never got into construction myself. But since I finished school, I've been on the docks. Not here, I've only worked on Waterlane for a year or two. But I've been all over the city, really. The GSP Outlet. Icebay Point. North Housing. Had a gig with a factory on North Wall before the Bone Purge. But they shut down once they took down the zombies. So yeah. Not a huge fan of the Freestriders, but the AR pays well. Nice folks too. Beyond that, I'm looking for a wife at the moment. Had my eyes on this gal who lived in the Hills last year, but she liked my friend Jagge more. I don't blame her, he's got a real nice mustache. Though it's getting hard saving up for a house these days, so not sure if I'll ever afford the whole family life, you know." 
40		"Maybe I should vote Azgalist..." 
41		(Focus.) "Hm? Oh, you're done?" 
42		(Jolt.) "Ah! What a lovely story." 
43		(Just nod.) 
44		"Hm." 
45		A regular dwarven tale. 
46		Typical below-average worker. 
47		This is <i>not</i> a hustler. 
48		"Thanks for asking. Clerics don't usually act all nice and kindly, you know." 
49		He goes in for a fist bump. 
50		You have been CHOSEN. 
51		Do it. 
52		(Bump his fist.) 
53		"No thank you." 
54		"Hells yeah." 
55		"Oh. Oh well." 
56		You hear Snell audibly yawn behind you. 
57		"Sure, man." 
58		A scholar. 
59		Anyone would. 
60		"What about it?" 
61		Your companion looks very nervous all of a sudden. 
62		"Which card should I draw?" (Show him.) 
63		R-(Hold it out) "Here. Draw a card." 
64		"Cool, cool." (Put the deck away.) 
65		"Not the top one. That one." 
66		He points at one of the middle. As he does, the cards instantly, and esoterically, flip places. 
67		"Whoa." 
68		"Freaky." 
69		This man just changed fate itself. 
70		Worship him. 
71		Do not. 
72		That would be piss-antingly. 
73		This dwarf is SPECIAL. 
74		Give him a card. GIVE HIM A DRAW. 
75		"What?! No!" 
76		The dwarf immediately grabs a hold of the vellum paper sticking out of the container, and... 
77		He flips it. 
78		Instantly, a poof of smoke appears around the dwarf. 
79		When the smoke clears... he looks the same. Except he's holding a large fancily-embroidered bag. 
80		"Huh?" 
81		In your hands, the card-container appears to have fizzled out of existence. 
82		"Oh." 
83		The dwarf looks inside the bag. 
84		"Cool, man." 
85		"What's... in there?" 
86		"I won't have to work anymore with this." 
87		He tosses you a handful of electrum coins. 
88		What?! 
89		This is like... a thousand crowns worth! 
90		Huh? What's this? 
91		Snell glares at the two of you, in shock. 
92		"Thanks." 
93		"How much is in there?" 
94		"Oh." (Be shocked.) 
95		"Not sure, man. But looks like a fortune." 
96		A logical calculation of size and apparent weight, as well as since it looks to be entirely filled with amber coins of the electrum kind: the dwarf received approximately fifty thousand crowns in value. 
97		Using your logical thinking and mind to look it over, it appears the dwarf has received at least a few thousand crowns. 
98		All from the magic of the deck. Which is now spent. 
99		The dwarf begins to walk away, leaving you and Snell speechless on the pier. 
100		"Have a good one, you guys." 
101		"Uh." 
102		The goblin rubs his eyes. 
103		"Good for him. Now can we leave?" 
104		The working class dwarf shares his spoils with you, his brother. 
105		A good man. A true man. 
106		He only gave you a tiny portion of it. 
107		Which is technically a fiendishly shrewd move, getting you off his back. 
108		But you seriously doubt the dwarf thought that hard about it. 
109		"Mm." 
