idx	french
0	« Hé, mec. »
1	Le long des quais, tu vois une agitation d'humains et de nains- des cargaisons qui vont et viennent, parmi les rudes vagues salées qui frappent la jetée.
2	Le grand port de Waterlane. Tu n'aperçois qu'un aperçu du chantier naval d'ici.
3	C'est là que les affaires se font !
4	Cela dit, c'est le côté tranquille. En regardant de l'autre côté, tu vois que la plupart des navires sont amarrés sur le Westwalk. Ou Waterlane Ouest. Ou peu importe comment on l'appelle de nos jours.
5	Sur le rebord derrière le QG errant, un certain nombre d'ouvriers traînent, buvant et discutant.
6	L'un d'eux, un nain aux cheveux longs et aux yeux tombants, t'adresse un signe de tête décontracté.
7	« T'as l'air d'un clerc. »
8	« Hé, mec, encore. Le gars qui ressemble à un clerc. Sympa de te voir. »
9	« Bonjour. Oui, je suis Le Clerc. Je pensais que ce serait clair maintenant. »
10	« Quoi de neuf ? »
11	« C'est quoi, ton histoire ? »
12	« Au revoir, citoyen. »
13	« Maintenant ? »
14	« Je t'ai jamais rencontré avant, mec. »
15	« C'est <i>plutôt</i> évident. »
16	« Bon. »
17	« Enfin, qui d'autre s'habillerait comme ça ? »
18	Le gobelin te désigne, toi et ta tenue.
19	« Vrai, j'imagine. »
20	« J'imagine que le seau m'a embrouillé. »
21	« J'imagine que le pot m'a embrouillé. »
22	« Pas grand-chose. »
23	« Le boulot est fini pour certains. Il commence pour d'autres. »
24	« C'est comme une vague de marée qui frappe le rivage, tu vois. »
25	« Comme une quête sans fin de capital. »
26	« Nan, mec. »
27	« Y a que les Errants qui ont accès là. »
28	« À qui je devrais parler ? »
29	« Durelius, j'imagine. Ou non, attends... »
30	« Il est jamais là. Ce type est censé être l'officier gérant, tu vois. »
31	« Mais Viira est plutôt bien aussi. »
32	« Alors c'est Viira, la patronne ? »
33	« Apparemment. »
34	« C'est un peu le bazar en ce moment, avant l'élection. Ce qui est compréhensible, alors je vais pas trop me plaindre. »
35	« Mon histoire, mec ? »
36	« Ouais. Raconte. »
37	« Nan. Je suis juste poli. »
38	« Ah. C'est ça. »
39	« Je suis pas si intéressant. J'ai juste fait genre, ce que la plupart des Exilés ont fait. Comme la VK est devenue toute rassie, et que personne pouvait trouver de boulot, on est descendus le long de la rivière. Urth était vraiment cool à l'époque, avec tout ce truc. Mon père nous a emmenés, ma sœur et moi, jusque tout en bas. Il bossait sur le GSP, tu vois ? Moi je me suis jamais mis à la construction. Mais depuis que j'ai fini l'école, je suis sur les quais. Pas ici, j'ai bossé sur Waterlane que depuis un an ou deux. Mais j'ai été partout dans la cité, en vrai. Le GSP Outlet. Icebay Point. North Housing. J'ai eu un boulot dans une usine sur North Wall avant la Purge des Os. Mais ils ont fermé une fois qu'ils ont éliminé les zombies. Alors voilà. Pas un grand fan des Errants, mais l'AR paie bien. Des gens sympas aussi. À part ça, je cherche une femme en ce moment. J'avais des vues sur une nana qui vivait dans les Collines l'année dernière, mais elle préférait mon pote Jagge. Je lui en veux pas, il a une sacrée belle moustache. Cela dit c'est dur d'économiser pour une maison de nos jours, alors pas sûr que je pourrai jamais me payer toute la vie de famille, tu vois. »
40	« Peut-être que je devrais voter Azgaliste... »
41	(Se concentrer.) « Hm ? Oh, t'as fini ? »
42	(Sursauter.) « Ah ! Quelle charmante histoire. »
43	(Se contenter de hocher la tête.)
44	« Hm. »
45	Un récit de nain ordinaire.
46	Un ouvrier typique en dessous de la moyenne.
47	Ça, <i>ce n'est pas</i> un débrouillard.
48	« Merci d'avoir demandé. Les clercs se montrent pas d'habitude tout gentils et aimables, tu vois. »
49	Il tend le poing pour un check.
50	Tu as été CHOISI.
51	Fais-le.
52	(Cogner son poing.)
53	« Non merci. »
54	« Putain ouais. »
55	« Oh. Tant pis. »
56	Tu entends Snell bâiller bruyamment derrière toi.
57	« Bien sûr, mec. »
58	Un savant.
59	N'importe qui le ferait.
60	« Qu'est-ce qu'elle a ? »
61	Ton compagnon a l'air soudain très nerveux.
62	« Quelle carte devrais-je tirer ? » (La lui montrer.)
63	(La tendre.) « Tiens. Tire une carte. »
64	« Cool, cool. » (Ranger le jeu.)
65	« Pas celle du dessus. Celle-là. »
66	Il pointe une du milieu. Ce faisant, les cartes échangent instantanément, et ésotériquement, leurs places.
67	« Ho là. »
68	« Flippant. »
69	Cet homme vient de changer le destin lui-même.
70	Vénère-le.
71	Ne le fais pas.
72	Ce serait minable au possible.
73	Ce nain est SPÉCIAL.
74	Donne-lui une carte. FAIS-LE TIRER.
75	« Quoi ?! Non ! »
76	Le nain attrape aussitôt le papier vélin qui dépasse du récipient, et...
77	Il la retourne.
78	Instantanément, une bouffée de fumée apparaît autour du nain.
79	Quand la fumée se dissipe... il a l'air pareil. Sauf qu'il tient un grand sac richement brodé.
80	« Hein ? »
81	Dans tes mains, le récipient à cartes semble s'être évaporé de l'existence.
82	« Oh. »
83	Le nain regarde dans le sac.
84	« Cool, mec. »
85	« Qu'est-ce qu'il y a... là-dedans ? »
86	« J'aurai plus besoin de bosser avec ça. »
87	Il te lance une poignée de pièces d'électrum.
88	Quoi ?!
89	C'est genre... l'équivalent de mille couronnes !
90	Hein ? C'est quoi, ça ?
91	Snell vous fusille tous les deux du regard, sous le choc.
92	« Merci. »
93	« Combien il y a là-dedans ? »
