idx	prefix	english
0		You approach the door. 
1		"Bookbinder? You got business here?" 
2		(Knock on the door.) 
3		E-(Leave.) 
4		"That's fun. Didn't expect that, considering... everything. I'm not a big reader myself, but I indulge occasionally." 
5		He sounds surprised. 
6		That's rude. <shake>Very rude</shake>... 
7		But it's just <i>banter</i>. You can handle it. 
8		"What, did you think I don't like books? I'm a <i>professional and highly esoterically minded</i> cleric. Of course I love books!" (Be offended.) 
9		"What kind of wizard would dislike books?" (Be a wizard.) 
10		"<i>You</i> can read?" 
11		"Rogue." 
12		"Are you upset?" 
13		He cracks a smile. 
14		"Like, genuinely?" 
15		Pff. No. 
16		Slightly. Yes. 
17		You feel a bubbling brewing. 
18		It is... rage. 
19		"<i>NO.</i>" 
20		"Yeah, a bit." 
21		(Make grumpy cleric noises.) 
22		The goblin stifles a laugh. 
23		He shrugs. 
24		"I mean, it's a stereotype. Figured you'd be more original than that." 
25		"So what, I'm an <i>illiterate ape-wizard</i>? Those haven't existed since the Fade Era!" 
26		"What can I say? I'm boring." 
27		"I don't know about that, but..." 
28		"I learn something new about you every minute it seems." 
29		"Fuck off." 
30		"Do you mean a note-sheet? Or... what?" 
31		"I'm a dancing kind of bard, so... no." 
32		"But you just said...?" 
33		"Nevermind that. I change my mind." 
34		He groans. 
35		"I don't know, Cleric." 
36		His sound makes it clear that he is tired of you talking about druidic things, despite the fact that he should celebrate your passionate love for nature. 
37		"...What?" 
38		"I'm sorry?" 
39		"Rogue. I'm a rogue." 
40		"I didn't ask!" 
41		"Well. Maybe we shouldn't just stand here talking in front of a shop." 
42		"You knocking, or we leaving?" 
43		Within seconds of the knock, the slit on the door slides open. 
44		Beyond you see a pair of large yellow eyes glaring at you. 
45		"Hey-o." 
46		Bird. 
47		"Is this pest control?" 
48		The eyes quickly tilt to the left. 
49		Tilt? 
50		"No." 
51		"Yes." 
52		"In a sense?" 
53		"No..." 
54		The eyes push closer to the slit in the door. As they do, a bush of gray feathers pokes out. 
55		A birdfolk. 
56		Ah! An owl! 
57		"Hm? A <i>cleric</i>?" 
58		"No, I'm a wizard." 
59		"No, I'm a rogue." 
60		"Yeah. Duh." 
61		"Hm." 
62		The bird-man behind the door ruffles his feathers. 
63		"<i>Shěn Yêlan</i> is my name." 
64		"If you are not pest control, I need nothing from you. Please leave." 
65		The hatch on the door swings open. 
