idx	french
0	Tu te tiens devant une porte humide, sur une maison d'angle exiguë.
1	Le bois est sombre, gonflé de l'humidité perpétuelle de Waterlane.
2	Une couche de boue de rivière et d'ALGUES.
3	« Hm ? Tu connais quelqu'un ici ? »
4	(Frapper à la porte.)
5	(Se contenter de partir.)
6	« ...Alors pourquoi tu te tiens ici ? »
7	« ...Pourquoi ça sonne comme une question ? »
8	Tu retournes à la porte humide.
9	(Frapper de nouveau.)
10	Tu tapes des jointures contre le bois.
11	Un coup solide, rythmé.
12	(Attendre.)
13	« Il y a quelqu'un ?! »
14	Un instant s'écoule.
15	Puis, le bruit d'un lourd loquet coulissant.
16	La porte s'ouvre en grinçant.
17	Une paire d'yeux globuleux te fixent d'en bas.
18	C'est un anoure.
19	Vêtu d'une minuscule veste d'intérieur en velours.
20	Fort distingué, malgré l'absence de pantalon.
21	« <i>Qu'est-ce que c'est ?</i> Qu'y a-t-il ? »
22	Il cligne lentement des yeux. Une membrane translucide passe d'un coup sur ses yeux.
23	« Je suis occupé. <i>Très occupé.</i> »
24	Il a l'air... spongieux.
25	« Je passais juste par là. »
26	« Je voulais me présenter. »
27	« J'ai quelques questions. »
28	« Alors passe ton chemin. <i>Allez.</i> »
29	Il se met à refermer la porte.
30	« <i>Mon dieu.</i> Pourquoi ? »
31	« Oh ? »
32	« Attends. »
33	Il plisse les yeux vers ton uniforme.
34	« Es-tu un... comment dit-on... <i>le clergé</i> ? »
35	« Ça ne ressemble pas à la <i>langue d'Urth</i>. »
36	« Je suis <i>Le</i> Clerc, oui. »
37	« Plutôt un magicien, en vérité. Mais soit. »
38	« Je me vois plutôt comme un fringant roublard, personnellement. »
39	« <i>Oui</i>. »
40	« <i>Ah. Bon.</i> »
41	Il hoche la tête respectueusement.
42	« Au moins tu n'es pas de la maison de la dîme. »
43	« <i>Un magicien ?</i> »
44	Il fronce le visage.
45	« Je ne connais pas la différence. Je m'en fiche, franchement. »
46	Un simplet. Comme c'est triste.
47	« Un fringant...? <i>Non.</i> Tu es clairement un clerc. »
48	Si méprisant.
49	Il te perce à jour.
50	« Hm. Un truc de musique magique ? »
51	« <i>Musique ?</i> J'apprécie vos airs humains parfois... »
52	« Non. Je ne fais que danser. »
53	« Hein. <i>Bizarre.</i> »
54	Il ricane. Un son mouillé, coassant.
55	« <i>Oui</i>. Je te crois. »
56	« Hm. Ne touche pas à mes plantes en pot. »
57	L'anoure passe la tête derrière la porte.
58	« <i>Tu veux quoi ?</i> »
59	Demander une contribution à ta cause.
60	« Pourquoi demandes-tu si je suis un clerc ? »
61	« Quel est ton nom ? »
62	« Que fais-tu ici ? »
63	« Jolie maison. »
64	« Je vais y aller maintenant. »
65	Tu te racles la gorge.
66	« Écoute, l'ami. File-moi quelques biens. »
