idx	prefix	english
0		You approach a ball of feathers and wings and really, really sharp claws. 
1		A magnificent creature. 
2		Too bad he's clearly overfed. 
3		That is rude. The poor bird-cat has a unique body shape, and we should celebrate that. 
4		If it could understand you, sure. 
5		Magical beasts can sometimes understand basic common. You could try speaking with it. 
6		It's a griffon, right? 
7		This is a griffon. It is a somewhat intelligent magical beast. 
8		You will require Speak with Animals to communicate properly, of course. 
9		Simply cast Speak with Animals. That should lessen the pain of negotiation. 
10		You see a pool of drool forming underneath the open beak of the beast. 
11		It is asleep. 
12		Wait, look behind it. 
13		Oh. Wait. Isn't that... 
14		There's an entrance to the Warehouse on the other roof. If you want to get inside, you're going to have to get past this bad boy. 
15		The mythical beast snores gently before you. 
16		"I don't even want to ask what the plan is here." 
17		The mythical beast looks at you - with intelligent eyes. 
18		Hungry eyes. 
19		(Pet the bird.) 
20		E-"Thank you for your time, griffon." 
21		Not a bird. 
22		A large bird. 
23	DC10 int-	(Pet the dangerous monster.) 
24	FC10 int-	(Pet the large bird.) 
25		Better. 
26		You reach forth, and the griffon snaps at you with its beak. 
27		Almost got you. Careful. 
28		Its eyes say, 'Cut that shit out, biped.' 
29		Not a fan, huh. 
30		R-(Attempt to pet the beast.) 
31	ROLL18 wis-	Wake the animal gently, through understanding and empathy. 
32		R-(Attempt to sneak past it.) 
33		E-"Okay. I've come to a conclusion. I should not engage this beast right now." 
34		"No. No, thank you." 
35		"And seriously, be careful. I'm not cleaning up your guts if that thing skewers you." 
36		You go in, and... 
37		(Pet.) 
38		How does one do this? 
39		You try to see from the beast's perspective. 
40		How would you like to be awoken, if you had to be awoken from your lovely slumber, if you had to be awoken from your lovely slumber by a helmed handsome stranger? 
41		If you had to be awoken from your lovely slumber by a helmed handsome stranger on a day such as this? 
42		I lost my train of thought. What am I doing? 
43		The question is: by which method would you like to be awoken? 
44		I don't know. A hug? 
45		Okay. Try that then. 
46		"Come here, birdy..." (Give the sleeping griffon a hug.) 
47		Alright, let's do this... 
48		Sorry? What are you doing? 
49	ROLL14 dex-	Sneak past it. 
50		No, no. I regret this. Let's not. 
51		You take a deep breath. 
52		Then you take the first step. 
53		The goblin follows right behind you as you carefully navigate the ledge of the roof. 
