idx	french
0	Ôst se tient à un coin de rue. Derrière lui, une grande caisse de bouteilles de lait.
1	« Clerc partir. Va-t'en ! »
2	« Clerc, bas les pattes du <shake>LAIT</shake> ! »
3	(S'écarter de la caisse de lait.) « D'accord... »
4	« Maintenant partir ! Moi pas parler avec Clerc ! »
5	« Va, Clerc. Moi pas parler avec toi. »
6	« C'est ça, la <i>Tournée du Lait</i> ? »
7	« Tu traînes juste ici en bas ? »
8	« Qui finance cette opération ? »
9	« D'accord. Salut. »
10	« ...Oui. »
11	« Je peux aider ? »
12	« Cool. »
13	« Non. »
14	Insiste. Tu peux le faire !
15	« S'il te plaît ? »
16	« D'accord. »
17	Il grogne.
18	D'une façon adorable.
19	Tu le vois cesser de grogner. Il réfléchit tout seul. À quelque chose.
20	Ah. Il a un plan...
21	Hm ?
22	Une combine...?
23	Mais là, le kobold se retourne et se met à ramasser des bouteilles.
24	« Hm ? Attends. Toi déjà pris ! »
25	Le kobold fouille dans la caisse, puis te lance un profond froncement de sourcils inébranlable (qui ressemble exactement à toutes ses autres expressions).
26	« Toi PRENDRE lait. Ça, pas travailler avec la TOURNÉE DU LAIT ! »
27	Oups.
28	« Puisque toi PRENDRE, toi devoir TRAVAILLER. »
29	Ah bon ?
30	Il te les tend, une par une.
31	« Toi maintenant humain livreur de lait. Toi sur la TOURNÉE DU LAIT. »
32	Une quête ?
33	« Quoi, vraiment ?! »
34	« Oh. Cool. »
35	« Je vais être si <b>riche</b>. »
36	« Humain écoute bien. »
37	« Chaque bouteille est spéciale. Très chère. »
38	« Toi devoir la livrer aux gens riches. Les faire acheter. »
39	« Le prix est... quatre mille. Couronne. »
40	« C'est ridiculement cher. »
41	« Oh... je vois. »
42	« C'est du bon lait. »
43	« Oui. »
44	« Après toi les vendre toutes, toi venir vers moi. Le jour de l'élection. C'est là qu'on compte l'argent. »
45	« Chaque coûte... deux mille couronnes. »
46	« DEUX MILLE ? »
47	« Pour UNE bouteille de lait ?! »
48	« Oui ! »
49	« Toi vends tout, toi obtiens vingt mille couronnes. Ça, c'est des maths. »
50	Ça, <i>c'est</i> des maths.
51	« Le jour de l'élection, toi me payes dix mille couronnes. Ça, c'est le renflouement. »
52	C'est ridicule.
53	« ...Renflouement ? »
54	(Se contenter de fixer le kobold.)
55	« Clerc écoute ? Clerc réveillé ?! »
56	« <i>Renflouement</i>. Moi prends dix. Toi prends dix. »
57	« Ça, c'est le renflouement. »
58	« Que se passe-t-il si je ne les vends pas toutes ? »
59	« À qui je le vends ? »
60	« C'est une arnaque ? »
61	« Bon. Faisons-le. » (Le faire.)
62	« Non. Je ne veux pas faire ça. » (Ne pas se faire avoir.)
63	« Lait cher. Bon lait. Si Clerc pas vendre, Clerc paye. Dix mille. »
64	« Humain stupide. Humain riche. Amateur de lait. Baiseur de vache. »
65	« Trouver et vendre. Facile. Même Clerc peut faire. »
66	« Bien. »
67	OUI !
68	Enfin, c'est une arnaque, mais...
69	Bah. Ça vaut peut-être le coup au bout du compte.
70	Bois juste le lait.
71	« Clerc vient parler le jour de l'élection. »
72	« Apporte l'argent. »
73	« Maintenant va. Va-t'en. Au revoir. »
74	« Fais ce que tu veux, Clerc. Mais s'il te plaît- ne pense même pas à me demander d'en acheter une. »
75	Tu devrais probablement essayer de trouver des humains ! Ils <i>adorent</i> le lait.
76	Il prend les bouteilles.
77	« Maintenant va ! »
78	« Quelle arnaque. »
79	« Oui. Maintenant va. »
80	« Va-t'en. Moi pas parler à Clerc. »
81	« On dirait qu'il n'est pas d'humeur à parler. »
82	« Évident, oui, <i>esclave des Halfways</i>. »
83	C'est un grand mot pour un petit gars vert.
84	Snell te lance un regard, puis hausse les épaules.
85	« Non ! Ou... »
86	« Fais comme tu veux. Si Clerc fait, Clerc payera. »
87	« De toute façon, moi deviens riche. »
88	Peut-être pas, alors.
89	Mais c'est du lait. C'est délicieux.
90	« Je le suis. »
91	« Moi obtiens du producteur. Puis transport. Puis vends. »
92	« C'est la Tournée du Lait. C'est gros profit. »
93	« Alors tu es- »
94	« Puis je- »
95	« Mais c'est- »
96	« Plus de question. »
97	« Moi occupé ! »
98	Quelle impolitesse.
99	Bah. Un débrouillard doit se débrouiller.
100	« Non. Maintenant va-t'en. »
101	Tu ne parviendras à vendre aucun de ce lait.
102	Bois-le, tout simplement. Tu seras ton propre client.
103	Tu t'es fait arnaquer.
104	Maintenant vis avec.
105	Enfin, euh... il y a probablement <i>un</i> moyen de vendre tout ça. Non ?
106	« Viens parler après l'élection. L'argent sera collecté à ce moment-là ! »
