idx	prefix	english
0		You approach one of many doors out here on Waterlane View. 
1		This one is as damp as the rest. 
2		Snell watches your moves carefully. 
3		(Knock on the door.) 
4		E-(Just leave.) 
5		"Nothing." 
6		"Are you calling me nothing?" 
7		"I don't believe you." 
8		"It's not that deep." 
9		"Shocking." 
10		You return to the damp door. 
11		(Knock again.) 
12		You rap, rap, rap against the solid wood. 
13		A very solid, very rhythmic knock. 
14		(Wait.) 
15		A moment passes. As it does. 
16		Then, the sound of a heavy latch sliding as the- 
17		It's flung open. 
18		Beyond the frame you see a human male, mid-thirties. His short hair ruffled. His cloak wrapped around him like a makeshift toga. 
19		His face exerted in panic. 
20		He is SHAKING. 
21		"Oh gods, no..." 
22		"No, no, no...!" 
23		Are you that intimidating? 
24		You see the tears form in his eyes as he leans forward, pleading, "<i>What happened to him?</i>" 
25		How awful! He thinks you're here to deliver terrible news. 
26	DC10 wis-	"Calm down. No one is hurt." 
27		"I can say whatever I want, <i>sir</i>." 
28		(Look around.) "Are you talking to me?" 
29		"W-what?" 
30		The man blinks at you. 
31		"Is Octavio okay?" 
32		"I do not know this person. Why are you asking me about this? You are wasting my time." 
33		"I don't know. I'm so sorry." 
34		"That's..." 
35		He squints. 
36		"That's good?" 
37		"Depends. Does this Octavio usually get into trouble?" 
38		"So he is not in trouble?!" 
39		"No? Why would you ask that?" 
40		"No, it's cool. Don't get so aggravated." 
41		"I don't know him. I don't know you. Why are you talking to me?" 
42		"Oh, thank the gods!" 
43		He rushes in to give you a big hug. 
44		(Hug back.) "How lovely! To share an embrace with a fellow man - this truly makes me glad." 
45		"Get off me." 
46		(Remain still, like a stale corpse.) 
47		"Oh, I apologize!" 
48		He takes a step back, wiping half-formed tears from his cheek. 
49		"I am Manius. I must have jumped to conclusions here." 
50		"Uh, yeah. Sorry about that." 
51		"We're here to investigate the tea shop." 
52		"Oh!" 
53		This generic human male looks around him. 
54		"I'm afraid I am not at liberty to disclose any information to the local militia. That is what you are, no? A cleric of the local militia?" 
55		"Sure. But-" 
56		"No, that's not-" 
57		(Just stare at the man.) 
58		"You see, Octavio, he- he's a busy man, but he's directly instructed me that in case there are ever any inquiries, they would have to go through official channels. Even for his inner circle." 
59		"I'm not sure I follow." 
60		"That's very suspicious." 
61		"I'm sorry, I swear to you, we have all the legalities in order." 
62		"I have <i>diplomatic immunity</i>- that's what it's called." 
63		Your companion gives you a raised-eyebrows-towards-the-fucking-ceiling-type look. 
64		How can a low-brow Freestrider receive IMMUNITY? This is a bureaucratic farce. 
65		Heh. The yellow team sure knows how to play the game. 
66		"Diplomatic <i>immunity</i>?" 
67		"Yes." 
68		"...Who are you exactly?" 
69		"Oh, I am Manius, as I said. I am a Freestrider and member of the Askanii-Reeds Trading Company." 
70		"I... <i>work for</i> the First-in-Command Guild Agent of Tolstad." 
71		"I'm afraid I cannot offer anything more than that." 
72		(Take a long, drawn out breath.) "So you're saying..." 
73		"I don't care what kind of immunity you have, I have questions to-" 
74		"Good day." 
75		He shuts the door in your face. 
76		"Hah." 
77		"That was a rollercoaster of emotions." 
78		E-Oh well. 
79		"You haven't heard of a-" 
80		"It's one of those carnival things. You know. One of those wooden inclines with a little cart you ride all the way down." 
81		"Huh. I thought those were called <i>slippy slides</i>." 
82		They are. The goblin is misinformed. 
83		Sorry to inform you, but the name changed a couple of years ago. 
84		Probably because <i>slippy slides</i> is a god-awful name. 
85		"...Alright. Well, I'm not gonna call them that, so you go ahead and translate that in your head." 
86		"Anyway, can we go now?" 
87		"I wouldn't worry about it. On paper you did nothing wrong." 
88		"And on <i>not</i>-paper?" 
89		"Good to know. I trust your intuition." 
90		"You're right. I never do anything wrong, Snell." 
91		"Eh. <i>He said, she said</i>." 
92		"He said what?" 
93		"Right." 
94		"...Nevermind that." 
95		"I suppose from a certain perspective, everything is relative." 
96		"Though really, we're just standing here talking outside of this guy's door, so- can we move? Please?" 
