idx	prefix	english
0		A tense scene. 
1		"Oh, a cleric! Just in time." 
2		Four young guys, each looking a bit nervous. 
3		Four young guys, just hanging around, looking normal. 
4		Except the angry-looking blonde kid. 
5		"We've confiscated the illegal goods," he says and bows his head. 
6		"For the city!" 
7		He turns his head towards one of the kids behind him. 
8		"How's it going, Urth-Nisse?" 
9		"I'm trying. Hold on." 
10		"Are you militia?" 
11		"Great job, kid." 
12		(Point at the lanky kid trying to cast a cantrip.) "Hey. Stop it." 
13		The blond kid shakes his head. 
14		He smiles. "Thank you, Cleric!" 
15		He freezes and gives the blonde kid a nervous look. 
16		"Oh. Sorry, Cleric." 
17		You see Rollo waving towards him. A gesture for him to ignore your comment. 
18		"I'm Rollo," the blonde kid says and takes a bow. "Rollo Malach! At your service. Behind me are Urth-Nisse, Stenbusken, and Toli. We're members of the Norvikian Resistance, a movement to-" 
19		"You're <i>thieves</i>!" 
20		"And ignorant book burners!" 
21		The girl adjusts her spectacles and straightens her back. 
22		"With all due respect, Mr. Cleric," she says. "Don't believe a word from these thugs." 
23		You notice the two other girls behind her, a halfling and a dwarf, both look at each other. 
24		"Assholes!" 
25		"Careful, it's an actual cleric..." 
26		"Thugs? Come on, Modissa. Really? Like the AY aren't just a bunch of ruffians!" 
27		"I've seen enough," the goblin whispers to you and sighs. "Just activists clashing." 
28		"Hello everyone! I'm The Cleric." 
29		"I'm confused. Is there a problem here?" 
30		(Just let them continue arguing.) 
31		"Azgalist Youths." 
32		"See her green armband?" 
33		"Problem's taken care of, Lord Cleric." 
34		"Oh- fuck off." 
35		"They've stolen," she hisses, then turns to Rollo to bark out, "<b>You STOLE</b>, our entire Waterlane delivery!" 
36		"Yeah, sure. Of an <i>illegal</i> newspaper." 
37		"Lord Cleric, I assure you, we're doing the city a favor here." 
38		"I take that back. It's just a bunch of larpers." 
39		"I see. It's a lover's quarrel." 
40		"Lord Cleric? Hm. I dig it. I'm <b>The</b> Lord Cleric." 
41		"Wait a second. No... I need to correct something here. I'm not actually a cleric." 
42		"Okay. So, I'm sensing a conflict here." 
43		"Are you kids even allowed to be out this late?" 
44		"What?! No!" 
45		He's blushing. 
46		The girl gives you an incredulous frown. 
47		And she's disgusted. 
48		"That's not- Cleric. Focus." 
49		"Oh. Sure!" 
50		"You're not?" 
51		The guy behind him starts to stutter out, "W-what are you then? Like... what?" 
52		"I am actually a bad-ass rogue." 
53		"Can't you see I'm a powerful wizard?" 
54		"A what?" 
55		"You know. The swashbuckling kind." 
56		"You know. A thief." 
57		"You know. Sneaky scout, or whatever." 
58		"...Ridiculous." She mutters to herself and presses her face into her hands. 
59		She's sooo over it. 
60		A better rogue would have gotten a better reaction, methinks. 
61		"Ah! Like a cleric-wizard!" 
62		"Sure. I'll take it." 
63		"<shake>No!</shake> Why can't you get this through your thick skulls?!" (Stamp your feet.) 
64		"Just a wizard, please." 
65		They're taken aback by your exclamation. 
66		"What's <i>wrong</i> with this guy?" the halfling says to the dwarf girl. 
67		"Okay. We can... we can do that." 
68		As you shuffle your feet around, all the teenagers look at you in disapproval. 
69		"...Okay." 
70		"A... druid?" 
71		"So we shouldn't call you a cleric, then?" 
72		"Hm. No, for legal reasons you can keep calling me cleric." 
73		"I don't trust you to address me properly, so Lord Master Cleric is fine. Or something akin." 
74		(Just stare at him, and breathe loudly.) 
75		The blonde kid just nods slowly. 
76		He does not understand you. 
77		Both sides look at you with frowns. 
78		"Look, I have a hard time seeing how old humans are as well, but..." 
79		"These are clearly young adults. Even if they're not acting their age." 
80		"Hey! Shut up, goblin!" 
81		Your companion grits his sharp fangs in the blonde kid's direction. 
82		"Hey, kid. <b>Wanna die?</b> Keep talking." 
83		He takes a step back. 
84		Impressive. The goblin stands his ground. 
85		This goblin's got bite! Damn! 
86		"You're here to uphold the law, right?" 
87		"So arrest these assholes!" 
88		"Now!" 
89		The dwarf grabs her hand and holds her back. "Modissa... calm down. Please..." 
90		(Point at the Azgal girl.) "You. Explain your side." 
91		(Point at the Nationalist boy.) "Okay, you. What's going on here?" 
92		What does the law say about this conflict? 
93		"What are you guys voting in the election?" 
94		M-"Okay. I've come to a conclusion." 
95		She scoffs. 
96		"Okay. Fine." 
97		Her dwarven friend mutters, "Modissa..." in a concerned tone. 
98		Her friends are trying to keep her from being too brazen. Why? If they're in the right, she should be brazen. 
99		"We deliver papers for the Azgalian Chant. Maybe you've heard of it. It's a pretty big deal." 
100		He chuckles. 
101		The paper is not terribly popular. But it is known for radical articles and political stances. 
102		She draws a sharp breath. "We have a busy schedule, and right as we started delivering the papers in Waterlane, these pieces of <b>shit</b> start following us." 
103		"Taking papers we've just delivered right out of people's mailboxes!" 
104		"That's illegal, right?" asks the halfling girl. 
105		"Highly illegal." 
106		"Somewhat illegal." 
107		"Just a bit illegal. Maybe." 
108		"Of course it's illegal!" 
109		Your opinion does not even register - she does not even hear it. Insolent behavior. 
110		She does not care for your opinion on the legality of mail theft. How rude. 
111		"And then they grab one of our paper stacks from Xerba. Like, straight-up assault and theft and...!" 
112		"Modissa, it wasn't..." 
113		"They can't get away with this!" 
114		It probably was not that bad. 
115		Poor girl. 
116		"First of all, thank you for listening to reason." 
117		"I know we look like some dumb kids, but we're not." 
118		Something about his expression makes you think the exact opposite. 
119		Burning the written word does nothing to dispel such a notion. 
120		Yeah. No, these are dumb kids. No doubt. 
121		He gestures towards you and then to himself. "We're on the same team here." 
122		"I don't look dumb." 
123		He says, looking dumb. 
124		"Stop stalling. Tell me what you're doing here." 
125		"Uh-huh." 
126		(Give him a hug.) 
127		The boy physically clenches his entire posture up into a defensive wall as you move forward to embrace him - in a manly hug. 
128		"...Huh?" 
129		(Whisper.) "We're in this together, brother." 
130		"You're a good kid. Keep fighting the good fight." 
131		(Release the hug.) 
