idx	french
500	Il hoche la tête. « Ah. Ouais, ça se tient. »
501	« On y va ? »
502	« Mm. Je fais confiance à ce type. »
503	Il te fait un pouce en l'air.
504	Le gamin silencieux au fond te fait aussi un pouce en l'air.
505	Les filles prennent le reste de leurs affaires, et s'en vont.
506	« Putain ouais ! »
507	« Génial...! »
508	« Comment avez-vous fait ça ? Beau boulot, sérieux. »
509	« Maintenant, dégagez vous aussi. Et ne brûlez pas de trucs en pleine rue. »
510	« Vous faites du bon travail ici. Continuez. »
511	(Soupirer et se détourner d'eux.)
512	« Ouais, ouais. Je vous comprends. On se reverra, Clerc ! »
513	« Merci », dit-il tandis qu'ils se détournent. « On, euh... on tient une réunion au Rollermill demain. Vous devriez passer, si vous avez le temps d'aider la résistance. Mais je comprends si vous êtes occupé, alors. Mais juste au cas où ! »
514	En moins d'une minute, les garçons se sont dispersés, laissant Waterlane un peu moins agité qu'avant.
515	« Je dis pas que je suis pas d'accord, mais j'ai le sentiment que tu devrais pas gonfler l'<u>ego</u> de ces gamins. »
516	« Mais peu importe. Tirons-nous d'ici. »
517	Il est temps d'y aller.
518	Rollo attrape la pile de journaux et la lance à Modissa. Elle l'attrape avec un « Ouf...! » accompagné d'une sale expression.
519	Ronchonnant, les garçons quittent alors Waterlane.
520	« Que les dieux soient damnés. »
521	Les trois filles se ressaisissent une seconde. « Merde. »
522	« Ouais, waouh... c'était effrayant. »
523	« Monsieur le Clerc, euh... »
524	« Merci. »
525	« Ouais, merci beaucoup ! »
526	« Super. Maintenant dégagez vous aussi. Et arrêtez de livrer ce journal, c'est vraiment très illégal. »
527	« Votre cause est bonne. Continuez. »
528	« Peu importe. Allons-y. »
529	« Hm. Ce sera fait. Et si vous voulez donner un coup de main : passez à l'appartement de Simii, aux Trous. »
530	« Tant que vous êtes un ami, vous serez le bienvenu. »
531	En moins d'une minute, elles se sont dispersées, laissant Waterlane un peu moins agité qu'avant.
532	« Je dirais que c'était le bon choix. Même si ces filles avaient l'air louches aussi. »
533	Il est temps de partir.
