idx	prefix	english
0		"...<i>Rhy farus wyf - malltedig wyf</i>...!" 
1		The trash inside this bin speaks to you. 
2		Don't fall for it. 
3		This is some type of scam, surely. Getting you to root around the trash. 
4		The voice is from a primal spirit. 
5		Open it. 
6		(Open the trash can.) 
7		E-(Just walk away.) 
8		He gives you a nonchalant half-shrug. 
9		"It's Waterlane. There's always <i>something</i> going on here." 
10		As you lift it aside, you immediately see something moving in the pile of shredded documents, and old scraps of food. 
11		A pair of legs. 
12		"...<i>Cymorth</i>...?" 
13		Suddenly jumping out of the pile - with a poof of moldy dust - is a pinecone. 
14		A pinecone with limbs. 
15		"<shake>ARWR MEWN HAERN</shake>!" 
16		One of your little friends. 
17		It hands you some leaves while doing a strange (seemingly improvisational) dance upon the trash. 
18		"Wait, are you one of those-" 
19		"Did you just hand me trash?" 
20		Before you're able to do anything about it- the little creature poofs away. 
21		Don't breathe it in. Mold is, as your research has shown, bad for you. 
22		One of nature's essential workers. 
23		A blessing to meet it in the wild. 
24		Disgusting little creature. 
25		As it fades, you see only trash. 
26		"I've heard about those things. Never seen 'em though." 
27		Hm. Interesting. (Walk away.) 
28		"Just what I read in the paper. And what Nessan goes on about." 
29		"They're called <i>Vâttar</i>, or something. The lamplighter's guild had a public spat with them, couple of months back." 
30		He points to the lamps behind you. 
31		"Apparently they messed with the everlasting lights." 
32		"Not so everlasting, then." 
33		"That's not allowed. The city needs those lights." 
34		"Heh. Guess it's a PR name." 
35		"Sure. And guess who got all the complaints?" 
36		"Our freelancing gardener." 
37		"She's at her office in the Garden in the afternoons. Talk with her if you need any... <i>druid-type</i> assistance." 
38		His eyes shift. He does not like talking about this woman. Trauma? 
39		"But yeah, as I was saying, the lamplighters..." 
40		"I get why they were mad, but I think they solved everything once the PCG got involved." 
41		"And, uh- they're supposed to be all over the Garden too. Not that I've ever seen one." 
42		"And, like I'm sure you're aware, they're all over the Garden too." 
43		"Anyhow. They clearly seem to like you. Let's keep it like that." 
