idx	french
0	« ...<i>Rhy farus wyf - malltedig wyf</i>...! »
1	Les ordures dans cette poubelle te parlent.
2	Ne te fais pas avoir.
3	C'est une forme d'arnaque, à coup sûr. Pour te faire fouiller dans les ordures.
4	La voix vient d'un esprit primordial.
5	Ouvre-la.
6	(Ouvrir la poubelle.)
7	(Se contenter de s'éloigner.)
8	Il t'adresse un haussement d'épaules nonchalant.
9	« C'est Waterlane. Il se passe toujours <i>quelque chose</i> ici. »
10	Tandis que tu la soulèves sur le côté, tu vois aussitôt quelque chose bouger dans le tas de documents déchiquetés, et de vieux restes de nourriture.
11	Une paire de jambes.
12	« ...<i>Cymorth</i>...? »
13	Bondissant soudain du tas - dans une bouffée de poussière moisie - surgit une pomme de pin.
14	Une pomme de pin dotée de membres.
15	« <shake>ARWR MEWN HAERN</shake> ! »
16	L'un de tes petits amis.
17	Elle te tend quelques feuilles tout en exécutant une étrange danse (apparemment improvisée) sur les ordures.
18	« Attends, tu es un de ces- »
19	« Tu viens de me tendre des ordures ? »
20	Avant que tu puisses y faire quoi que ce soit- la petite créature disparaît dans un pouf.
21	Ne l'inhale pas. La moisissure est, comme tes recherches l'ont montré, mauvaise pour toi.
22	Un des travailleurs essentiels de la nature.
23	Une bénédiction que de la rencontrer à l'état sauvage.
24	Répugnante petite créature.
25	Tandis qu'elle s'efface, tu ne vois que des ordures.
26	« J'ai entendu parler de ces trucs. Jamais vu, cela dit. »
27	Hm. Intéressant. (S'éloigner.)
28	« Juste ce que j'ai lu dans le journal. Et ce dont Nessan n'arrête pas de parler. »
29	« Ils s'appellent des <i>Vâttar</i>, ou un truc du genre. La guilde des allumeurs de réverbères a eu une querelle publique avec eux, il y a deux mois environ. »
30	Il pointe les lampes derrière toi.
31	« Apparemment ils ont trafiqué les lumières éternelles. »
32	« Pas si éternelles que ça, alors. »
33	« C'est pas permis. La cité a besoin de ces lumières. »
34	« Hé. J'imagine que c'est un nom marketing. »
35	« Bien sûr. Et devine qui a reçu toutes les plaintes ? »
36	« Notre jardinière indépendante. »
37	« Elle est à son bureau dans le Jardin les après-midi. Parle avec elle si tu as besoin d'une assistance... <i>genre-druide</i>. »
38	Son regard se dérobe. Il n'aime pas parler de cette femme. Un traumatisme ?
39	« Mais ouais, comme je disais, les allumeurs... »
40	« Je comprends pourquoi ils étaient furax, mais je crois qu'ils ont tout réglé une fois que la GCN s'en est mêlée. »
41	« Et, euh- ils sont censés être partout dans le Jardin aussi. Non que j'en aie jamais vu un. »
42	« Et, comme tu le sais sûrement, ils sont partout dans le Jardin aussi. »
43	« Bref. Ils ont clairement l'air de t'aimer bien. Gardons ça comme ça. »
