idx	french
0	Tu t'approches de la trappe à marchandises.
1	C'est une très petite trappe à marchandises.
2	Tout ce bâtiment semble avoir été reconverti en entrepôt. Sans quoi, la faire si minuscule aurait été fort idiot.
3	Alors c'est ici qu'ils descendent les marchandises.
4	« Je crois pas que les Errants seraient très heureux que quelqu'un s'introduise par le toit. »
5	Le gobelin s'accroupit et attrape le cadenas rouillé.
6	« Mais mince. Regarde-moi ce truc rouillé. Ils accordent vraiment pas de valeur à la sécurité par ici. »
7	Tu t'approches de nouveau de la trappe à marchandises verrouillée.
8	Fracasser le cadenas.
9	Crocheter le cadenas.
10	(Se contenter de partir.)
11	Avec juste un peu de force, le cadenas vole en éclats.
12	Tu essaies d'attraper le cadenas. Tu essaies de l'arracher. Tu essaies de le secouer.
13	Tu essaies de le forcer sur place. Le serrant vraiment d'une poigne de fer.
14	Mais quoi que tu fasses, il ne veut tout simplement pas céder.
15	C'est assez frustrant.
16	Avec juste un peu de finesse, le cadenas s'ouvre.
17	Au sens littéral. Ce tas de merde rouillé ne se refermera plus jamais.
18	Tu fais de ton mieux, mais il ne veut pas tout à fait s'ouvrir.
19	Ce qui est super agaçant. Genre, tu DEVRAIS être capable de faire ça.
20	Ce qui est surtout dû à tes doigts qui ne font pas ce qu'ils sont censés faire.
21	Tant pis. Réessaie plus tard, ou un truc du genre.
22	Tu prononces les mots et fais les mouvements de main. Puis... ce bruit sonore résonne à travers tout Waterlane.
23	Et le cadenas rouillé vole en éclats.
24	« Et voilà. »
25	« Beau boulot. »
26	(Ouvrir la trappe.)
27	En jetant un œil à l'intérieur, tu vois une corde attachée au bois, dégringolant - dans l'espace ouvert en contrebas.
28	« Super. Comme ça on peut vraiment remonter. J'y avais pas pensé. »
29	« Voyons comment cette corde tient le coup... »
30	« Meek aidera maître à grimper ! Meek peut tenir corde avec dents. Très fort. »
31	Cool.
