idx	prefix	english
0		You take a few steps away from the top-entrance, to find yourself positioned before one of the windows. 
1		It's dark inside. 
2		While Waterlane never sleeps- the Freestriders are clearly busy these days before the election. 
3		The HQ building looks dead empty. 
4		"It's ballsy," Snell says and peers through the dark window. 
5		"But I think it could work. Just gotta get it open." 
6		You stand before the locked window once more. 
7		(Try banging on the glass.) 
8		How is it locked? 
9	ROLL20 dex-	Mess with the mechanism of the window. 
10		E-(Just leave.) 
11		Your fist hits an extremely solid material. 
12		Enchanted glass-pane. Expensive, but not too uncommon in mansions and modern forts. 
13		Magic glass. It's impenetrable. 
14		"Yeah, that's not gonna break." 
15		"At least there's no Arcane Lock." 
16		Good question. Looks like a simple mechanism on the inside. 
17		Won't be impossible to get it open. Just a bit hard. 
18		Might be difficult to get it open. 
19		If you could slide in a lockpick, then it'd be much easier... 
20		Though if you use the Esoteric Lockpick... 
21		A careful maneuver through the crack of the side of the window - and... 
22		(Crack it.) 
23		It takes you ten seconds. Ten short seconds, and... 
24		You've got the window open, baby! 
25		Hm. 
26		It's moving a bit, but not enough. 
27		But the gap is bigger. You could try putting a finger inside. 
28		That desperate, huh? 
29		NO. 
30		The window will... consume it. 
31		(Put a finger inside.) 
32		No. (Be careful.) 
33		As you do, the mechanism holding the window shut snaps- sending it immediately down upon your appendage. 
34		With a slam. 
35		(Hold your scream.) 
36		(Pull back fast.) 
37		"Holy shit. You okay?" 
38		Your finger slips out from underneath the shut window. 
39		The glove intact - the flesh inside CRUSHED. 
40		Alright. Leave it for now- maybe you can get it again later. 
41		At least you know how the mechanism works now. That could help. 
42		Fine. Then try again later, cuz this ain't working. 
43		A few words, and a hand placed upon the glass... then the booming noise echoes up the rocky ceiling of Waterlane. 
44		And the window slides open in an instant. 
45		Eh. No one probably figures that the sudden appearance of the iconic 'Knock sound' means that someone is trying to break in. Don't worry about it. 
46		Time to enjoy the spoils... 
47		"Nicely done." 
48		"And if we run into anyone inside, remember: you're a cleric on a mission, not a burglar." 
49		E-Nice. 
50		"Sure. That's slightly better." 
